true_u,pred_u,Points:0
-0,-0.00036307,0
-0.011369,-0.011737,0.01
-0.022736,-0.023109,0.02
-0.034101,-0.034479,0.03
-0.045463,-0.045845,0.04
-0.05682,-0.057206,0.05
-0.068171,-0.068561,0.06
-0.079516,-0.079909,0.07
-0.090853,-0.091248,0.08
-0.10218,-0.10258,0.09
-0.1135,-0.1139,0.1
-0.1248,-0.1252,0.11
-0.1361,-0.1365,0.12
-0.14738,-0.14778,0.13
-0.15864,-0.15905,0.14
-0.16989,-0.1703,0.15
-0.18112,-0.18153,0.16
-0.19234,-0.19274,0.17
-0.20353,-0.20394,0.18
-0.21471,-0.21511,0.19
-0.22586,-0.22626,0.2
-0.23699,-0.23739,0.21
-0.2481,-0.2485,0.22
-0.25918,-0.25958,0.23
-0.27024,-0.27063,0.24
-0.28127,-0.28166,0.25
-0.29227,-0.29265,0.26
-0.30324,-0.30362,0.27
-0.31418,-0.31456,0.28
-0.32509,-0.32547,0.29
-0.33597,-0.33634,0.3
-0.34681,-0.34718,0.31
-0.35762,-0.35799,0.32
-0.3684,-0.36876,0.33
-0.37913,-0.37949,0.34
-0.38983,-0.39019,0.35
-0.40049,-0.40084,0.36
-0.41111,-0.41146,0.37
-0.42169,-0.42203,0.38
-0.43223,-0.43256,0.39
-0.44272,-0.44305,0.4
-0.45317,-0.45349,0.41
-0.46357,-0.46389,0.42
-0.47393,-0.47424,0.43
-0.48424,-0.48455,0.44
-0.4945,-0.4948,0.45
-0.50471,-0.50501,0.46
-0.51487,-0.51516,0.47
-0.52498,-0.52527,0.48
-0.53504,-0.53532,0.49
-0.54505,-0.54532,0.5
-0.55499,-0.55526,0.51
-0.56489,-0.56515,0.52
-0.57473,-0.57498,0.53
-0.58451,-0.58475,0.54
-0.59423,-0.59446,0.55
-0.60389,-0.60412,0.56
-0.61349,-0.61371,0.57
-0.62303,-0.62325,0.58
-0.63251,-0.63272,0.59
-0.64193,-0.64213,0.6
-0.65128,-0.65147,0.61
-0.66056,-0.66075,0.62
-0.66978,-0.66996,0.63
-0.67893,-0.6791,0.64
-0.68802,-0.68818,0.65
-0.69703,-0.69719,0.66
-0.70598,-0.70613,0.67
-0.71486,-0.715,0.68
-0.72366,-0.72379,0.69
-0.73239,-0.73252,0.7
-0.74105,-0.74117,0.71
-0.74964,-0.74975,0.72
-0.75814,-0.75825,0.73
-0.76658,-0.76668,0.74
-0.77494,-0.77503,0.75
-0.78321,-0.7833,0.76
-0.79142,-0.79149,0.77
-0.79954,-0.79961,0.78
-0.80758,-0.80764,0.79
-0.81554,-0.8156,0.8
-0.82342,-0.82347,0.81
-0.83122,-0.83127,0.82
-0.83893,-0.83897,0.83
-0.84656,-0.8466,0.84
-0.85411,-0.85414,0.85
-0.86157,-0.86159,0.86
-0.86894,-0.86896,0.87
-0.87623,-0.87624,0.88
-0.88343,-0.88344,0.89
-0.89054,-0.89055,0.9
-0.89756,-0.89756,0.91
-0.9045,-0.90449,0.92
-0.91134,-0.91133,0.93
-0.91809,-0.91808,0.94
-0.92475,-0.92473,0.95
-0.93132,-0.9313,0.96
-0.93779,-0.93777,0.97
-0.94417,-0.94414,0.98
-0.95045,-0.95042,0.99
-0.95664,-0.95661,1
-0.96274,-0.9627,1.01
-0.96874,-0.9687,1.02
-0.97464,-0.9746,1.03
-0.98044,-0.9804,1.04
-0.98615,-0.9861,1.05
-0.99176,-0.99171,1.06
-0.99726,-0.99722,1.07
-1.0027,-1.0026,1.08
-1.008,-1.0079,1.09
-1.0132,-1.0131,1.1
-1.0183,-1.0182,1.11
-1.0233,-1.0232,1.12
-1.0282,-1.0281,1.13
-1.033,-1.0329,1.14
-1.0377,-1.0376,1.15
-1.0423,-1.0422,1.16
-1.0468,-1.0467,1.17
-1.0512,-1.0511,1.18
-1.0554,-1.0554,1.19
-1.0596,-1.0596,1.2
-1.0637,-1.0636,1.21
-1.0676,-1.0676,1.22
-1.0715,-1.0714,1.23
-1.0752,-1.0752,1.24
-1.0789,-1.0788,1.25
-1.0824,-1.0824,1.26
-1.0858,-1.0858,1.27
-1.0891,-1.0891,1.28
-1.0923,-1.0923,1.29
-1.0954,-1.0954,1.3
-1.0984,-1.0984,1.31
-1.1013,-1.1013,1.32
-1.1041,-1.104,1.33
-1.1067,-1.1067,1.34
-1.1093,-1.1092,1.35
-1.1117,-1.1117,1.36
-1.114,-1.114,1.37
-1.1162,-1.1162,1.38
-1.1183,-1.1183,1.39
-1.1203,-1.1203,1.4
-1.1222,-1.1222,1.41
-1.124,-1.124,1.42
-1.1256,-1.1256,1.43
-1.1272,-1.1271,1.44
-1.1286,-1.1286,1.45
-1.1299,-1.1299,1.46
-1.1311,-1.1311,1.47
-1.1322,-1.1322,1.48
-1.1332,-1.1332,1.49
-1.134,-1.134,1.5
-1.1348,-1.1348,1.51
-1.1354,-1.1354,1.52
-1.1359,-1.1359,1.53
-1.1363,-1.1363,1.54
-1.1366,-1.1366,1.55
-1.1368,-1.1368,1.56
-1.1369,-1.1369,1.57
-1.1368,-1.1369,1.58
-1.1367,-1.1367,1.59
-1.1364,-1.1364,1.6
-1.136,-1.136,1.61
-1.1355,-1.1355,1.62
-1.1349,-1.1349,1.63
-1.1341,-1.1342,1.64
-1.1333,-1.1334,1.65
-1.1324,-1.1324,1.66
-1.1313,-1.1313,1.67
-1.1301,-1.1302,1.68
-1.1288,-1.1289,1.69
-1.1274,-1.1275,1.7
-1.1259,-1.1259,1.71
-1.1242,-1.1243,1.72
-1.1225,-1.1226,1.73
-1.1206,-1.1207,1.74
-1.1187,-1.1187,1.75
-1.1166,-1.1167,1.76
-1.1144,-1.1145,1.77
-1.1121,-1.1122,1.78
-1.1097,-1.1098,1.79
-1.1071,-1.1072,1.8
-1.1045,-1.1046,1.81
-1.1018,-1.1018,1.82
-1.0989,-1.099,1.83
-1.0959,-1.096,1.84
-1.0928,-1.0929,1.85
-1.0897,-1.0898,1.86
-1.0864,-1.0865,1.87
-1.083,-1.0831,1.88
-1.0794,-1.0795,1.89
-1.0758,-1.0759,1.9
-1.0721,-1.0722,1.91
-1.0683,-1.0684,1.92
-1.0643,-1.0644,1.93
-1.0603,-1.0604,1.94
-1.0561,-1.0562,1.95
-1.0518,-1.052,1.96
-1.0475,-1.0476,1.97
-1.043,-1.0431,1.98
-1.0384,-1.0385,1.99
-1.0338,-1.0339,2
-1.029,-1.0291,2.01
-1.0241,-1.0242,2.02
-1.0191,-1.0192,2.03
-1.014,-1.0141,2.04
-1.0088,-1.0089,2.05
-1.0035,-1.0036,2.06
-0.99813,-0.99825,2.07
-0.99264,-0.99276,2.08
-0.98705,-0.98717,2.09
-0.98136,-0.98148,2.1
-0.97557,-0.97569,2.11
-0.96968,-0.9698,2.12
-0.9637,-0.96382,2.13
-0.95762,-0.95774,2.14
-0.95145,-0.95156,2.15
-0.94518,-0.94529,2.16
-0.93881,-0.93893,2.17
-0.93235,-0.93247,2.18
-0.9258,-0.92592,2.19
-0.91916,-0.91928,2.2
-0.91242,-0.91254,2.21
-0.90559,-0.90571,2.22
-0.89867,-0.8988,2.23
-0.89167,-0.89179,2.24
-0.88457,-0.88469,2.25
-0.87738,-0.87751,2.26
-0.87011,-0.87023,2.27
-0.86275,-0.86287,2.28
-0.8553,-0.85543,2.29
-0.84777,-0.8479,2.3
-0.84015,-0.84028,2.31
-0.83245,-0.83258,2.32
-0.82467,-0.8248,2.33
-0.8168,-0.81693,2.34
-0.80885,-0.80899,2.35
-0.80082,-0.80096,2.36
-0.79271,-0.79285,2.37
-0.78453,-0.78466,2.38
-0.77626,-0.7764,2.39
-0.76791,-0.76805,2.4
-0.75949,-0.75963,2.41
-0.751,-0.75114,2.42
-0.74242,-0.74257,2.43
-0.73378,-0.73392,2.44
-0.72506,-0.72521,2.45
-0.71626,-0.71642,2.46
-0.7074,-0.70755,2.47
-0.69846,-0.69862,2.48
-0.68946,-0.68962,2.49
-0.68039,-0.68055,2.5
-0.67124,-0.67141,2.51
-0.66203,-0.6622,2.52
-0.65276,-0.65293,2.53
-0.64342,-0.64359,2.54
-0.63401,-0.63419,2.55
-0.62455,-0.62473,2.56
-0.61502,-0.6152,2.57
-0.60542,-0.60561,2.58
-0.59577,-0.59596,2.59
-0.58606,-0.58625,2.6
-0.57629,-0.57649,2.61
-0.56646,-0.56666,2.62
-0.55657,-0.55678,2.63
-0.54663,-0.54684,2.64
-0.53664,-0.53685,2.65
-0.52659,-0.52681,2.66
-0.51649,-0.51671,2.67
-0.50633,-0.50656,2.68
-0.49613,-0.49636,2.69
-0.48588,-0.48611,2.7
-0.47557,-0.47581,2.71
-0.46522,-0.46547,2.72
-0.45483,-0.45507,2.73
-0.44439,-0.44464,2.74
-0.4339,-0.43416,2.75
-0.42337,-0.42363,2.76
-0.4128,-0.41306,2.77
-0.40218,-0.40245,2.78
-0.39153,-0.39181,2.79
-0.38084,-0.38112,2.8
-0.37011,-0.37039,2.81
-0.35934,-0.35963,2.82
-0.34854,-0.34883,2.83
-0.3377,-0.33799,2.84
-0.32683,-0.32713,2.85
-0.31592,-0.31623,2.86
-0.30498,-0.30529,2.87
-0.29402,-0.29433,2.88
-0.28302,-0.28334,2.89
-0.272,-0.27232,2.9
-0.26094,-0.26127,2.91
-0.24987,-0.2502,2.92
-0.23876,-0.2391,2.93
-0.22764,-0.22798,2.94
-0.21649,-0.21683,2.95
-0.20531,-0.20566,2.96
-0.19412,-0.19448,2.97
-0.18291,-0.18327,2.98
-0.17168,-0.17204,2.99
-0.16044,-0.1608,3
-0.14917,-0.14954,3.01
-0.13789,-0.13827,3.02
-0.1266,-0.12698,3.03
-0.1153,-0.11568,3.04
-0.10398,-0.10437,3.05
-0.092657,-0.093047,3.06
-0.081322,-0.081715,3.07
-0.069979,-0.070376,3.08
-0.058628,-0.059029,3.09
-0.047272,-0.047676,3.1
-0.035911,-0.036319,3.11
-0.024546,-0.024958,3.12
-0.013179,-0.013594,3.13
-0.0018106,-0.0022293,3.14
