true_u,pred_u,Points:0
0,-0.00020512,0
0.013686,0.013489,0.01
0.027371,0.027183,0.02
0.041053,0.040873,0.03
0.05473,0.05456,0.04
0.068403,0.068242,0.05
0.082068,0.081916,0.06
0.095725,0.095583,0.07
0.10937,0.10924,0.08
0.12301,0.12289,0.09
0.13663,0.13652,0.1
0.15025,0.15014,0.11
0.16384,0.16375,0.12
0.17742,0.17733,0.13
0.19098,0.19091,0.14
0.20452,0.20446,0.15
0.21805,0.21799,0.16
0.23155,0.2315,0.17
0.24502,0.24499,0.18
0.25848,0.25845,0.19
0.2719,0.27188,0.2
0.2853,0.28529,0.21
0.29867,0.29867,0.22
0.31202,0.31202,0.23
0.32533,0.32534,0.24
0.3386,0.33863,0.25
0.35185,0.35188,0.26
0.36506,0.3651,0.27
0.37823,0.37828,0.28
0.39136,0.39142,0.29
0.40446,0.40452,0.3
0.41751,0.41758,0.31
0.43052,0.43061,0.32
0.44349,0.44358,0.33
0.45642,0.45652,0.34
0.4693,0.4694,0.35
0.48213,0.48224,0.36
0.49492,0.49503,0.37
0.50765,0.50777,0.38
0.52034,0.52047,0.39
0.53297,0.5331,0.4
0.54555,0.54569,0.41
0.55807,0.55822,0.42
0.57054,0.57069,0.43
0.58295,0.58311,0.44
0.5953,0.59547,0.45
0.6076,0.60777,0.46
0.61983,0.62,0.47
0.632,0.63218,0.48
0.64411,0.64429,0.49
0.65615,0.65634,0.5
0.66813,0.66832,0.51
0.68004,0.68023,0.52
0.69189,0.69208,0.53
0.70366,0.70386,0.54
0.71536,0.71556,0.55
0.72699,0.7272,0.56
0.73855,0.73876,0.57
0.75004,0.75025,0.58
0.76145,0.76166,0.59
0.77278,0.77299,0.6
0.78404,0.78425,0.61
0.79522,0.79543,0.62
0.80632,0.80653,0.63
0.81734,0.81755,0.64
0.82827,0.82849,0.65
0.83913,0.83934,0.66
0.8499,0.85011,0.67
0.86058,0.8608,0.68
0.87118,0.87139,0.69
0.88169,0.88191,0.7
0.89212,0.89233,0.71
0.90245,0.90266,0.72
0.91269,0.9129,0.73
0.92285,0.92306,0.74
0.93291,0.93311,0.75
0.94287,0.94308,0.76
0.95275,0.95295,0.77
0.96253,0.96273,0.78
0.97221,0.97241,0.79
0.98179,0.98199,0.8
0.99128,0.99147,0.81
1.0007,1.0009,0.82
1.01,1.0101,0.83
1.0191,1.0193,0.84
1.0282,1.0284,0.85
1.0372,1.0374,0.86
1.0461,1.0463,0.87
1.0549,1.055,0.88
1.0635,1.0637,0.89
1.0721,1.0722,0.9
1.0805,1.0807,0.91
1.0889,1.089,0.92
1.0971,1.0973,0.93
1.1052,1.1054,0.94
1.1133,1.1134,0.95
1.1212,1.1213,0.96
1.129,1.1291,0.97
1.1366,1.1368,0.98
1.1442,1.1443,0.99
1.1517,1.1518,1
1.159,1.1591,1.01
1.1662,1.1663,1.02
1.1733,1.1734,1.03
1.1803,1.1804,1.04
1.1872,1.1873,1.05
1.1939,1.194,1.06
1.2006,1.2006,1.07
1.2071,1.2071,1.08
1.2135,1.2135,1.09
1.2197,1.2198,1.1
1.2259,1.2259,1.11
1.2319,1.232,1.12
1.2378,1.2379,1.13
1.2436,1.2436,1.14
1.2492,1.2493,1.15
1.2548,1.2548,1.16
1.2602,1.2602,1.17
1.2654,1.2655,1.18
1.2706,1.2706,1.19
1.2756,1.2756,1.2
1.2805,1.2805,1.21
1.2853,1.2853,1.22
1.2899,1.2899,1.23
1.2944,1.2944,1.24
1.2988,1.2988,1.25
1.3031,1.3031,1.26
1.3072,1.3072,1.27
1.3112,1.3112,1.28
1.315,1.315,1.29
1.3187,1.3187,1.3
1.3223,1.3223,1.31
1.3258,1.3258,1.32
1.3291,1.3291,1.33
1.3323,1.3323,1.34
1.3354,1.3354,1.35
1.3383,1.3383,1.36
1.3411,1.3411,1.37
1.3438,1.3438,1.38
1.3463,1.3463,1.39
1.3487,1.3487,1.4
1.351,1.3509,1.41
1.3531,1.353,1.42
1.3551,1.355,1.43
1.3569,1.3569,1.44
1.3587,1.3586,1.45
1.3602,1.3602,1.46
1.3617,1.3616,1.47
1.363,1.3629,1.48
1.3642,1.3641,1.49
1.3652,1.3651,1.5
1.3661,1.366,1.51
1.3669,1.3668,1.52
1.3675,1.3674,1.53
1.368,1.3679,1.54
1.3683,1.3683,1.55
1.3685,1.3685,1.56
1.3686,1.3686,1.57
1.3686,1.3685,1.58
1.3684,1.3683,1.59
1.368,1.368,1.6
1.3676,1.3675,1.61
1.367,1.3669,1.62
1.3662,1.3662,1.63
1.3653,1.3653,1.64
1.3643,1.3643,1.65
1.3632,1.3631,1.66
1.3619,1.3619,1.67
1.3605,1.3604,1.68
1.3589,1.3589,1.69
1.3572,1.3572,1.7
1.3554,1.3554,1.71
1.3534,1.3534,1.72
1.3513,1.3513,1.73
1.3491,1.3491,1.74
1.3467,1.3467,1.75
