true_u,pred_u,Points:0
-0,-0.00036103,0
-0.011198,-0.011563,0.01
-0.022395,-0.022764,0.02
-0.03359,-0.033962,0.03
-0.044781,-0.045156,0.04
-0.055968,-0.056346,0.05
-0.067149,-0.06753,0.06
-0.078324,-0.078706,0.07
-0.08949,-0.089874,0.08
-0.10065,-0.10103,0.09
-0.1118,-0.11218,0.1
-0.12293,-0.12332,0.11
-0.13406,-0.13444,0.12
-0.14517,-0.14555,0.13
-0.15626,-0.15665,0.14
-0.16734,-0.16773,0.15
-0.17841,-0.17879,0.16
-0.18945,-0.18984,0.17
-0.20048,-0.20086,0.18
-0.21149,-0.21187,0.19
-0.22247,-0.22285,0.2
-0.23344,-0.23381,0.21
-0.24438,-0.24475,0.22
-0.25529,-0.25566,0.23
-0.26618,-0.26655,0.24
-0.27705,-0.27741,0.25
-0.28788,-0.28824,0.26
-0.29869,-0.29905,0.27
-0.30947,-0.30982,0.28
-0.32022,-0.32056,0.29
-0.33093,-0.33127,0.3
-0.34161,-0.34195,0.31
-0.35226,-0.35259,0.32
-0.36287,-0.3632,0.33
-0.37345,-0.37377,0.34
-0.38398,-0.38431,0.35
-0.39448,-0.3948,0.36
-0.40494,-0.40526,0.37
-0.41536,-0.41567,0.38
-0.42574,-0.42605,0.39
-0.43608,-0.43638,0.4
-0.44637,-0.44666,0.41
-0.45662,-0.4569,0.42
-0.46682,-0.4671,0.43
-0.47698,-0.47725,0.44
-0.48708,-0.48735,0.45
-0.49714,-0.4974,0.46
-0.50715,-0.50741,0.47
-0.51711,-0.51736,0.48
-0.52702,-0.52726,0.49
-0.53687,-0.53711,0.5
-0.54667,-0.5469,0.51
-0.55642,-0.55664,0.52
-0.56611,-0.56632,0.53
-0.57574,-0.57595,0.54
-0.58532,-0.58552,0.55
-0.59483,-0.59503,0.56
-0.60429,-0.60448,0.57
-0.61369,-0.61387,0.58
-0.62303,-0.6232,0.59
-0.6323,-0.63247,0.6
-0.64151,-0.64167,0.61
-0.65066,-0.65081,0.62
-0.65974,-0.65988,0.63
-0.66875,-0.66889,0.64
-0.6777,-0.67783,0.65
-0.68658,-0.68671,0.66
-0.69539,-0.69551,0.67
-0.70414,-0.70425,0.68
-0.71281,-0.71291,0.69
-0.72141,-0.72151,0.7
-0.72994,-0.73003,0.71
-0.73839,-0.73848,0.72
-0.74678,-0.74685,0.73
-0.75508,-0.75516,0.74
-0.76331,-0.76338,0.75
-0.77147,-0.77153,0.76
-0.77955,-0.7796,0.77
-0.78755,-0.7876,0.78
-0.79547,-0.79551,0.79
-0.80331,-0.80335,0.8
-0.81107,-0.81111,0.81
-0.81875,-0.81878,0.82
-0.82635,-0.82638,0.83
-0.83387,-0.83389,0.84
-0.8413,-0.84131,0.85
-0.84865,-0.84866,0.86
-0.85591,-0.85592,0.87
-0.86309,-0.86309,0.88
-0.87018,-0.87018,0.89
-0.87719,-0.87718,0.9
-0.8841,-0.88409,0.91
-0.89093,-0.89092,0.92
-0.89767,-0.89766,0.93
-0.90432,-0.9043,0.94
-0.91088,-0.91086,0.95
-0.91735,-0.91733,0.96
-0.92373,-0.9237,0.97
-0.93001,-0.92998,0.98
-0.9362,-0.93617,0.99
-0.9423,-0.94227,1
-0.9483,-0.94827,1.01
-0.95421,-0.95417,1.02
-0.96002,-0.95999,1.03
-0.96574,-0.9657,1.04
-0.97136,-0.97132,1.05
-0.97688,-0.97684,1.06
-0.98231,-0.98227,1.07
-0.98764,-0.9876,1.08
-0.99286,-0.99282,1.09
-0.99799,-0.99795,1.1
-1.003,-1.003,1.11
-1.008,-1.0079,1.12
-1.0128,-1.0127,1.13
-1.0175,-1.0175,1.14
-1.0221,-1.0221,1.15
-1.0267,-1.0266,1.16
-1.0311,-1.031,1.17
-1.0354,-1.0354,1.18
-1.0396,-1.0396,1.19
-1.0437,-1.0437,1.2
-1.0477,-1.0477,1.21
-1.0516,-1.0516,1.22
-1.0554,-1.0554,1.23
-1.0591,-1.0591,1.24
-1.0627,-1.0627,1.25
-1.0662,-1.0661,1.26
-1.0695,-1.0695,1.27
-1.0728,-1.0728,1.28
-1.076,-1.0759,1.29
-1.079,-1.079,1.3
-1.082,-1.0819,1.31
-1.0848,-1.0848,1.32
-1.0875,-1.0875,1.33
-1.0901,-1.0901,1.34
-1.0926,-1.0926,1.35
-1.095,-1.095,1.36
-1.0973,-1.0973,1.37
-1.0995,-1.0995,1.38
-1.1016,-1.1016,1.39
-1.1035,-1.1035,1.4
-1.1054,-1.1054,1.41
-1.1071,-1.1071,1.42
-1.1087,-1.1088,1.43
-1.1103,-1.1103,1.44
-1.1117,-1.1117,1.45
-1.113,-1.113,1.46
-1.1141,-1.1142,1.47
-1.1152,-1.1152,1.48
-1.1162,-1.1162,1.49
-1.117,-1.1171,1.5
-1.1178,-1.1178,1.51
-1.1184,-1.1184,1.52
-1.1189,-1.1189,1.53
-1.1193,-1.1193,1.54
-1.1196,-1.1196,1.55
-1.1198,-1.1198,1.56
-1.1198,-1.1199,1.57
-1.1198,-1.1198,1.58
-1.1196,-1.1197,1.59
-1.1193,-1.1194,1.6
-1.119,-1.119,1.61
-1.1185,-1.1185,1.62
-1.1179,-1.1179,1.63
-1.1171,-1.1172,1.64
-1.1163,-1.1164,1.65
-1.1154,-1.1155,1.66
-1.1143,-1.1144,1.67
-1.1132,-1.1132,1.68
-1.1119,-1.112,1.69
-1.1105,-1.1106,1.7
-1.109,-1.1091,1.71
-1.1074,-1.1075,1.72
-1.1057,-1.1058,1.73
-1.1038,-1.1039,1.74
-1.1019,-1.102,1.75
-1.0998,-1.0999,1.76
-1.0977,-1.0978,1.77
-1.0954,-1.0955,1.78
-1.093,-1.0931,1.79
-1.0905,-1.0907,1.8
-1.0879,-1.0881,1.81
-1.0852,-1.0853,1.82
-1.0824,-1.0825,1.83
-1.0795,-1.0796,1.84
-1.0765,-1.0766,1.85
-1.0733,-1.0734,1.86
-1.0701,-1.0702,1.87
-1.0667,-1.0668,1.88
-1.0633,-1.0634,1.89
-1.0597,-1.0598,1.9
-1.056,-1.0561,1.91
-1.0522,-1.0524,1.92
-1.0484,-1.0485,1.93
-1.0444,-1.0445,1.94
-1.0403,-1.0404,1.95
-1.0361,-1.0362,1.96
-1.0318,-1.0319,1.97
-1.0274,-1.0275,1.98
-1.0229,-1.023,1.99
-1.0183,-1.0184,2
-1.0135,-1.0137,2.01
-1.0087,-1.0088,2.02
-1.0038,-1.0039,2.03
-0.9988,-0.99892,2.04
-0.99369,-0.99381,2.05
-0.98847,-0.98859,2.06
-0.98316,-0.98328,2.07
-0.97775,-0.97787,2.08
-0.97225,-0.97236,2.09
-0.96664,-0.96675,2.1
-0.96094,-0.96105,2.11
-0.95514,-0.95525,2.12
-0.94925,-0.94936,2.13
-0.94326,-0.94337,2.14
-0.93718,-0.93729,2.15
-0.931,-0.93111,2.16
-0.92473,-0.92484,2.17
-0.91837,-0.91848,2.18
-0.91192,-0.91202,2.19
-0.90537,-0.90548,2.2
-0.89874,-0.89884,2.21
-0.89201,-0.89211,2.22
-0.8852,-0.8853,2.23
-0.87829,-0.8784,2.24
-0.8713,-0.87141,2.25
-0.86423,-0.86433,2.26
-0.85706,-0.85716,2.27
-0.84981,-0.84991,2.28
