true_u,pred_u,Points:0
0,0.00035349,0
0.0028954,0.0032438,0.01
0.0057904,0.0061335,0.02
0.0086849,0.0090221,0.03
0.011579,0.01191,0.04
0.014471,0.014796,0.05
0.017362,0.01768,0.06
0.020251,0.020562,0.07
0.023139,0.023443,0.08
0.026024,0.02632,0.09
0.028906,0.029195,0.1
0.031785,0.032067,0.11
0.034662,0.034935,0.12
0.037534,0.0378,0.13
0.040403,0.040661,0.14
0.043268,0.043517,0.15
0.046129,0.046369,0.16
0.048985,0.049217,0.17
0.051836,0.052059,0.18
0.054682,0.054896,0.19
0.057523,0.057728,0.2
0.060358,0.060553,0.21
0.063186,0.063372,0.22
0.066009,0.066185,0.23
0.068825,0.068991,0.24
0.071634,0.071791,0.25
0.074435,0.074583,0.26
0.07723,0.077367,0.27
0.080016,0.080144,0.28
0.082795,0.082912,0.29
0.085565,0.085673,0.3
0.088327,0.088424,0.31
0.09108,0.091167,0.32
0.093824,0.093901,0.33
0.096558,0.096625,0.34
0.099283,0.09934,0.35
0.102,0.10204,0.36
0.1047,0.10474,0.37
0.1074,0.10742,0.38
0.11008,0.1101,0.39
0.11275,0.11276,0.4
0.11541,0.11541,0.41
0.11806,0.11805,0.42
0.1207,0.12068,0.43
0.12333,0.12329,0.44
0.12594,0.1259,0.45
0.12854,0.12849,0.46
0.13113,0.13107,0.47
0.1337,0.13363,0.48
0.13627,0.13618,0.49
0.13881,0.13872,0.5
0.14135,0.14125,0.51
0.14387,0.14376,0.52
0.14637,0.14626,0.53
0.14886,0.14874,0.54
0.15134,0.1512,0.55
0.1538,0.15366,0.56
0.15625,0.15609,0.57
0.15868,0.15852,0.58
0.16109,0.16092,0.59
0.16349,0.16331,0.6
0.16587,0.16569,0.61
0.16823,0.16804,0.62
0.17058,0.17038,0.63
0.17291,0.17271,0.64
0.17523,0.17502,0.65
0.17752,0.17731,0.66
0.1798,0.17958,0.67
0.18206,0.18183,0.68
0.1843,0.18407,0.69
0.18653,0.18629,0.7
0.18873,0.18849,0.71
0.19092,0.19067,0.72
0.19309,0.19283,0.73
0.19523,0.19497,0.74
0.19736,0.1971,0.75
0.19947,0.1992,0.76
0.20156,0.20128,0.77
0.20363,0.20335,0.78
0.20568,0.20539,0.79
0.2077,0.20742,0.8
0.20971,0.20942,0.81
0.2117,0.2114,0.82
0.21366,0.21337,0.83
0.2156,0.21531,0.84
0.21753,0.21723,0.85
0.21943,0.21912,0.86
0.2213,0.221,0.87
0.22316,0.22285,0.88
0.22499,0.22469,0.89
0.22681,0.2265,0.9
0.22859,0.22828,0.91
0.23036,0.23005,0.92
0.2321,0.23179,0.93
0.23382,0.23351,0.94
0.23552,0.23521,0.95
0.23719,0.23688,0.96
0.23884,0.23853,0.97
0.24046,0.24015,0.98
0.24206,0.24176,0.99
0.24364,0.24333,1
0.24519,0.24489,1.01
0.24672,0.24642,1.02
0.24822,0.24792,1.03
0.2497,0.2494,1.04
0.25115,0.25086,1.05
0.25258,0.25229,1.06
0.25399,0.25369,1.07
0.25536,0.25507,1.08
0.25671,0.25643,1.09
0.25804,0.25776,1.1
0.25934,0.25906,1.11
0.26062,0.26034,1.12
0.26186,0.26159,1.13
0.26309,0.26282,1.14
0.26428,0.26402,1.15
0.26545,0.26519,1.16
0.2666,0.26634,1.17
0.26771,0.26746,1.18
0.2688,0.26856,1.19
0.26986,0.26962,1.2
0.2709,0.27067,1.21
0.27191,0.27168,1.22
0.27289,0.27267,1.23
0.27384,0.27362,1.24
0.27477,0.27456,1.25
0.27567,0.27546,1.26
0.27654,0.27634,1.27
0.27738,0.27719,1.28
0.2782,0.27801,1.29
0.27899,0.2788,1.3
0.27975,0.27957,1.31
0.28048,0.28031,1.32
0.28119,0.28102,1.33
0.28186,0.2817,1.34
0.28251,0.28235,1.35
0.28313,0.28298,1.36
0.28372,0.28358,1.37
0.28429,0.28415,1.38
0.28482,0.28469,1.39
0.28533,0.2852,1.4
0.28581,0.28568,1.41
0.28626,0.28614,1.42
0.28668,0.28656,1.43
0.28707,0.28696,1.44
0.28743,0.28733,1.45
0.28777,0.28767,1.46
0.28807,0.28798,1.47
0.28835,0.28826,1.48
0.2886,0.28851,1.49
0.28882,0.28873,1.5
0.28901,0.28893,1.51
0.28917,0.2891,1.52
0.2893,0.28923,1.53
0.2894,0.28934,1.54
0.28948,0.28942,1.55
0.28952,0.28947,1.56
0.28954,0.28949,1.57
0.28953,0.28948,1.58
0.28949,0.28944,1.59
0.28942,0.28937,1.6
0.28932,0.28928,1.61
0.28919,0.28915,1.62
0.28903,0.289,1.63
0.28885,0.28881,1.64
0.28863,0.2886,1.65
