true_u,pred_u,Points:0
0,0.00033792,0
0.00051175,0.00085259,0.01
0.0010234,0.0013668,0.02
0.001535,0.0018806,0.03
0.0020465,0.0023939,0.04
0.0025577,0.0029065,0.05
0.0030687,0.0034188,0.06
0.0035794,0.0039303,0.07
0.0040897,0.0044412,0.08
0.0045996,0.0049513,0.09
0.005109,0.0054608,0.1
0.005618,0.0059694,0.11
0.0061263,0.0064773,0.12
0.0066341,0.0069842,0.13
0.0071412,0.0074901,0.14
0.0076476,0.0079949,0.15
0.0081532,0.0084988,0.16
0.008658,0.0090014,0.17
0.0091619,0.009503,0.18
0.009665,0.010003,0.19
0.010167,0.010502,0.2
0.010668,0.011,0.21
0.011168,0.011496,0.22
0.011667,0.011991,0.23
0.012165,0.012485,0.24
0.012661,0.012977,0.25
0.013156,0.013467,0.26
0.01365,0.013956,0.27
0.014143,0.014443,0.28
0.014634,0.014928,0.29
0.015123,0.015412,0.3
0.015612,0.015894,0.31
0.016098,0.016374,0.32
0.016583,0.016852,0.33
0.017066,0.017329,0.34
0.017548,0.017803,0.35
0.018028,0.018276,0.36
0.018506,0.018746,0.37
0.018982,0.019215,0.38
0.019456,0.019681,0.39
0.019929,0.020145,0.4
0.020399,0.020607,0.41
0.020867,0.021067,0.42
0.021334,0.021525,0.43
0.021798,0.02198,0.44
0.02226,0.022433,0.45
0.022719,0.022884,0.46
0.023177,0.023332,0.47
0.023632,0.023778,0.48
0.024085,0.024221,0.49
0.024535,0.024662,0.5
0.024983,0.0251,0.51
0.025428,0.025536,0.52
0.025871,0.025969,0.53
0.026311,0.0264,0.54
0.026749,0.026827,0.55
0.027184,0.027253,0.56
0.027616,0.027675,0.57
0.028045,0.028094,0.58
0.028472,0.028511,0.59
0.028896,0.028924,0.6
0.029317,0.029335,0.61
0.029735,0.029743,0.62
0.03015,0.030148,0.63
0.030562,0.03055,0.64
0.030971,0.030948,0.65
0.031377,0.031344,0.66
0.031779,0.031736,0.67
0.032179,0.032126,0.68
0.032575,0.032512,0.69
0.032968,0.032895,0.7
0.033358,0.033274,0.71
0.033744,0.033651,0.72
0.034127,0.034024,0.73
0.034507,0.034393,0.74
0.034883,0.03476,0.75
0.035256,0.035123,0.76
0.035625,0.035482,0.77
0.035991,0.035838,0.78
0.036353,0.03619,0.79
0.036711,0.036539,0.8
0.037066,0.036885,0.81
0.037417,0.037226,0.82
0.037764,0.037564,0.83
0.038108,0.037899,0.84
0.038447,0.03823,0.85
0.038783,0.038557,0.86
0.039115,0.03888,0.87
0.039443,0.0392,0.88
0.039767,0.039516,0.89
0.040087,0.039827,0.9
0.040403,0.040136,0.91
0.040715,0.04044,0.92
0.041023,0.04074,0.93
0.041327,0.041037,0.94
0.041627,0.04133,0.95
0.041923,0.041618,0.96
0.042214,0.041903,0.97
0.042501,0.042184,0.98
0.042784,0.042461,0.99
0.043063,0.042733,1
0.043337,0.043002,1.01
0.043607,0.043266,1.02
0.043873,0.043527,1.03
0.044134,0.043783,1.04
0.044391,0.044035,1.05
0.044643,0.044283,1.06
0.044891,0.044526,1.07
0.045135,0.044766,1.08
0.045374,0.045001,1.09
0.045608,0.045232,1.1
0.045838,0.045459,1.11
0.046063,0.045681,1.12
0.046284,0.045899,1.13
0.0465,0.046113,1.14
0.046711,0.046322,1.15
0.046918,0.046527,1.16
0.04712,0.046727,1.17
0.047317,0.046923,1.18
0.04751,0.047114,1.19
0.047698,0.047301,1.2
0.047881,0.047484,1.21
0.048059,0.047662,1.22
0.048232,0.047835,1.23
0.048401,0.048004,1.24
0.048565,0.048168,1.25
0.048724,0.048327,1.26
0.048878,0.048482,1.27
0.049027,0.048633,1.28
0.049171,0.048778,1.29
0.049311,0.048919,1.3
0.049445,0.049055,1.31
0.049575,0.049187,1.32
0.049699,0.049313,1.33
0.049819,0.049435,1.34
0.049933,0.049552,1.35
0.050043,0.049664,1.36
0.050147,0.049772,1.37
0.050247,0.049874,1.38
0.050341,0.049972,1.39
0.050431,0.050065,1.4
0.050515,0.050153,1.41
0.050595,0.050236,1.42
0.050669,0.050314,1.43
0.050738,0.050387,1.44
0.050803,0.050456,1.45
0.050862,0.050519,1.46
0.050916,0.050577,1.47
0.050965,0.050631,1.48
0.051009,0.050679,1.49
0.051047,0.050722,1.5
0.051081,0.050761,1.51
0.05111,0.050794,1.52
0.051133,0.050822,1.53
0.051151,0.050845,1.54
0.051164,0.050863,1.55
0.051173,0.050876,1.56
0.051176,0.050884,1.57
0.051173,0.050887,1.58
0.051166,0.050885,1.59
0.051154,0.050878,1.6
0.051136,0.050865,1.61
0.051114,0.050848,1.62
0.051086,0.050825,1.63
0.051053,0.050797,1.64
0.051015,0.050764,1.65
0.050972,0.050726,1.66
0.050924,0.050684,1.67
0.050871,0.050635,1.68
0.050812,0.050582,1.69
0.050749,0.050524,1.7
0.050681,0.05046,1.71
0.050607,0.050392,1.72
0.050528,0.050318,1.73
0.050445,0.050239,1.74
0.050356,0.050156,1.75
0.050262,0.050067,1.76
0.050164,0.049973,1.77
0.05006,0.049874,1.78
0.049951,0.04977,1.79
0.049837,0.04966,1.8
0.049718,0.049546,1.81
0.049595,0.049427,1.82
0.049466,0.049303,1.83
0.049332,0.049174,1.84
0.049194,0.04904,1.85
0.04905,0.0489,1.86
0.048902,0.048756,1.87
0.048749,0.048607,1.88
0.04859,0.048453,1.89
0.048427,0.048294,1.9
0.04826,0.048131,1.91
0.048087,0.047962,1.92
0.047909,0.047789,1.93
0.047727,0.04761,1.94
0.04754,0.047427,1.95
0.047348,0.047239,1.96
0.047152,0.047046,1.97
0.04695,0.046849,1.98
0.046744,0.046647,1.99
0.046534,0.04644,2
0.046319,0.046228,2.01
0.046099,0.046012,2.02
0.045874,0.045791,2.03
0.045645,0.045566,2.04
0.045411,0.045335,2.05
0.045173,0.045101,2.06
0.04493,0.044862,2.07
0.044683,0.044618,2.08
0.044431,0.04437,2.09
0.044175,0.044117,2.1
0.043915,0.04386,2.11
0.04365,0.043599,2.12
0.04338,0.043333,2.13
0.043107,0.043063,2.14
0.042829,0.042788,2.15
0.042547,0.04251,2.16
0.04226,0.042227,2.17
0.041969,0.04194,2.18
0.041674,0.041648,2.19
0.041375,0.041353,2.2
0.041072,0.041053,2.21
0.040765,0.040749,2.22
0.040453,0.040442,2.23
0.040138,0.04013,2.24
0.039818,0.039814,2.25
0.039495,0.039494,2.26
0.039167,0.039171,2.27
0.038836,0.038843,2.28
0.038501,0.038512,2.29
0.038162,0.038177,2.3
0.037819,0.037838,2.31
0.037472,0.037495,2.32
0.037122,0.037149,2.33
0.036768,0.036799,2.34
0.03641,0.036445,2.35
0.036049,0.036087,2.36
0.035684,0.035727,2.37
0.035315,0.035362,2.38
0.034943,0.034994,2.39
0.034567,0.034623,2.4
0.034188,0.034248,2.41
0.033806,0.03387,2.42
0.03342,0.033488,2.43
0.03303,0.033103,2.44
0.032638,0.032715,2.45
0.032242,0.032323,2.46
0.031843,0.031929,2.47
0.031441,0.031531,2.48
0.031036,0.03113,2.49
0.030627,0.030726,2.5
0.030216,0.030319,2.51
0.029801,0.029909,2.52
0.029384,0.029495,2.53
0.028963,0.029079,2.54
0.02854,0.02866,2.55
0.028114,0.028239,2.56
0.027685,0.027814,2.57
0.027253,0.027386,2.58
0.026818,0.026956,2.59
0.026381,0.026523,2.6
0.025941,0.026088,2.61
0.025499,0.02565,2.62
0.025054,0.025209,2.63
0.024606,0.024765,2.64
0.024156,0.024319,2.65
0.023704,0.023871,2.66
0.023249,0.02342,2.67
0.022792,0.022967,2.68
0.022333,0.022512,2.69
0.021871,0.022054,2.7
0.021408,0.021594,2.71
0.020942,0.021131,2.72
0.020474,0.020667,2.73
0.020004,0.0202,2.74
0.019532,0.019732,2.75
0.019058,0.019261,2.76
0.018582,0.018788,2.77
0.018104,0.018314,2.78
0.017625,0.017837,2.79
0.017143,0.017359,2.8
0.01666,0.016878,2.81
0.016175,0.016396,2.82
0.015689,0.015913,2.83
0.015201,0.015427,2.84
0.014712,0.01494,2.85
0.014221,0.014451,2.86
0.013729,0.013961,2.87
0.013235,0.01347,2.88
0.01274,0.012976,2.89
0.012244,0.012482,2.9
0.011746,0.011986,2.91
0.011248,0.011489,2.92
0.010748,0.01099,2.93
0.010247,0.010491,2.94
0.009745,0.0099903,2.95
0.0092421,0.0094883,2.96
0.0087383,0.0089854,2.97
0.0082337,0.0084815,2.98
0.0077282,0.0079767,2.99
0.0072219,0.007471,3
0.0067149,0.0069642,3.01
0.0062073,0.0064569,3.02
0.005699,0.0059487,3.03
0.0051901,0.00544,3.04
0.0046808,0.0049303,3.05
0.0041709,0.0044203,3.06
0.0036607,0.0039096,3.07
0.00315,0.0033983,3.08
0.0026391,0.0028867,3.09
0.0021279,0.0023746,3.1
0.0016165,0.0018621,3.11
0.0011049,0.0013493,3.12
0.00059325,0.0008362,3.13
8.1505e-05,0.0003229,3.14
