true_u,pred_u,Points:0
-0,-8.5608e-05,0
-0.010123,-0.010175,0.01
-0.020245,-0.020263,0.02
-0.030365,-0.03035,0.03
-0.040482,-0.040433,0.04
-0.050595,-0.050513,0.05
-0.060702,-0.060589,0.06
-0.070804,-0.070658,0.07
-0.080899,-0.080721,0.08
-0.090985,-0.090776,0.09
-0.10106,-0.10082,0.1
-0.11113,-0.11086,0.11
-0.12119,-0.12089,0.12
-0.13123,-0.1309,0.13
-0.14126,-0.1409,0.14
-0.15128,-0.15089,0.15
-0.16128,-0.16087,0.16
-0.17127,-0.17082,0.17
-0.18123,-0.18077,0.18
-0.19118,-0.19069,0.19
-0.20112,-0.2006,0.2
-0.21103,-0.21048,0.21
-0.22092,-0.22035,0.22
-0.23078,-0.23019,0.23
-0.24063,-0.24002,0.24
-0.25045,-0.24981,0.25
-0.26025,-0.25959,0.26
-0.27002,-0.26934,0.27
-0.27976,-0.27906,0.28
-0.28947,-0.28876,0.29
-0.29916,-0.29842,0.3
-0.30881,-0.30806,0.31
-0.31844,-0.31767,0.32
-0.32803,-0.32725,0.33
-0.33759,-0.33679,0.34
-0.34712,-0.34631,0.35
-0.35661,-0.35579,0.36
-0.36607,-0.36523,0.37
-0.37549,-0.37464,0.38
-0.38487,-0.38401,0.39
-0.39421,-0.39334,0.4
-0.40352,-0.40264,0.41
-0.41278,-0.41189,0.42
-0.422,-0.42111,0.43
-0.43118,-0.43028,0.44
-0.44032,-0.43941,0.45
-0.44941,-0.4485,0.46
-0.45846,-0.45754,0.47
-0.46746,-0.46654,0.48
-0.47642,-0.4755,0.49
-0.48533,-0.4844,0.5
-0.49419,-0.49326,0.51
-0.503,-0.50207,0.52
-0.51176,-0.51083,0.53
-0.52047,-0.51954,0.54
-0.52912,-0.5282,0.55
-0.53773,-0.53681,0.56
-0.54628,-0.54536,0.57
-0.55477,-0.55386,0.58
-0.56321,-0.56231,0.59
-0.57159,-0.5707,0.6
-0.57992,-0.57903,0.61
-0.58819,-0.58731,0.62
-0.5964,-0.59553,0.63
-0.60455,-0.60369,0.64
-0.61264,-0.61179,0.65
-0.62067,-0.61983,0.66
-0.62863,-0.6278,0.67
-0.63653,-0.63572,0.68
-0.64437,-0.64357,0.69
-0.65215,-0.65136,0.7
-0.65986,-0.65909,0.71
-0.6675,-0.66674,0.72
-0.67508,-0.67434,0.73
-0.68259,-0.68186,0.74
-0.69003,-0.68932,0.75
-0.6974,-0.69671,0.76
-0.70471,-0.70403,0.77
-0.71194,-0.71128,0.78
-0.7191,-0.71846,0.79
-0.72619,-0.72557,0.8
-0.7332,-0.73261,0.81
-0.74015,-0.73957,0.82
-0.74702,-0.74646,0.83
-0.75381,-0.75327,0.84
-0.76053,-0.76001,0.85
-0.76717,-0.76668,0.86
-0.77374,-0.77327,0.87
-0.78023,-0.77978,0.88
-0.78664,-0.78621,0.89
-0.79297,-0.79256,0.9
-0.79922,-0.79884,0.91
-0.8054,-0.80504,0.92
-0.81149,-0.81115,0.93
-0.8175,-0.81719,0.94
-0.82343,-0.82314,0.95
-0.82928,-0.82901,0.96
-0.83504,-0.8348,0.97
-0.84072,-0.8405,0.98
-0.84632,-0.84612,0.99
-0.85183,-0.85166,1
-0.85726,-0.85711,1.01
-0.8626,-0.86247,1.02
-0.86785,-0.86775,1.03
-0.87302,-0.87294,1.04
-0.8781,-0.87805,1.05
-0.8831,-0.88306,1.06
-0.888,-0.88799,1.07
-0.89282,-0.89283,1.08
-0.89754,-0.89758,1.09
-0.90218,-0.90224,1.1
-0.90673,-0.90681,1.11
-0.91118,-0.91129,1.12
-0.91555,-0.91567,1.13
-0.91982,-0.91997,1.14
-0.924,-0.92417,1.15
-0.92809,-0.92828,1.16
-0.93209,-0.9323,1.17
-0.93599,-0.93622,1.18
-0.9398,-0.94005,1.19
-0.94351,-0.94379,1.2
-0.94714,-0.94743,1.21
-0.95066,-0.95098,1.22
-0.95409,-0.95443,1.23
-0.95743,-0.95778,1.24
-0.96067,-0.96104,1.25
-0.96381,-0.9642,1.26
-0.96686,-0.96727,1.27
-0.96981,-0.97024,1.28
-0.97266,-0.97311,1.29
-0.97542,-0.97588,1.3
-0.97808,-0.97856,1.31
-0.98064,-0.98113,1.32
-0.98311,-0.98361,1.33
-0.98547,-0.98599,1.34
-0.98774,-0.98827,1.35
-0.9899,-0.99046,1.36
-0.99197,-0.99254,1.37
-0.99394,-0.99452,1.38
-0.99581,-0.9964,1.39
-0.99758,-0.99819,1.4
-0.99925,-0.99987,1.41
-1.0008,-1.0015,1.42
-1.0023,-1.0029,1.43
-1.0037,-1.0043,1.44
-1.0049,-1.0056,1.45
