true_u,pred_u,Points:0
-0,0.00011511,0
-0.011232,-0.01109,0.01
-0.022464,-0.022293,0.02
-0.033693,-0.033496,0.03
-0.044918,-0.044695,0.04
-0.056139,-0.05589,0.05
-0.067355,-0.06708,0.06
-0.078563,-0.078263,0.07
-0.089764,-0.08944,0.08
-0.10096,-0.10061,0.09
-0.11214,-0.11177,0.1
-0.12331,-0.12291,0.11
-0.13447,-0.13405,0.12
-0.14561,-0.14517,0.13
-0.15674,-0.15628,0.14
-0.16786,-0.16738,0.15
-0.17895,-0.17845,0.16
-0.19003,-0.18951,0.17
-0.2011,-0.20056,0.18
-0.21214,-0.21158,0.19
-0.22316,-0.22258,0.2
-0.23415,-0.23356,0.21
-0.24513,-0.24452,0.22
-0.25608,-0.25545,0.23
-0.267,-0.26636,0.24
-0.2779,-0.27724,0.25
-0.28877,-0.2881,0.26
-0.29961,-0.29893,0.27
-0.31042,-0.30973,0.28
-0.3212,-0.32049,0.29
-0.33194,-0.33123,0.3
-0.34266,-0.34193,0.31
-0.35334,-0.3526,0.32
-0.36398,-0.36324,0.33
-0.37459,-0.37384,0.34
-0.38516,-0.3844,0.35
-0.39569,-0.39493,0.36
-0.40619,-0.40542,0.37
-0.41664,-0.41586,0.38
-0.42705,-0.42627,0.39
-0.43741,-0.43663,0.4
-0.44774,-0.44695,0.41
-0.45802,-0.45723,0.42
-0.46825,-0.46746,0.43
-0.47844,-0.47765,0.44
-0.48858,-0.48778,0.45
-0.49867,-0.49787,0.46
-0.50871,-0.50791,0.47
-0.51869,-0.5179,0.48
-0.52863,-0.52784,0.49
-0.53852,-0.53773,0.5
-0.54835,-0.54757,0.51
-0.55812,-0.55734,0.52
-0.56784,-0.56707,0.53
-0.5775,-0.57674,0.54
-0.58711,-0.58635,0.55
-0.59666,-0.5959,0.56
-0.60614,-0.6054,0.57
-0.61557,-0.61483,0.58
-0.62493,-0.6242,0.59
-0.63424,-0.63351,0.6
-0.64347,-0.64276,0.61
-0.65265,-0.65195,0.62
-0.66176,-0.66107,0.63
-0.6708,-0.67012,0.64
-0.67978,-0.67911,0.65
-0.68868,-0.68803,0.66
-0.69752,-0.69688,0.67
-0.70629,-0.70566,0.68
-0.71499,-0.71437,0.69
-0.72362,-0.72302,0.7
-0.73217,-0.73159,0.71
-0.74066,-0.74008,0.72
-0.74906,-0.7485,0.73
-0.7574,-0.75685,0.74
-0.76565,-0.76512,0.75
-0.77383,-0.77332,0.76
-0.78194,-0.78144,0.77
-0.78996,-0.78948,0.78
-0.79791,-0.79745,0.79
-0.80577,-0.80533,0.8
-0.81356,-0.81313,0.81
-0.82126,-0.82085,0.82
-0.82888,-0.82849,0.83
-0.83642,-0.83605,0.84
-0.84388,-0.84352,0.85
-0.85125,-0.85091,0.86
-0.85853,-0.85822,0.87
-0.86573,-0.86544,0.88
-0.87285,-0.87257,0.89
-0.87987,-0.87961,0.9
-0.88681,-0.88657,0.91
-0.89366,-0.89344,0.92
-0.90042,-0.90022,0.93
-0.90709,-0.90691,0.94
-0.91367,-0.91351,0.95
-0.92016,-0.92001,0.96
-0.92655,-0.92643,0.97
-0.93286,-0.93275,0.98
-0.93907,-0.93898,0.99
-0.94518,-0.94511,1
-0.95121,-0.95115,1.01
-0.95713,-0.9571,1.02
-0.96296,-0.96295,1.03
-0.9687,-0.9687,1.04
-0.97433,-0.97436,1.05
-0.97988,-0.97991,1.06
-0.98532,-0.98537,1.07
-0.99066,-0.99073,1.08
-0.99591,-0.996,1.09
-1.0011,-1.0012,1.1
-1.0061,-1.0062,1.11
-1.011,-1.0112,1.12
-1.0159,-1.016,1.13
-1.0206,-1.0208,1.14
-1.0253,-1.0255,1.15
-1.0298,-1.03,1.16
-1.0342,-1.0345,1.17
-1.0386,-1.0388,1.18
-1.0428,-1.043,1.19
-1.0469,-1.0472,1.2
-1.0509,-1.0512,1.21
-1.0548,-1.0551,1.22
-1.0587,-1.059,1.23
-1.0624,-1.0627,1.24
-1.0659,-1.0663,1.25
-1.0694,-1.0698,1.26
-1.0728,-1.0732,1.27
-1.0761,-1.0765,1.28
-1.0793,-1.0796,1.29
-1.0823,-1.0827,1.3
-1.0853,-1.0857,1.31
-1.0881,-1.0885,1.32
-1.0908,-1.0913,1.33
-1.0935,-1.0939,1.34
-1.096,-1.0964,1.35
-1.0984,-1.0988,1.36
-1.1007,-1.1012,1.37
-1.1029,-1.1033,1.38
-1.1049,-1.1054,1.39
-1.1069,-1.1074,1.4
-1.1088,-1.1093,1.41
-1.1105,-1.111,1.42
-1.1121,-1.1127,1.43
-1.1137,-1.1142,1.44
-1.1151,-1.1156,1.45
-1.1164,-1.1169,1.46
-1.1176,-1.1181,1.47
-1.1186,-1.1192,1.48
-1.1196,-1.1201,1.49
-1.1204,-1.121,1.5
-1.1212,-1.1217,1.51
-1.1218,-1.1224,1.52
-1.1223,-1.1229,1.53
-1.1227,-1.1233,1.54
-1.123,-1.1236,1.55
-1.1232,-1.1238,1.56
-1.1233,-1.1238,1.57
-1.1232,-1.1238,1.58
-1.123,-1.1236,1.59
-1.1228,-1.1233,1.6
-1.1224,-1.123,1.61
-1.1219,-1.1225,1.62
-1.1213,-1.1219,1.63
