true_u,pred_u,Points:0
-0,0.00028106,0
-0.0011838,-0.00089436,0.01
-0.0023674,-0.0020702,0.02
-0.0035509,-0.0032461,0.03
-0.0047339,-0.0044218,0.04
-0.0059165,-0.0055976,0.05
-0.0070986,-0.0067729,0.06
-0.0082798,-0.0079479,0.07
-0.0094603,-0.0091223,0.08
-0.01064,-0.010296,0.09
-0.011818,-0.011469,0.1
-0.012996,-0.012641,0.11
-0.014172,-0.013813,0.12
-0.015346,-0.014983,0.13
-0.016519,-0.016152,0.14
-0.017691,-0.017319,0.15
-0.01886,-0.018486,0.16
-0.020028,-0.01965,0.17
-0.021194,-0.020813,0.18
-0.022357,-0.021975,0.19
-0.023519,-0.023134,0.2
-0.024678,-0.024292,0.21
-0.025834,-0.025448,0.22
-0.026988,-0.026601,0.23
-0.028139,-0.027752,0.24
-0.029288,-0.028901,0.25
-0.030433,-0.030047,0.26
-0.031576,-0.03119,0.27
-0.032715,-0.032331,0.28
-0.033851,-0.033469,0.29
-0.034984,-0.034603,0.3
-0.036113,-0.035735,0.31
-0.037238,-0.036864,0.32
-0.03836,-0.037989,0.33
-0.039478,-0.03911,0.34
-0.040592,-0.040228,0.35
-0.041702,-0.041343,0.36
-0.042808,-0.042453,0.37
-0.04391,-0.043559,0.38
-0.045007,-0.044662,0.39
-0.046099,-0.04576,0.4
-0.047187,-0.046854,0.41
-0.048271,-0.047944,0.42
-0.049349,-0.049029,0.43
-0.050423,-0.050109,0.44
-0.051491,-0.051185,0.45
-0.052555,-0.052255,0.46
-0.053613,-0.053321,0.47
-0.054666,-0.054382,0.48
-0.055713,-0.055437,0.49
-0.056754,-0.056487,0.5
-0.057791,-0.057532,0.51
-0.058821,-0.058571,0.52
-0.059845,-0.059605,0.53
-0.060864,-0.060632,0.54
-0.061876,-0.061654,0.55
-0.062882,-0.06267,0.56
-0.063882,-0.06368,0.57
-0.064875,-0.064683,0.58
-0.065862,-0.065681,0.59
-0.066842,-0.066671,0.6
-0.067816,-0.067656,0.61
-0.068783,-0.068634,0.62
-0.069743,-0.069605,0.63
-0.070696,-0.070569,0.64
-0.071642,-0.071526,0.65
-0.072581,-0.072476,0.66
-0.073512,-0.07342,0.67
-0.074437,-0.074356,0.68
-0.075353,-0.075284,0.69
-0.076263,-0.076206,0.7
-0.077164,-0.077119,0.71
-0.078058,-0.078025,0.72
-0.078944,-0.078924,0.73
-0.079822,-0.079815,0.74
-0.080693,-0.080697,0.75
-0.081555,-0.081572,0.76
-0.082409,-0.082438,0.77
-0.083254,-0.083297,0.78
-0.084092,-0.084147,0.79
-0.084921,-0.084988,0.8
-0.085741,-0.085822,0.81
-0.086553,-0.086646,0.82
-0.087356,-0.087462,0.83
-0.088151,-0.088269,0.84
-0.088937,-0.089068,0.85
-0.089714,-0.089857,0.86
-0.090481,-0.090638,0.87
-0.09124,-0.091409,0.88
-0.09199,-0.092171,0.89
-0.09273,-0.092924,0.9
-0.093462,-0.093667,0.91
-0.094183,-0.094401,0.92
-0.094896,-0.095125,0.93
-0.095599,-0.09584,0.94
-0.096292,-0.096546,0.95
-0.096976,-0.097241,0.96
-0.09765,-0.097927,0.97
-0.098314,-0.098602,0.98
-0.098969,-0.099267,0.99
-0.099614,-0.099923,1
-0.10025,-0.10057,1.01
-0.10087,-0.1012,1.02
-0.10149,-0.10183,1.03
-0.10209,-0.10244,1.04
-0.10269,-0.10305,1.05
-0.10327,-0.10364,1.06
-0.10384,-0.10422,1.07
-0.10441,-0.10479,1.08
-0.10496,-0.10536,1.09
-0.1055,-0.10591,1.1
-0.10603,-0.10645,1.11
-0.10655,-0.10698,1.12
-0.10706,-0.10749,1.13
-0.10756,-0.108,1.14
-0.10805,-0.1085,1.15
-0.10853,-0.10898,1.16
-0.109,-0.10946,1.17
-0.10946,-0.10992,1.18
-0.1099,-0.11037,1.19
-0.11033,-0.11081,1.2
-0.11076,-0.11124,1.21
-0.11117,-0.11165,1.22
-0.11157,-0.11206,1.23
-0.11196,-0.11245,1.24
-0.11234,-0.11284,1.25
-0.11271,-0.11321,1.26
-0.11307,-0.11357,1.27
-0.11341,-0.11392,1.28
-0.11374,-0.11425,1.29
-0.11407,-0.11458,1.3
-0.11438,-0.11489,1.31
-0.11468,-0.11519,1.32
-0.11496,-0.11548,1.33
-0.11524,-0.11576,1.34
-0.11551,-0.11602,1.35
-0.11576,-0.11628,1.36
-0.116,-0.11652,1.37
-0.11623,-0.11675,1.38
-0.11645,-0.11697,1.39
-0.11666,-0.11717,1.4
-0.11685,-0.11737,1.41
-0.11704,-0.11755,1.42
-0.11721,-0.11772,1.43
-0.11737,-0.11788,1.44
-0.11752,-0.11802,1.45
-0.11765,-0.11816,1.46
-0.11778,-0.11828,1.47
-0.11789,-0.11839,1.48
-0.11799,-0.11849,1.49
-0.11808,-0.11857,1.5
-0.11816,-0.11865,1.51
-0.11823,-0.11871,1.52
-0.11828,-0.11876,1.53
-0.11832,-0.1188,1.54
-0.11835,-0.11882,1.55
-0.11837,-0.11884,1.56
