true_u,pred_u,Points:0
0,-0.00030608,0
0.001443,0.0010928,0.01
0.0028858,0.002492,0.02
0.0043283,0.0038916,0.03
0.0057704,0.0052914,0.04
0.007212,0.0066912,0.05
0.0086528,0.0080908,0.06
0.010093,0.0094906,0.07
0.011532,0.01089,0.08
0.012969,0.012289,0.09
0.014406,0.013688,0.1
0.015841,0.015086,0.11
0.017274,0.016483,0.12
0.018706,0.01788,0.13
0.020136,0.019275,0.14
0.021564,0.02067,0.15
0.022989,0.022063,0.16
0.024413,0.023456,0.17
0.025834,0.024847,0.18
0.027252,0.026236,0.19
0.028668,0.027624,0.2
0.030081,0.02901,0.21
0.03149,0.030394,0.22
0.032897,0.031777,0.23
0.0343,0.033157,0.24
0.0357,0.034535,0.25
0.037097,0.03591,0.26
0.038489,0.037283,0.27
0.039878,0.038654,0.28
0.041263,0.040022,0.29
0.042643,0.041386,0.3
0.04402,0.042748,0.31
0.045392,0.044107,0.32
0.046759,0.045462,0.33
0.048122,0.046814,0.34
0.04948,0.048162,0.35
0.050833,0.049507,0.36
0.052181,0.050847,0.37
0.053524,0.052184,0.38
0.054861,0.053516,0.39
0.056193,0.054844,0.4
0.057519,0.056168,0.41
0.05884,0.057488,0.42
0.060154,0.058802,0.43
0.061463,0.060112,0.44
0.062765,0.061416,0.45
0.064061,0.062715,0.46
0.065351,0.064009,0.47
0.066634,0.065298,0.48
0.067911,0.066581,0.49
0.069181,0.067858,0.5
0.070444,0.06913,0.51
0.071699,0.070395,0.52
0.072948,0.071654,0.53
0.074189,0.072907,0.54
0.075423,0.074154,0.55
0.07665,0.075394,0.56
0.077868,0.076626,0.57
0.079079,0.077852,0.58
0.080282,0.079071,0.59
0.081477,0.080283,0.6
0.082664,0.081488,0.61
0.083843,0.082685,0.62
0.085013,0.083874,0.63
0.086175,0.085056,0.64
0.087328,0.08623,0.65
0.088472,0.087395,0.66
0.089608,0.088553,0.67
0.090734,0.089702,0.68
0.091852,0.090842,0.69
0.09296,0.091975,0.7
0.094059,0.093098,0.71
0.095149,0.094212,0.72
0.096229,0.095317,0.73
0.097299,0.096414,0.74
0.09836,0.0975,0.75
0.099411,0.098578,0.76
0.10045,0.099646,0.77
0.10148,0.1007,0.78
0.1025,0.10175,0.79
0.10351,0.10279,0.8
0.10451,0.10382,0.81
0.1055,0.10484,0.82
0.10648,0.10585,0.83
0.10745,0.10684,0.84
0.10841,0.10783,0.85
0.10936,0.10881,0.86
0.11029,0.10977,0.87
0.11122,0.11072,0.88
0.11213,0.11167,0.89
0.11303,0.1126,0.9
0.11392,0.11352,0.91
0.1148,0.11443,0.92
0.11567,0.11533,0.93
0.11653,0.11621,0.94
0.11738,0.11709,0.95
0.11821,0.11795,0.96
0.11903,0.1188,0.97
0.11984,0.11964,0.98
0.12064,0.12047,0.99
0.12142,0.12128,1
0.1222,0.12208,1.01
0.12296,0.12287,1.02
0.12371,0.12365,1.03
0.12444,0.12442,1.04
0.12517,0.12517,1.05
0.12588,0.12591,1.06
0.12658,0.12663,1.07
0.12727,0.12735,1.08
0.12794,0.12805,1.09
0.1286,0.12873,1.1
0.12925,0.12941,1.11
0.12988,0.13007,1.12
0.13051,0.13072,1.13
0.13112,0.13135,1.14
0.13171,0.13197,1.15
0.13229,0.13258,1.16
0.13286,0.13317,1.17
0.13342,0.13375,1.18
0.13396,0.13432,1.19
0.13449,0.13487,1.2
0.13501,0.13541,1.21
0.13551,0.13593,1.22
0.136,0.13644,1.23
0.13648,0.13694,1.24
0.13694,0.13742,1.25
0.13739,0.13789,1.26
0.13782,0.13834,1.27
0.13824,0.13878,1.28
0.13865,0.1392,1.29
0.13904,0.13961,1.3
0.13942,0.14001,1.31
0.13978,0.14039,1.32
0.14014,0.14076,1.33
0.14047,0.14111,1.34
0.1408,0.14145,1.35
0.14111,0.14177,1.36
0.1414,0.14208,1.37
0.14168,0.14237,1.38
0.14195,0.14265,1.39
0.1422,0.14292,1.4
0.14244,0.14317,1.41
0.14266,0.1434,1.42
0.14287,0.14362,1.43
0.14307,0.14383,1.44
0.14325,0.14402,1.45
0.14341,0.14419,1.46
0.14357,0.14435,1.47
0.1437,0.1445,1.48
0.14383,0.14463,1.49
0.14394,0.14474,1.5
0.14403,0.14485,1.51
0.14411,0.14493,1.52
0.14418,0.145,1.53
0.14423,0.14506,1.54
0.14427,0.1451,1.55
0.14429,0.14512,1.56
0.1443,0.14514,1.57
0.14429,0.14513,1.58
0.14427,0.14511,1.59
0.14424,0.14508,1.6
0.14419,0.14503,1.61
0.14412,0.14496,1.62
0.14405,0.14489,1.63
0.14395,0.14479,1.64
0.14385,0.14468,1.65
0.14373,0.14456,1.66
0.14359,0.14442,1.67
0.14344,0.14427,1.68
0.14328,0.1441,1.69
0.1431,0.14392,1.7
0.1429,0.14372,1.71
0.1427,0.14351,1.72
0.14247,0.14328,1.73
0.14224,0.14304,1.74
0.14199,0.14278,1.75
0.14172,0.14251,1.76
0.14145,0.14222,1.77
0.14115,0.14192,1.78
0.14085,0.1416,1.79
0.14053,0.14128,1.8
0.14019,0.14093,1.81
0.13984,0.14057,1.82
0.13948,0.1402,1.83
0.1391,0.13981,1.84
0.13871,0.13941,1.85
0.13831,0.13899,1.86
0.13789,0.13856,1.87
0.13746,0.13812,1.88
0.13701,0.13766,1.89
0.13655,0.13719,1.9
0.13608,0.1367,1.91
0.13559,0.1362,1.92
0.13509,0.13568,1.93
0.13458,0.13515,1.94
0.13405,0.13461,1.95
0.13351,0.13406,1.96
0.13295,0.13349,1.97
0.13239,0.1329,1.98
0.1318,0.13231,1.99
0.13121,0.1317,2
0.1306,0.13107,2.01
0.12998,0.13044,2.02
0.12935,0.12978,2.03
0.1287,0.12912,2.04
0.12805,0.12844,2.05
0.12737,0.12776,2.06
0.12669,0.12705,2.07
0.12599,0.12634,2.08
0.12528,0.12561,2.09
0.12456,0.12487,2.1
0.12383,0.12411,2.11
0.12308,0.12335,2.12
0.12232,0.12257,2.13
0.12155,0.12178,2.14
0.12076,0.12097,2.15
0.11997,0.12016,2.16
0.11916,0.11933,2.17
0.11834,0.11849,2.18
0.11751,0.11764,2.19
0.11667,0.11678,2.2
0.11581,0.1159,2.21
0.11494,0.11501,2.22
0.11407,0.11412,2.23
0.11318,0.11321,2.24
0.11228,0.11229,2.25
0.11136,0.11135,2.26
0.11044,0.11041,2.27
0.10951,0.10946,2.28
0.10856,0.10849,2.29
0.1076,0.10751,2.3
0.10664,0.10653,2.31
0.10566,0.10553,2.32
0.10467,0.10452,2.33
0.10367,0.10351,2.34
0.10267,0.10248,2.35
0.10165,0.10144,2.36
0.10062,0.10039,2.37
0.099577,0.099332,2.38
0.098528,0.098265,2.39
0.097469,0.097187,2.4
0.0964,0.0961,2.41
0.095321,0.095004,2.42
0.094233,0.093899,2.43
0.093136,0.092784,2.44
0.092029,0.091661,2.45
0.090913,0.090529,2.46
0.089788,0.089388,2.47
0.088654,0.088239,2.48
0.087511,0.087081,2.49
0.086359,0.085914,2.5
0.085199,0.08474,2.51
0.08403,0.083558,2.52
0.082853,0.082367,2.53
0.081667,0.081169,2.54
0.080473,0.079963,2.55
0.079272,0.07875,2.56
0.078062,0.07753,2.57
0.076844,0.076302,2.58
0.075619,0.075067,2.59
0.074386,0.073826,2.6
0.073146,0.072577,2.61
0.071899,0.071322,2.62
0.070644,0.07006,2.63
0.069382,0.068792,2.64
0.068114,0.067518,2.65
0.066838,0.066238,2.66
0.065556,0.064952,2.67
0.064267,0.06366,2.68
0.062972,0.062362,2.69
0.061671,0.061059,2.7
0.060363,0.05975,2.71
0.059049,0.058437,2.72
0.05773,0.057118,2.73
0.056404,0.055794,2.74
0.055073,0.054466,2.75
0.053737,0.053133,2.76
0.052395,0.051795,2.77
0.051048,0.050453,2.78
0.049696,0.049107,2.79
0.048339,0.047756,2.8
0.046977,0.046402,2.81
0.04561,0.045044,2.82
0.044239,0.043682,2.83
0.042863,0.042317,2.84
0.041483,0.040948,2.85
0.040099,0.039576,2.86
0.038711,0.038201,2.87
0.037319,0.036823,2.88
0.035923,0.035442,2.89
0.034523,0.034059,2.9
0.033121,0.032672,2.91
0.031715,0.031284,2.92
0.030305,0.029893,2.93
0.028893,0.0285,2.94
0.027478,0.027105,2.95
0.02606,0.025708,2.96
0.024639,0.024309,2.97
0.023216,0.022909,2.98
0.021791,0.021507,2.99
0.020364,0.020103,3
0.018934,0.018699,3.01
0.017503,0.017294,3.02
0.016069,0.015887,3.03
0.014635,0.014479,3.04
0.013198,0.013071,3.05
0.011761,0.011662,3.06
0.010322,0.010253,3.07
0.0088822,0.0088436,3.08
0.0074415,0.0074339,3.09
0.0060001,0.0060243,3.1
0.004558,0.0046145,3.11
0.0031156,0.003205,3.12
0.0016728,0.0017956,3.13
0.00022982,0.00038694,3.14
