true_u,pred_u,Points:0
-0,-0.00036401,0
-0.011534,-0.011905,0.01
-0.023068,-0.023444,0.02
-0.034599,-0.034981,0.03
-0.046126,-0.046514,0.04
-0.057649,-0.058042,0.05
-0.069166,-0.069564,0.06
-0.080677,-0.081078,0.07
-0.092179,-0.092584,0.08
-0.10367,-0.10408,0.09
-0.11515,-0.11557,0.1
-0.12663,-0.12704,0.11
-0.13808,-0.1385,0.12
-0.14953,-0.14995,0.13
-0.16096,-0.16138,0.14
-0.17237,-0.17279,0.15
-0.18377,-0.18419,0.16
-0.19515,-0.19557,0.17
-0.2065,-0.20693,0.18
-0.21784,-0.21826,0.19
-0.22916,-0.22958,0.2
-0.24045,-0.24087,0.21
-0.25172,-0.25214,0.22
-0.26296,-0.26338,0.23
-0.27418,-0.2746,0.24
-0.28537,-0.28579,0.25
-0.29653,-0.29695,0.26
-0.30767,-0.30808,0.27
-0.31877,-0.31918,0.28
-0.32984,-0.33024,0.29
-0.34087,-0.34128,0.3
-0.35187,-0.35228,0.31
-0.36284,-0.36324,0.32
-0.37377,-0.37417,0.33
-0.38467,-0.38506,0.34
-0.39552,-0.39591,0.35
-0.40634,-0.40672,0.36
-0.41711,-0.41749,0.37
-0.42784,-0.42822,0.38
-0.43853,-0.4389,0.39
-0.44918,-0.44955,0.4
-0.45978,-0.46014,0.41
-0.47034,-0.47069,0.42
-0.48085,-0.4812,0.43
-0.49131,-0.49165,0.44
-0.50172,-0.50206,0.45
-0.51208,-0.51241,0.46
-0.52239,-0.52272,0.47
-0.53265,-0.53297,0.48
-0.54285,-0.54316,0.49
-0.553,-0.55331,0.5
-0.5631,-0.5634,0.51
-0.57313,-0.57343,0.52
-0.58312,-0.5834,0.53
-0.59304,-0.59332,0.54
-0.6029,-0.60317,0.55
-0.6127,-0.61297,0.56
-0.62245,-0.6227,0.57
-0.63213,-0.63238,0.58
-0.64174,-0.64198,0.59
-0.6513,-0.65153,0.6
-0.66078,-0.66101,0.61
-0.6702,-0.67042,0.62
-0.67956,-0.67977,0.63
-0.68884,-0.68905,0.64
-0.69806,-0.69826,0.65
-0.70721,-0.7074,0.66
-0.71629,-0.71646,0.67
-0.72529,-0.72546,0.68
-0.73422,-0.73439,0.69
-0.74308,-0.74324,0.7
-0.75187,-0.75201,0.71
-0.76058,-0.76072,0.72
-0.76921,-0.76934,0.73
-0.77777,-0.77789,0.74
-0.78625,-0.78636,0.75
-0.79465,-0.79476,0.76
-0.80297,-0.80307,0.77
-0.81121,-0.8113,0.78
-0.81937,-0.81945,0.79
-0.82745,-0.82752,0.8
-0.83544,-0.83551,0.81
-0.84335,-0.84342,0.82
-0.85118,-0.85124,0.83
-0.85892,-0.85897,0.84
-0.86658,-0.86662,0.85
-0.87415,-0.87418,0.86
-0.88163,-0.88166,0.87
-0.88902,-0.88905,0.88
-0.89633,-0.89635,0.89
-0.90354,-0.90356,0.9
-0.91067,-0.91067,0.91
-0.9177,-0.9177,0.92
-0.92464,-0.92464,0.93
-0.93149,-0.93148,0.94
-0.93825,-0.93824,0.95
-0.94491,-0.94489,0.96
-0.95148,-0.95146,0.97
-0.95795,-0.95792,0.98
-0.96433,-0.9643,0.99
-0.97061,-0.97057,1
-0.97679,-0.97675,1.01
-0.98288,-0.98284,1.02
-0.98886,-0.98882,1.03
-0.99475,-0.99471,1.04
-1.0005,-1.0005,1.05
-1.0062,-1.0062,1.06
-1.0118,-1.0118,1.07
-1.0173,-1.0172,1.08
-1.0227,-1.0226,1.09
-1.028,-1.0279,1.1
-1.0332,-1.0331,1.11
-1.0382,-1.0382,1.12
-1.0432,-1.0431,1.13
-1.0481,-1.048,1.14
-1.0528,-1.0528,1.15
-1.0575,-1.0574,1.16
-1.0621,-1.062,1.17
-1.0665,-1.0664,1.18
-1.0708,-1.0708,1.19
-1.0751,-1.075,1.2
-1.0792,-1.0791,1.21
-1.0832,-1.0831,1.22
-1.0871,-1.087,1.23
-1.0909,-1.0909,1.24
-1.0946,-1.0945,1.25
-1.0982,-1.0981,1.26
-1.1017,-1.1016,1.27
-1.105,-1.105,1.28
-1.1083,-1.1082,1.29
-1.1114,-1.1114,1.3
-1.1145,-1.1144,1.31
-1.1174,-1.1173,1.32
-1.1202,-1.1201,1.33
-1.1229,-1.1228,1.34
-1.1255,-1.1254,1.35
-1.1279,-1.1279,1.36
-1.1303,-1.1302,1.37
-1.1325,-1.1325,1.38
-1.1347,-1.1346,1.39
-1.1367,-1.1366,1.4
-1.1386,-1.1385,1.41
-1.1404,-1.1403,1.42
-1.1421,-1.142,1.43
-1.1436,-1.1436,1.44
-1.1451,-1.145,1.45
-1.1464,-1.1463,1.46
-1.1476,-1.1476,1.47
-1.1487,-1.1487,1.48
-1.1497,-1.1497,1.49
-1.1506,-1.1505,1.5
-1.1513,-1.1513,1.51
-1.152,-1.1519,1.52
-1.1525,-1.1525,1.53
-1.1529,-1.1529,1.54
-1.1532,-1.1532,1.55
-1.1534,-1.1534,1.56
-1.1535,-1.1534,1.57
-1.1534,-1.1534,1.58
-1.1533,-1.1532,1.59
-1.153,-1.153,1.6
-1.1526,-1.1526,1.61
-1.1521,-1.1521,1.62
-1.1514,-1.1514,1.63
-1.1507,-1.1507,1.64
-1.1498,-1.1499,1.65
-1.1489,-1.1489,1.66
-1.1478,-1.1478,1.67
-1.1466,-1.1466,1.68
-1.1453,-1.1453,1.69
-1.1439,-1.1439,1.7
-1.1423,-1.1423,1.71
-1.1407,-1.1407,1.72
-1.1389,-1.1389,1.73
-1.137,-1.137,1.74
-1.135,-1.135,1.75
-1.1329,-1.1329,1.76
-1.1307,-1.1307,1.77
-1.1283,-1.1284,1.78
-1.1259,-1.1259,1.79
-1.1233,-1.1234,1.8
-1.1206,-1.1207,1.81
-1.1178,-1.1179,1.82
-1.1149,-1.115,1.83
-1.1119,-1.112,1.84
-1.1088,-1.1089,1.85
-1.1056,-1.1056,1.86
-1.1022,-1.1023,1.87
-1.0988,-1.0988,1.88
-1.0952,-1.0953,1.89
-1.0915,-1.0916,1.9
-1.0877,-1.0878,1.91
-1.0838,-1.0839,1.92
-1.0798,-1.0799,1.93
-1.0757,-1.0758,1.94
-1.0715,-1.0716,1.95
-1.0672,-1.0673,1.96
-1.0628,-1.0629,1.97
-1.0582,-1.0583,1.98
-1.0536,-1.0537,1.99
-1.0488,-1.0489,2
-1.044,-1.0441,2.01
-1.039,-1.0391,2.02
-1.034,-1.0341,2.03
-1.0288,-1.0289,2.04
-1.0235,-1.0237,2.05
-1.0182,-1.0183,2.06
-1.0127,-1.0128,2.07
-1.0071,-1.0072,2.08
-1.0015,-1.0016,2.09
-0.99568,-0.9958,2.1
-0.98981,-0.98993,2.11
-0.98384,-0.98396,2.12
-0.97777,-0.97789,2.13
-0.9716,-0.97173,2.14
-0.96533,-0.96546,2.15
-0.95897,-0.9591,2.16
-0.95251,-0.95265,2.17
-0.94596,-0.94609,2.18
-0.93931,-0.93945,2.19
-0.93257,-0.93271,2.2
-0.92574,-0.92588,2.21
-0.91881,-0.91895,2.22
-0.91179,-0.91193,2.23
-0.90468,-0.90482,2.24
-0.89748,-0.89762,2.25
-0.89019,-0.89034,2.26
-0.88281,-0.88296,2.27
-0.87534,-0.87549,2.28
-0.86779,-0.86794,2.29
-0.86015,-0.8603,2.3
-0.85242,-0.85257,2.31
-0.8446,-0.84476,2.32
-0.83671,-0.83686,2.33
-0.82872,-0.82889,2.34
-0.82066,-0.82082,2.35
-0.81251,-0.81268,2.36
-0.80429,-0.80445,2.37
-0.79598,-0.79615,2.38
-0.78759,-0.78776,2.39
-0.77912,-0.7793,2.4
-0.77058,-0.77076,2.41
-0.76196,-0.76214,2.42
-0.75326,-0.75344,2.43
-0.74449,-0.74467,2.44
-0.73564,-0.73583,2.45
-0.72672,-0.72691,2.46
-0.71772,-0.71792,2.47
-0.70866,-0.70886,2.48
-0.69952,-0.69972,2.49
-0.69032,-0.69052,2.5
-0.68104,-0.68125,2.51
-0.6717,-0.67191,2.52
-0.66229,-0.6625,2.53
-0.65281,-0.65303,2.54
-0.64327,-0.64349,2.55
-0.63366,-0.63389,2.56
-0.62399,-0.62422,2.57
-0.61426,-0.61449,2.58
-0.60447,-0.6047,2.59
-0.59461,-0.59485,2.6
-0.5847,-0.58494,2.61
-0.57473,-0.57497,2.62
-0.5647,-0.56495,2.63
-0.55461,-0.55487,2.64
-0.54447,-0.54473,2.65
-0.53428,-0.53454,2.66
-0.52403,-0.52429,2.67
-0.51372,-0.51399,2.68
-0.50337,-0.50364,2.69
-0.49297,-0.49324,2.7
-0.48252,-0.4828,2.71
-0.47201,-0.4723,2.72
-0.46147,-0.46175,2.73
