true_u,pred_u,Points:0
-0,-0.00014511,0
-0.0074376,-0.0075699,0.01
-0.014874,-0.014994,0.02
-0.02231,-0.022417,0.03
-0.029743,-0.029837,0.04
-0.037173,-0.037254,0.05
-0.0446,-0.044667,0.06
-0.052022,-0.052076,0.07
-0.059438,-0.05948,0.08
-0.066849,-0.066877,0.09
-0.074254,-0.074268,0.1
-0.08165,-0.081652,0.11
-0.089039,-0.089027,0.12
-0.096419,-0.096394,0.13
-0.10379,-0.10375,0.14
-0.11115,-0.1111,0.15
-0.1185,-0.11843,0.16
-0.12583,-0.12576,0.17
-0.13316,-0.13307,0.18
-0.14047,-0.14037,0.19
-0.14777,-0.14765,0.2
-0.15505,-0.15492,0.21
-0.16231,-0.16218,0.22
-0.16956,-0.16942,0.23
-0.1768,-0.17664,0.24
-0.18401,-0.18385,0.25
-0.19121,-0.19103,0.26
-0.19839,-0.1982,0.27
-0.20555,-0.20535,0.28
-0.21268,-0.21248,0.29
-0.2198,-0.21959,0.3
-0.22689,-0.22667,0.31
-0.23397,-0.23373,0.32
-0.24101,-0.24078,0.33
-0.24804,-0.24779,0.34
-0.25504,-0.25478,0.35
-0.26201,-0.26175,0.36
-0.26896,-0.26869,0.37
-0.27588,-0.27561,0.38
-0.28277,-0.2825,0.39
-0.28964,-0.28936,0.4
-0.29648,-0.29619,0.41
-0.30328,-0.30299,0.42
-0.31006,-0.30976,0.43
-0.3168,-0.3165,0.44
-0.32352,-0.32321,0.45
-0.3302,-0.32989,0.46
-0.33685,-0.33654,0.47
-0.34346,-0.34315,0.48
-0.35004,-0.34973,0.49
-0.35658,-0.35627,0.5
-0.36309,-0.36278,0.51
-0.36957,-0.36925,0.52
-0.376,-0.37569,0.53
-0.3824,-0.38208,0.54
-0.38876,-0.38844,0.55
-0.39508,-0.39477,0.56
-0.40136,-0.40105,0.57
-0.40761,-0.40729,0.58
-0.41381,-0.4135,0.59
-0.41997,-0.41966,0.6
-0.42608,-0.42578,0.61
-0.43216,-0.43186,0.62
-0.43819,-0.43789,0.63
-0.44418,-0.44388,0.64
-0.45012,-0.44983,0.65
-0.45602,-0.45573,0.66
-0.46187,-0.46159,0.67
-0.46768,-0.4674,0.68
-0.47344,-0.47317,0.69
-0.47915,-0.47889,0.7
-0.48482,-0.48456,0.71
-0.49043,-0.49018,0.72
-0.496,-0.49576,0.73
-0.50152,-0.50128,0.74
-0.50699,-0.50676,0.75
-0.5124,-0.51219,0.76
-0.51777,-0.51756,0.77
-0.52308,-0.52288,0.78
-0.52834,-0.52815,0.79
-0.53355,-0.53337,0.8
-0.53871,-0.53854,0.81
-0.54381,-0.54365,0.82
-0.54885,-0.54871,0.83
-0.55385,-0.55371,0.84
-0.55878,-0.55866,0.85
-0.56366,-0.56355,0.86
-0.56849,-0.56839,0.87
-0.57326,-0.57317,0.88
-0.57797,-0.57789,0.89
-0.58262,-0.58256,0.9
-0.58721,-0.58716,0.91
-0.59175,-0.59171,0.92
-0.59622,-0.5962,0.93
-0.60064,-0.60063,0.94
-0.605,-0.605,0.95
-0.60929,-0.60931,0.96
-0.61353,-0.61356,0.97
-0.6177,-0.61775,0.98
-0.62181,-0.62188,0.99
-0.62586,-0.62594,1
-0.62985,-0.62995,1.01
-0.63378,-0.63388,1.02
-0.63764,-0.63776,1.03
-0.64143,-0.64157,1.04
-0.64517,-0.64532,1.05
-0.64884,-0.649,1.06
-0.65244,-0.65262,1.07
-0.65598,-0.65618,1.08
-0.65945,-0.65966,1.09
-0.66286,-0.66308,1.1
-0.6662,-0.66644,1.11
-0.66947,-0.66973,1.12
-0.67268,-0.67295,1.13
-0.67582,-0.6761,1.14
-0.67889,-0.67919,1.15
-0.68189,-0.68221,1.16
-0.68483,-0.68516,1.17
-0.6877,-0.68804,1.18
-0.6905,-0.69085,1.19
-0.69323,-0.6936,1.2
-0.69589,-0.69627,1.21
-0.69848,-0.69887,1.22
-0.701,-0.70141,1.23
-0.70345,-0.70387,1.24
-0.70583,-0.70626,1.25
-0.70814,-0.70859,1.26
-0.71038,-0.71084,1.27
-0.71255,-0.71302,1.28
-0.71464,-0.71512,1.29
-0.71667,-0.71716,1.3
-0.71862,-0.71912,1.31
-0.72051,-0.72102,1.32
-0.72232,-0.72284,1.33
-0.72405,-0.72458,1.34
-0.72572,-0.72626,1.35
-0.72731,-0.72786,1.36
-0.72883,-0.72939,1.37
-0.73028,-0.73084,1.38
-0.73165,-0.73222,1.39
-0.73295,-0.73353,1.4
-0.73418,-0.73476,1.41
-0.73533,-0.73592,1.42
-0.73641,-0.73701,1.43
-0.73742,-0.73802,1.44
-0.73835,-0.73896,1.45
-0.73921,-0.73983,1.46
-0.74,-0.74061,1.47
-0.74071,-0.74133,1.48
-0.74135,-0.74197,1.49
-0.74191,-0.74254,1.5
-0.7424,-0.74303,1.51
-0.74281,-0.74344,1.52
-0.74316,-0.74378,1.53
-0.74342,-0.74405,1.54
-0.74361,-0.74424,1.55
-0.74373,-0.74436,1.56
-0.74377,-0.7444,1.57
-0.74374,-0.74437,1.58
-0.74364,-0.74426,1.59
-0.74346,-0.74408,1.6
-0.7432,-0.74382,1.61
-0.74287,-0.74349,1.62
-0.74247,-0.74308,1.63
-0.74199,-0.7426,1.64
-0.74144,-0.74205,1.65
-0.74082,-0.74142,1.66
-0.74012,-0.74071,1.67
-0.73934,-0.73993,1.68
-0.7385,-0.73908,1.69
-0.73757,-0.73815,1.7
-0.73658,-0.73715,1.71
-0.73551,-0.73607,1.72
-0.73437,-0.73492,1.73
-0.73315,-0.73369,1.74
-0.73186,-0.7324,1.75
-0.7305,-0.73102,1.76
-0.72907,-0.72958,1.77
-0.72756,-0.72806,1.78
-0.72598,-0.72647,1.79
-0.72432,-0.7248,1.8
-0.7226,-0.72307,1.81
-0.7208,-0.72126,1.82
-0.71893,-0.71937,1.83
-0.71699,-0.71742,1.84
-0.71497,-0.71539,1.85
-0.71289,-0.71329,1.86
-0.71073,-0.71112,1.87
-0.7085,-0.70888,1.88
