true_u,pred_u,Points:0
0,0.00028429,0
0.0053268,0.0055993,0.01
0.010653,0.010913,0.02
0.015978,0.016226,0.03
0.021302,0.021537,0.04
0.026623,0.026846,0.05
0.031942,0.032152,0.06
0.037258,0.037455,0.07
0.042569,0.042754,0.08
0.047877,0.048048,0.09
0.05318,0.053338,0.1
0.058477,0.058622,0.11
0.063769,0.063901,0.12
0.069054,0.069173,0.13
0.074333,0.074438,0.14
0.079604,0.079696,0.15
0.084867,0.084946,0.16
0.090121,0.090188,0.17
0.095367,0.09542,0.18
0.1006,0.10064,0.19
0.10583,0.10586,0.2
0.11104,0.11106,0.21
0.11625,0.11625,0.22
0.12144,0.12143,0.23
0.12662,0.1266,0.24
0.13179,0.13175,0.25
0.13694,0.1369,0.26
0.14208,0.14202,0.27
0.14721,0.14714,0.28
0.15232,0.15224,0.29
0.15742,0.15732,0.3
0.1625,0.16239,0.31
0.16757,0.16745,0.32
0.17261,0.17248,0.33
0.17764,0.1775,0.34
0.18266,0.18251,0.35
0.18765,0.18749,0.36
0.19263,0.19246,0.37
0.19758,0.1974,0.38
0.20252,0.20233,0.39
0.20744,0.20724,0.4
0.21233,0.21212,0.41
0.21721,0.21699,0.42
0.22206,0.22183,0.43
0.22689,0.22666,0.44
0.2317,0.23146,0.45
0.23648,0.23623,0.46
0.24125,0.24099,0.47
0.24598,0.24572,0.48
0.2507,0.25042,0.49
0.25538,0.2551,0.5
0.26005,0.25976,0.51
0.26468,0.26439,0.52
0.26929,0.26899,0.53
0.27387,0.27357,0.54
0.27843,0.27812,0.55
0.28296,0.28264,0.56
0.28745,0.28714,0.57
0.29192,0.2916,0.58
0.29637,0.29604,0.59
0.30078,0.30045,0.6
0.30516,0.30483,0.61
0.30951,0.30918,0.62
0.31383,0.31349,0.63
0.31812,0.31778,0.64
0.32237,0.32203,0.65
0.3266,0.32626,0.66
0.33079,0.33045,0.67
0.33495,0.33461,0.68
0.33907,0.33873,0.69
0.34317,0.34282,0.7
0.34722,0.34688,0.71
0.35125,0.3509,0.72
0.35523,0.35489,0.73
0.35918,0.35884,0.74
0.3631,0.36276,0.75
0.36698,0.36664,0.76
0.37082,0.37049,0.77
0.37463,0.37429,0.78
0.3784,0.37807,0.79
0.38213,0.3818,0.8
0.38582,0.38549,0.81
0.38947,0.38915,0.82
0.39309,0.39277,0.83
0.39666,0.39635,0.84
0.4002,0.39989,0.85
0.40369,0.40339,0.86
0.40715,0.40685,0.87
0.41056,0.41027,0.88
0.41394,0.41365,0.89
0.41727,0.41698,0.9
0.42056,0.42028,0.91
0.42381,0.42354,0.92
0.42701,0.42675,0.93
0.43017,0.42992,0.94
0.4333,0.43304,0.95
0.43637,0.43613,0.96
0.43941,0.43917,0.97
0.44239,0.44216,0.98
0.44534,0.44512,0.99
0.44824,0.44802,1
0.4511,0.45089,1.01
0.45391,0.4537,1.02
0.45667,0.45648,1.03
0.45939,0.45921,1.04
0.46206,0.46189,1.05
0.46469,0.46452,1.06
0.46727,0.46711,1.07
0.46981,0.46965,1.08
0.47229,0.47215,1.09
0.47473,0.4746,1.1
0.47713,0.477,1.11
0.47947,0.47935,1.12
0.48177,0.48166,1.13
0.48402,0.48391,1.14
0.48622,0.48612,1.15
0.48837,0.48828,1.16
0.49047,0.49039,1.17
0.49252,0.49246,1.18
0.49453,0.49447,1.19
0.49648,0.49643,1.2
0.49839,0.49835,1.21
0.50025,0.50021,1.22
0.50205,0.50202,1.23
0.50381,0.50379,1.24
0.50551,0.5055,1.25
0.50717,0.50716,1.26
0.50877,0.50877,1.27
0.51032,0.51033,1.28
0.51182,0.51184,1.29
0.51327,0.5133,1.3
0.51467,0.51471,1.31
0.51602,0.51606,1.32
0.51732,0.51736,1.33
0.51856,0.51862,1.34
0.51975,0.51981,1.35
0.52089,0.52096,1.36
0.52198,0.52206,1.37
0.52302,0.5231,1.38
0.524,0.52409,1.39
0.52494,0.52502,1.4
0.52581,0.52591,1.41
0.52664,0.52674,1.42
0.52741,0.52752,1.43
0.52814,0.52824,1.44
0.5288,0.52892,1.45
0.52942,0.52954,1.46
0.52998,0.5301,1.47
0.53049,0.53061,1.48
0.53095,0.53107,1.49
0.53135,0.53148,1.5
0.5317,0.53183,1.51
0.532,0.53213,1.52
0.53224,0.53238,1.53
0.53243,0.53257,1.54
0.53257,0.53271,1.55
0.53266,0.53279,1.56
0.53269,0.53283,1.57
0.53266,0.5328,1.58
0.53259,0.53273,1.59
0.53246,0.5326,1.6
0.53228,0.53242,1.61
0.53204,0.53218,1.62
0.53175,0.53189,1.63
0.53141,0.53155,1.64
0.53102,0.53115,1.65
0.53057,0.5307,1.66
0.53007,0.5302,1.67
0.52951,0.52964,1.68
0.52891,0.52903,1.69
0.52825,0.52837,1.7
0.52753,0.52765,1.71
0.52677,0.52688,1.72
0.52595,0.52606,1.73
0.52508,0.52518,1.74
0.52416,0.52426,1.75
0.52318,0.52328,1.76
0.52215,0.52224,1.77
0.52107,0.52116,1.78
0.51994,0.52002,1.79
0.51876,0.51883,1.8
0.51752,0.51759,1.81
0.51623,0.51629,1.82
0.51489,0.51495,1.83
0.5135,0.51355,1.84
0.51206,0.5121,1.85
0.51056,0.5106,1.86
0.50902,0.50905,1.87
0.50742,0.50745,1.88
0.50578,0.50579,1.89
0.50408,0.50409,1.9
0.50233,0.50233,1.91
0.50054,0.50053,1.92
0.49869,0.49867,1.93
0.49679,0.49677,1.94
0.49484,0.49481,1.95
0.49285,0.49281,1.96
0.4908,0.49075,1.97
0.48871,0.48865,1.98
0.48656,0.4865,1.99
0.48437,0.4843,2
0.48213,0.48205,2.01
0.47984,0.47975,2.02
0.4775,0.47741,2.03
0.47512,0.47501,2.04
0.47269,0.47257,2.05
0.47021,0.47009,2.06
0.46768,0.46755,2.07
0.46511,0.46497,2.08
0.46249,0.46234,2.09
0.45982,0.45967,2.1
0.45711,0.45695,2.11
0.45435,0.45419,2.12
0.45155,0.45137,2.13
0.4487,0.44852,2.14
0.4458,0.44562,2.15
0.44287,0.44267,2.16
0.43988,0.43969,2.17
0.43686,0.43665,2.18
0.43379,0.43358,2.19
0.43067,0.43046,2.2
0.42752,0.4273,2.21
0.42432,0.42409,2.22
0.42108,0.42085,2.23
0.41779,0.41756,2.24
0.41447,0.41423,2.25
0.4111,0.41086,2.26
0.40769,0.40745,2.27
0.40425,0.40399,2.28
0.40076,0.4005,2.29
0.39723,0.39697,2.3
0.39366,0.3934,2.31
0.39005,0.38979,2.32
0.3864,0.38614,2.33
0.38272,0.38245,2.34
0.37899,0.37872,2.35
0.37523,0.37496,2.36
0.37143,0.37116,2.37
0.36759,0.36732,2.38
0.36372,0.36345,2.39
0.35981,0.35954,2.4
0.35586,0.3556,2.41
0.35188,0.35162,2.42
0.34787,0.3476,2.43
0.34381,0.34355,2.44
0.33973,0.33947,2.45
0.33561,0.33535,2.46
0.33146,0.3312,2.47
0.32727,0.32702,2.48
0.32305,0.3228,2.49
0.3188,0.31855,2.5
0.31451,0.31427,2.51
0.3102,0.30996,2.52
0.30585,0.30562,2.53
0.30148,0.30125,2.54
0.29707,0.29685,2.55
0.29263,0.29242,2.56
0.28817,0.28796,2.57
0.28367,0.28347,2.58
0.27915,0.27896,2.59
0.2746,0.27441,2.6
0.27002,0.26984,2.61
0.26542,0.26524,2.62
0.26079,0.26062,2.63
0.25613,0.25597,2.64
0.25144,0.2513,2.65
0.24674,0.2466,2.66
0.242,0.24187,2.67
0.23724,0.23712,2.68
0.23246,0.23235,2.69
0.22766,0.22756,2.7
0.22283,0.22274,2.71
0.21798,0.2179,2.72
0.21311,0.21304,2.73
0.20822,0.20816,2.74
0.20331,0.20325,2.75
0.19837,0.19833,2.76
0.19342,0.19339,2.77
0.18845,0.18842,2.78
0.18345,0.18344,2.79
0.17844,0.17844,2.8
0.17342,0.17343,2.81
0.16837,0.16839,2.82
0.16331,0.16334,2.83
0.15823,0.15827,2.84
0.15314,0.15319,2.85
0.14803,0.14809,2.86
0.1429,0.14298,2.87
0.13776,0.13785,2.88
0.13261,0.13271,2.89
0.12744,0.12756,2.9
0.12227,0.12239,2.91
0.11708,0.11721,2.92
0.11187,0.11202,2.93
0.10666,0.10682,2.94
0.10144,0.1016,2.95
0.096201,0.096379,2.96
0.090957,0.091146,2.97
0.085704,0.085903,2.98
0.080442,0.080652,2.99
0.075173,0.075393,3
0.069895,0.070126,3.01
0.064611,0.064852,3.02
0.059321,0.059571,3.03
0.054024,0.054284,3.04
0.048722,0.048991,3.05
0.043415,0.043693,3.06
0.038104,0.038391,3.07
0.032789,0.033085,3.08
0.02747,0.027775,3.09
0.022149,0.022462,3.1
0.016826,0.017147,3.11
0.011501,0.011829,3.12
0.0061751,0.00651,3.13
0.00084838,0.00119,3.14
