true_u,pred_u,Points:0
0,-0.00012213,0
0.014049,0.013937,0.01
0.028097,0.027995,0.02
0.042142,0.04205,0.03
0.056182,0.056101,0.04
0.070218,0.070146,0.05
0.084246,0.084184,0.06
0.098265,0.098214,0.07
0.11228,0.11223,0.08
0.12627,0.12624,0.09
0.14026,0.14024,0.1
0.15423,0.15422,0.11
0.16819,0.16819,0.12
0.18213,0.18214,0.13
0.19605,0.19607,0.14
0.20995,0.20998,0.15
0.22383,0.22387,0.16
0.23769,0.23774,0.17
0.25153,0.25158,0.18
0.26533,0.2654,0.19
0.27912,0.27919,0.2
0.29287,0.29296,0.21
0.3066,0.30669,0.22
0.32029,0.3204,0.23
0.33396,0.33407,0.24
0.34759,0.34771,0.25
0.36118,0.36131,0.26
0.37474,0.37488,0.27
0.38826,0.38841,0.28
0.40174,0.4019,0.29
0.41519,0.41535,0.3
0.42859,0.42875,0.31
0.44195,0.44212,0.32
0.45526,0.45544,0.33
0.46853,0.46871,0.34
0.48175,0.48194,0.35
0.49492,0.49512,0.36
0.50805,0.50825,0.37
0.52112,0.52133,0.38
0.53414,0.53435,0.39
0.54711,0.54732,0.4
0.56002,0.56024,0.41
0.57288,0.5731,0.42
0.58568,0.5859,0.43
0.59842,0.59865,0.44
0.6111,0.61133,0.45
0.62372,0.62396,0.46
0.63628,0.63652,0.47
0.64877,0.64901,0.48
0.6612,0.66144,0.49
0.67356,0.67381,0.5
0.68586,0.68611,0.51
0.69809,0.69833,0.52
0.71024,0.71049,0.53
0.72233,0.72258,0.54
0.73434,0.73459,0.55
0.74628,0.74653,0.56
0.75815,0.7584,0.57
0.76994,0.77019,0.58
0.78165,0.7819,0.59
0.79329,0.79353,0.6
0.80484,0.80509,0.61
0.81632,0.81656,0.62
0.82771,0.82795,0.63
0.83902,0.83926,0.64
0.85025,0.85049,0.65
0.86139,0.86163,0.66
0.87245,0.87268,0.67
0.88341,0.88365,0.68
0.89429,0.89452,0.69
0.90509,0.90531,0.7
0.91579,0.91601,0.71
0.92639,0.92661,0.72
0.93691,0.93712,0.73
0.94733,0.94754,0.74
0.95766,0.95786,0.75
0.96789,0.96809,0.76
0.97803,0.97822,0.77
0.98806,0.98825,0.78
0.998,0.99819,0.79
1.0078,1.008,0.8
1.0176,1.0178,0.81
1.0272,1.0274,0.82
1.0367,1.0369,0.83
1.0462,1.0463,0.84
1.0555,1.0557,0.85
1.0647,1.0649,0.86
1.0738,1.074,0.87
1.0828,1.083,0.88
1.0917,1.0919,0.89
1.1005,1.1007,0.9
1.1092,1.1093,0.91
1.1178,1.1179,0.92
1.1262,1.1263,0.93
1.1346,1.1347,0.94
1.1428,1.1429,0.95
1.1509,1.151,0.96
1.1589,1.159,0.97
1.1668,1.1669,0.98
1.1746,1.1746,0.99
1.1822,1.1823,1
1.1897,1.1898,1.01
1.1972,1.1972,1.02
1.2045,1.2045,1.03
1.2116,1.2117,1.04
1.2187,1.2187,1.05
1.2256,1.2256,1.06
1.2324,1.2324,1.07
1.2391,1.2391,1.08
1.2457,1.2457,1.09
1.2521,1.2521,1.1
1.2584,1.2584,1.11
1.2646,1.2646,1.12
1.2706,1.2706,1.13
1.2766,1.2766,1.14
1.2824,1.2824,1.15
1.2881,1.288,1.16
1.2936,1.2936,1.17
1.299,1.299,1.18
1.3043,1.3043,1.19
1.3095,1.3094,1.2
1.3145,1.3144,1.21
1.3194,1.3193,1.22
1.3241,1.3241,1.23
1.3288,1.3287,1.24
1.3333,1.3332,1.25
1.3376,1.3376,1.26
1.3419,1.3418,1.27
1.346,1.3459,1.28
1.3499,1.3499,1.29
1.3537,1.3537,1.3
1.3574,1.3574,1.31
1.361,1.3609,1.32
1.3644,1.3643,1.33
1.3677,1.3676,1.34
1.3708,1.3708,1.35
1.3738,1.3738,1.36
1.3767,1.3766,1.37
1.3794,1.3794,1.38
1.382,1.382,1.39
1.3845,1.3844,1.4
1.3868,1.3867,1.41
1.389,1.3889,1.42
1.391,1.391,1.43
1.3929,1.3929,1.44
1.3947,1.3946,1.45
1.3963,1.3962,1.46
1.3978,1.3977,1.47
1.3991,1.3991,1.48
1.4004,1.4003,1.49
1.4014,1.4013,1.5
1.4023,1.4023,1.51
1.4031,1.4031,1.52
1.4038,1.4037,1.53
1.4043,1.4042,1.54
1.4046,1.4046,1.55
1.4049,1.4048,1.56
1.4049,1.4049,1.57
1.4049,1.4048,1.58
1.4047,1.4046,1.59
1.4043,1.4043,1.6
1.4039,1.4038,1.61
1.4032,1.4032,1.62
1.4025,1.4024,1.63
1.4016,1.4015,1.64
1.4005,1.4005,1.65
1.3994,1.3993,1.66
1.398,1.398,1.67
1.3966,1.3965,1.68
1.395,1.3949,1.69
1.3932,1.3932,1.7
1.3913,1.3913,1.71
1.3893,1.3893,1.72
1.3872,1.3871,1.73
1.3849,1.3849,1.74
1.3824,1.3824,1.75
