true_u,pred_u,Points:0
0,0.00031185,0
0.0046654,0.004967,0.01
0.0093303,0.0096213,0.02
0.013994,0.014274,0.03
0.018657,0.018926,0.04
0.023318,0.023575,0.05
0.027976,0.028222,0.06
0.032631,0.032866,0.07
0.037284,0.037507,0.08
0.041932,0.042144,0.09
0.046577,0.046776,0.1
0.051217,0.051404,0.11
0.055851,0.056026,0.12
0.06048,0.060643,0.13
0.065103,0.065254,0.14
0.06972,0.069858,0.15
0.074329,0.074456,0.16
0.078931,0.079046,0.17
0.083525,0.083628,0.18
0.088111,0.088201,0.19
0.092688,0.092766,0.2
0.097256,0.097322,0.21
0.10181,0.10187,0.22
0.10636,0.1064,0.23
0.1109,0.11093,0.24
0.11543,0.11544,0.25
0.11994,0.11995,0.26
0.12444,0.12444,0.27
0.12893,0.12891,0.28
0.13341,0.13338,0.29
0.13787,0.13783,0.3
0.14232,0.14227,0.31
0.14676,0.1467,0.32
0.15118,0.15111,0.33
0.15559,0.1555,0.34
0.15998,0.15988,0.35
0.16435,0.16424,0.36
0.16871,0.16859,0.37
0.17305,0.17292,0.38
0.17737,0.17724,0.39
0.18168,0.18153,0.4
0.18597,0.18581,0.41
0.19024,0.19007,0.42
0.19449,0.19431,0.43
0.19872,0.19853,0.44
0.20293,0.20274,0.45
0.20712,0.20692,0.46
0.21129,0.21108,0.47
0.21544,0.21522,0.48
0.21957,0.21934,0.49
0.22367,0.22344,0.5
0.22776,0.22751,0.51
0.23182,0.23157,0.52
0.23585,0.2356,0.53
0.23987,0.2396,0.54
0.24386,0.24359,0.55
0.24782,0.24755,0.56
0.25176,0.25148,0.57
0.25568,0.25539,0.58
0.25957,0.25928,0.59
0.26343,0.26314,0.6
0.26727,0.26697,0.61
0.27108,0.27078,0.62
0.27486,0.27455,0.63
0.27862,0.27831,0.64
0.28235,0.28203,0.65
0.28605,0.28573,0.66
0.28972,0.2894,0.67
0.29336,0.29304,0.68
0.29697,0.29665,0.69
0.30056,0.30023,0.7
0.30411,0.30378,0.71
0.30763,0.3073,0.72
0.31112,0.3108,0.73
0.31459,0.31426,0.74
0.31802,0.31769,0.75
0.32141,0.32108,0.76
0.32478,0.32445,0.77
0.32811,0.32778,0.78
0.33141,0.33108,0.79
0.33468,0.33435,0.8
0.33791,0.33759,0.81
0.34111,0.34079,0.82
0.34428,0.34396,0.83
0.34741,0.34709,0.84
0.35051,0.35019,0.85
0.35357,0.35326,0.86
0.35659,0.35628,0.87
0.35958,0.35928,0.88
0.36254,0.36224,0.89
0.36546,0.36516,0.9
0.36834,0.36805,0.91
0.37118,0.37089,0.92
0.37399,0.37371,0.93
0.37676,0.37648,0.94
0.37949,0.37922,0.95
0.38219,0.38192,0.96
0.38485,0.38458,0.97
0.38746,0.38721,0.98
0.39004,0.38979,0.99
0.39258,0.39234,1
0.39509,0.39484,1.01
0.39755,0.39731,1.02
0.39997,0.39974,1.03
0.40235,0.40213,1.04
0.40469,0.40448,1.05
0.40699,0.40679,1.06
0.40925,0.40905,1.07
0.41147,0.41128,1.08
0.41365,0.41346,1.09
0.41579,0.41561,1.1
0.41788,0.41771,1.11
0.41994,0.41977,1.12
0.42195,0.42179,1.13
0.42392,0.42377,1.14
0.42585,0.4257,1.15
0.42773,0.4276,1.16
0.42957,0.42945,1.17
0.43137,0.43125,1.18
0.43313,0.43302,1.19
0.43484,0.43474,1.2
0.43651,0.43641,1.21
0.43813,0.43804,1.22
0.43971,0.43963,1.23
0.44125,0.44118,1.24
0.44274,0.44268,1.25
0.44419,0.44414,1.26
0.4456,0.44555,1.27
0.44696,0.44691,1.28
0.44827,0.44824,1.29
0.44954,0.44951,1.3
0.45077,0.45075,1.31
0.45195,0.45193,1.32
0.45308,0.45308,1.33
0.45417,0.45417,1.34
0.45522,0.45522,1.35
0.45622,0.45623,1.36
0.45717,0.45719,1.37
0.45808,0.4581,1.38
0.45894,0.45897,1.39
0.45976,0.45979,1.4
0.46053,0.46057,1.41
0.46125,0.4613,1.42
0.46193,0.46198,1.43
0.46256,0.46262,1.44
0.46315,0.46321,1.45
