true_u,pred_u,Points:0
0,5.6179e-05,0
0.013949,0.014011,0.01
0.027896,0.027965,0.02
0.041841,0.041916,0.03
0.055782,0.055863,0.04
0.069717,0.069804,0.05
0.083645,0.083738,0.06
0.097564,0.097663,0.07
0.11147,0.11158,0.08
0.12537,0.12548,0.09
0.13926,0.13937,0.1
0.15313,0.15325,0.11
0.16699,0.16711,0.12
0.18083,0.18096,0.13
0.19465,0.19479,0.14
0.20845,0.20859,0.15
0.22224,0.22238,0.16
0.23599,0.23614,0.17
0.24973,0.24988,0.18
0.26344,0.2636,0.19
0.27713,0.27729,0.2
0.29078,0.29095,0.21
0.30441,0.30458,0.22
0.31801,0.31818,0.23
0.33157,0.33175,0.24
0.34511,0.34528,0.25
0.35861,0.35879,0.26
0.37207,0.37225,0.27
0.38549,0.38568,0.28
0.39888,0.39907,0.29
0.41223,0.41241,0.3
0.42553,0.42572,0.31
0.43879,0.43899,0.32
0.45201,0.45221,0.33
0.46519,0.46538,0.34
0.47831,0.47851,0.35
0.49139,0.49159,0.36
0.50442,0.50462,0.37
0.5174,0.5176,0.38
0.53033,0.53053,0.39
0.5432,0.54341,0.4
0.55603,0.55623,0.41
0.56879,0.56899,0.42
0.5815,0.5817,0.43
0.59415,0.59435,0.44
0.60674,0.60694,0.45
0.61927,0.61947,0.46
0.63174,0.63194,0.47
0.64414,0.64434,0.48
0.65648,0.65668,0.49
0.66876,0.66895,0.5
0.68097,0.68116,0.51
0.6931,0.6933,0.52
0.70518,0.70537,0.53
0.71718,0.71736,0.54
0.7291,0.72929,0.55
0.74096,0.74114,0.56
0.75274,0.75292,0.57
0.76445,0.76462,0.58
0.77608,0.77625,0.59
0.78763,0.7878,0.6
0.7991,0.79927,0.61
0.81049,0.81066,0.62
0.82181,0.82197,0.63
0.83304,0.83319,0.64
0.84418,0.84434,0.65
0.85525,0.8554,0.66
0.86622,0.86637,0.67
0.87711,0.87725,0.68
0.88791,0.88805,0.69
0.89863,0.89876,0.7
0.90925,0.90938,0.71
0.91978,0.91991,0.72
0.93023,0.93034,0.73
0.94057,0.94069,0.74
0.95083,0.95094,0.75
0.96099,0.96109,0.76
0.97105,0.97115,0.77
0.98101,0.98111,0.78
0.99088,0.99097,0.79
1.0006,1.0007,0.8
1.0103,1.0104,0.81
1.0199,1.02,0.82
1.0294,1.0294,0.83
1.0387,1.0388,0.84
1.048,1.048,0.85
