true_u,pred_u,Points:0
-0,-0.00032122,0
-0.012752,-0.013089,0.01
-0.025504,-0.025856,0.02
-0.038252,-0.03862,0.03
-0.050997,-0.051379,0.04
-0.063737,-0.064133,0.05
-0.07647,-0.07688,0.06
-0.089196,-0.089619,0.07
-0.10191,-0.10235,0.08
-0.11462,-0.11507,0.09
-0.12731,-0.12778,0.1
-0.14,-0.14047,0.11
-0.15267,-0.15315,0.12
-0.16532,-0.16581,0.13
-0.17796,-0.17846,0.14
-0.19057,-0.19109,0.15
-0.20317,-0.2037,0.16
-0.21575,-0.21629,0.17
-0.22831,-0.22885,0.18
-0.24085,-0.24139,0.19
-0.25336,-0.25391,0.2
-0.26584,-0.26641,0.21
-0.2783,-0.27887,0.22
-0.29073,-0.29131,0.23
-0.30313,-0.30372,0.24
-0.31551,-0.31609,0.25
-0.32785,-0.32844,0.26
-0.34015,-0.34075,0.27
-0.35243,-0.35303,0.28
-0.36467,-0.36527,0.29
-0.37687,-0.37748,0.3
-0.38903,-0.38964,0.31
-0.40116,-0.40177,0.32
-0.41324,-0.41386,0.33
-0.42529,-0.4259,0.34
-0.43729,-0.4379,0.35
-0.44924,-0.44986,0.36
-0.46116,-0.46178,0.37
-0.47302,-0.47364,0.38
-0.48484,-0.48546,0.39
-0.49661,-0.49723,0.4
-0.50833,-0.50895,0.41
-0.52,-0.52062,0.42
-0.53162,-0.53223,0.43
-0.54319,-0.54379,0.44
-0.5547,-0.5553,0.45
-0.56615,-0.56675,0.46
-0.57755,-0.57815,0.47
-0.58889,-0.58948,0.48
-0.60017,-0.60076,0.49
-0.6114,-0.61197,0.5
-0.62256,-0.62313,0.51
-0.63366,-0.63422,0.52
-0.64469,-0.64525,0.53
-0.65566,-0.65621,0.54
-0.66657,-0.66711,0.55
-0.67741,-0.67794,0.56
-0.68818,-0.6887,0.57
-0.69888,-0.69939,0.58
-0.70951,-0.71002,0.59
-0.72007,-0.72057,0.6
-0.73056,-0.73105,0.61
-0.74098,-0.74145,0.62
-0.75132,-0.75179,0.63
-0.76159,-0.76204,0.64
-0.77178,-0.77222,0.65
-0.78189,-0.78232,0.66
-0.79192,-0.79235,0.67
-0.80188,-0.80229,0.68
-0.81176,-0.81215,0.69
-0.82155,-0.82194,0.7
-0.83126,-0.83164,0.71
-0.84089,-0.84125,0.72
-0.85044,-0.85079,0.73
-0.8599,-0.86023,0.74
-0.86927,-0.8696,0.75
-0.87856,-0.87887,0.76
-0.88776,-0.88806,0.77
-0.89687,-0.89715,0.78
-0.90589,-0.90616,0.79
-0.91482,-0.91508,0.8
-0.92366,-0.9239,0.81
-0.93241,-0.93264,0.82
-0.94106,-0.94128,0.83
-0.94962,-0.94982,0.84
-0.95809,-0.95827,0.85
-0.96645,-0.96663,0.86
-0.97473,-0.97488,0.87
-0.9829,-0.98304,0.88
-0.99098,-0.99111,0.89
-0.99895,-0.99907,0.9
-1.0068,-1.0069,0.91
-1.0146,-1.0147,0.92
-1.0223,-1.0224,0.93
-1.0299,-1.0299,0.94
-1.0373,-1.0374,0.95
-1.0447,-1.0447,0.96
-1.052,-1.052,0.97
-1.0591,-1.0591,0.98
-1.0662,-1.0662,0.99
-1.0731,-1.0731,1
-1.0799,-1.0799,1.01
-1.0867,-1.0866,1.02
-1.0933,-1.0932,1.03
-1.0998,-1.0997,1.04
-1.1062,-1.1061,1.05
-1.1125,-1.1124,1.06
-1.1187,-1.1186,1.07
-1.1247,-1.1246,1.08
-1.1307,-1.1306,1.09
-1.1365,-1.1364,1.1
-1.1423,-1.1421,1.11
-1.1479,-1.1477,1.12
-1.1534,-1.1532,1.13
-1.1588,-1.1586,1.14
-1.164,-1.1638,1.15
-1.1692,-1.169,1.16
-1.1742,-1.174,1.17
-1.1791,-1.1789,1.18
-1.1839,-1.1837,1.19
-1.1886,-1.1884,1.2
-1.1932,-1.1929,1.21
-1.1976,-1.1973,1.22
-1.2019,-1.2017,1.23
-1.2061,-1.2059,1.24
-1.2102,-1.2099,1.25
-1.2142,-1.2139,1.26
-1.218,-1.2177,1.27
-1.2217,-1.2214,1.28
-1.2253,-1.225,1.29
-1.2288,-1.2285,1.3
-1.2321,-1.2318,1.31
-1.2354,-1.235,1.32
-1.2385,-1.2381,1.33
-1.2415,-1.2411,1.34
-1.2443,-1.244,1.35
-1.247,-1.2467,1.36
-1.2496,-1.2493,1.37
-1.2521,-1.2518,1.38
-1.2545,-1.2541,1.39
-1.2567,-1.2564,1.4
-1.2588,-1.2585,1.41
-1.2608,-1.2604,1.42
-1.2627,-1.2623,1.43
-1.2644,-1.264,1.44
-1.266,-1.2656,1.45
-1.2675,-1.2671,1.46
-1.2688,-1.2684,1.47
-1.27,-1.2697,1.48
-1.2711,-1.2707,1.49
-1.2721,-1.2717,1.5
-1.2729,-1.2726,1.51
-1.2736,-1.2733,1.52
-1.2742,-1.2739,1.53
-1.2747,-1.2743,1.54
-1.275,-1.2746,1.55
-1.2752,-1.2748,1.56
-1.2753,-1.2749,1.57
-1.2752,-1.2749,1.58
-1.275,-1.2747,1.59
-1.2747,-1.2744,1.6
-1.2743,-1.274,1.61
-1.2737,-1.2734,1.62
-1.273,-1.2727,1.63
-1.2722,-1.2719,1.64
-1.2713,-1.271,1.65
-1.2702,-1.2699,1.66
-1.269,-1.2687,1.67
-1.2677,-1.2674,1.68
-1.2662,-1.2659,1.69
-1.2646,-1.2644,1.7
-1.2629,-1.2627,1.71
-1.2611,-1.2608,1.72
-1.2591,-1.2589,1.73
-1.2571,-1.2568,1.74
-1.2548,-1.2546,1.75
-1.2525,-1.2523,1.76
-1.2501,-1.2498,1.77
-1.2475,-1.2473,1.78
-1.2448,-1.2446,1.79
-1.2419,-1.2417,1.8
-1.239,-1.2388,1.81
-1.2359,-1.2357,1.82
-1.2327,-1.2325,1.83
-1.2293,-1.2292,1.84
-1.2259,-1.2257,1.85
-1.2223,-1.2222,1.86
-1.2186,-1.2185,1.87
-1.2148,-1.2147,1.88
-1.2109,-1.2108,1.89
-1.2068,-1.2067,1.9
-1.2026,-1.2025,1.91
-1.1983,-1.1982,1.92
-1.1939,-1.1938,1.93
-1.1893,-1.1893,1.94
-1.1847,-1.1846,1.95
-1.1799,-1.1799,1.96
-1.175,-1.175,1.97
-1.17,-1.17,1.98
-1.1648,-1.1649,1.99
-1.1596,-1.1596,2
-1.1542,-1.1543,2.01
-1.1488,-1.1488,2.02
-1.1432,-1.1432,2.03
-1.1374,-1.1375,2.04
-1.1316,-1.1317,2.05
-1.1257,-1.1258,2.06
-1.1196,-1.1198,2.07
-1.1135,-1.1136,2.08
-1.1072,-1.1073,2.09
-1.1008,-1.101,2.1
-1.0943,-1.0945,2.11
-1.0877,-1.0879,2.12
-1.081,-1.0812,2.13
-1.0742,-1.0744,2.14
-1.0673,-1.0675,2.15
-1.0602,-1.0605,2.16
-1.0531,-1.0533,2.17
-1.0459,-1.0461,2.18
-1.0385,-1.0388,2.19
-1.0311,-1.0313,2.2
-1.0235,-1.0238,2.21
-1.0158,-1.0161,2.22
-1.0081,-1.0084,2.23
-1.0002,-1.0005,2.24
-0.99225,-0.99257,2.25
-0.98419,-0.98452,2.26
-0.97603,-0.97637,2.27
-0.96778,-0.96812,2.28
-0.95942,-0.95978,2.29
-0.95098,-0.95134,2.3
-0.94243,-0.94281,2.31
-0.93379,-0.93418,2.32
-0.92506,-0.92546,2.33
-0.91624,-0.91664,2.34
-0.90732,-0.90774,2.35
-0.89831,-0.89874,2.36
-0.88922,-0.88965,2.37
-0.88003,-0.88048,2.38
