true_u,pred_u,Points:0
-0,0.00033562,0
-0.013365,-0.013028,0.01
-0.026729,-0.026391,0.02
-0.04009,-0.039751,0.03
-0.053447,-0.053109,0.04
-0.066798,-0.066461,0.05
-0.080143,-0.079807,0.06
-0.09348,-0.093145,0.07
-0.10681,-0.10647,0.08
-0.12012,-0.11979,0.09
-0.13343,-0.1331,0.1
-0.14672,-0.1464,0.11
-0.16,-0.15968,0.12
-0.17326,-0.17294,0.13
-0.1865,-0.18619,0.14
-0.19973,-0.19942,0.15
-0.21293,-0.21263,0.16
-0.22612,-0.22581,0.17
-0.23928,-0.23898,0.18
-0.25241,-0.25212,0.19
-0.26553,-0.26524,0.2
-0.27861,-0.27833,0.21
-0.29167,-0.2914,0.22
-0.3047,-0.30443,0.23
-0.31769,-0.31744,0.24
-0.33066,-0.33041,0.25
-0.34359,-0.34335,0.26
-0.35649,-0.35625,0.27
-0.36936,-0.36912,0.28
-0.38218,-0.38196,0.29
-0.39497,-0.39475,0.3
-0.40772,-0.40751,0.31
-0.42042,-0.42022,0.32
-0.43309,-0.4329,0.33
-0.44571,-0.44553,0.34
-0.45829,-0.45811,0.35
-0.47082,-0.47065,0.36
-0.48331,-0.48315,0.37
-0.49574,-0.49559,0.38
-0.50813,-0.50799,0.39
-0.52047,-0.52033,0.4
-0.53275,-0.53262,0.41
-0.54498,-0.54486,0.42
-0.55716,-0.55705,0.43
-0.56928,-0.56918,0.44
-0.58134,-0.58125,0.45
-0.59335,-0.59326,0.46
-0.60529,-0.60521,0.47
-0.61718,-0.61711,0.48
-0.629,-0.62894,0.49
-0.64076,-0.64071,0.5
-0.65246,-0.65241,0.51
-0.66409,-0.66405,0.52
-0.67566,-0.67563,0.53
-0.68715,-0.68713,0.54
-0.69858,-0.69857,0.55
-0.70994,-0.70993,0.56
-0.72123,-0.72123,0.57
-0.73245,-0.73245,0.58
-0.74359,-0.7436,0.59
-0.75466,-0.75468,0.6
-0.76565,-0.76568,0.61
-0.77657,-0.7766,0.62
-0.7874,-0.78744,0.63
-0.79816,-0.79821,0.64
-0.80884,-0.80889,0.65
-0.81944,-0.8195,0.66
-0.82996,-0.83002,0.67
-0.84039,-0.84046,0.68
-0.85075,-0.85082,0.69
-0.86101,-0.86109,0.7
-0.87119,-0.87127,0.71
-0.88128,-0.88137,0.72
-0.89129,-0.89138,0.73
-0.9012,-0.90129,0.74
-0.91102,-0.91112,0.75
-0.92076,-0.92086,0.76
-0.9304,-0.93051,0.77
-0.93995,-0.94006,0.78
-0.9494,-0.94951,0.79
-0.95876,-0.95888,0.8
-0.96802,-0.96814,0.81
-0.97719,-0.97731,0.82
-0.98626,-0.98638,0.83
-0.99523,-0.99535,0.84
-1.0041,-1.0042,0.85
-1.0129,-1.013,0.86
-1.0215,-1.0217,0.87
-1.0301,-1.0302,0.88
-1.0386,-1.0387,0.89
-1.0469,-1.0471,0.9
-1.0552,-1.0553,0.91
-1.0633,-1.0635,0.92
-1.0714,-1.0715,0.93
-1.0793,-1.0794,0.94
-1.0871,-1.0873,0.95
-1.0949,-1.095,0.96
-1.1025,-1.1026,0.97
-1.11,-1.1101,0.98
-1.1174,-1.1175,0.99
-1.1246,-1.1248,1
-1.1318,-1.1319,1.01
-1.1389,-1.139,1.02
-1.1458,-1.1459,1.03
-1.1526,-1.1527,1.04
-1.1593,-1.1594,1.05
-1.1659,-1.166,1.06
-1.1724,-1.1725,1.07
-1.1788,-1.1789,1.08
-1.185,-1.1851,1.09
-1.1911,-1.1912,1.1
-1.1971,-1.1972,1.11
-1.203,-1.2031,1.12
-1.2088,-1.2088,1.13
-1.2144,-1.2145,1.14
-1.2199,-1.22,1.15
-1.2253,-1.2254,1.16
-1.2306,-1.2307,1.17
-1.2358,-1.2358,1.18
-1.2408,-1.2408,1.19
-1.2457,-1.2457,1.2
-1.2505,-1.2505,1.21
-1.2551,-1.2552,1.22
-1.2597,-1.2597,1.23
-1.2641,-1.2641,1.24
-1.2683,-1.2684,1.25
-1.2725,-1.2725,1.26
-1.2765,-1.2765,1.27
-1.2804,-1.2804,1.28
-1.2842,-1.2842,1.29
-1.2878,-1.2878,1.3
-1.2913,-1.2913,1.31
-1.2947,-1.2947,1.32
-1.298,-1.2979,1.33
-1.3011,-1.3011,1.34
-1.3041,-1.304,1.35
-1.3069,-1.3069,1.36
-1.3097,-1.3096,1.37
-1.3123,-1.3122,1.38
-1.3147,-1.3147,1.39
-1.3171,-1.317,1.4
-1.3193,-1.3192,1.41
-1.3214,-1.3213,1.42
-1.3233,-1.3232,1.43
-1.3251,-1.325,1.44
-1.3268,-1.3267,1.45
-1.3283,-1.3283,1.46
-1.3297,-1.3297,1.47
-1.331,-1.3309,1.48
-1.3322,-1.3321,1.49
-1.3332,-1.3331,1.5
-1.3341,-1.334,1.51
-1.3348,-1.3347,1.52
-1.3354,-1.3353,1.53
-1.3359,-1.3358,1.54
-1.3362,-1.3361,1.55
-1.3364,-1.3364,1.56
-1.3365,-1.3364,1.57
-1.3365,-1.3364,1.58
-1.3363,-1.3362,1.59
-1.336,-1.3359,1.6
-1.3355,-1.3354,1.61
-1.3349,-1.3348,1.62
-1.3342,-1.3341,1.63
-1.3333,-1.3332,1.64
-1.3323,-1.3322,1.65
-1.3312,-1.3311,1.66
-1.3299,-1.3299,1.67
-1.3286,-1.3285,1.68
-1.327,-1.3269,1.69
-1.3254,-1.3253,1.7
-1.3236,-1.3235,1.71
-1.3217,-1.3216,1.72
-1.3196,-1.3195,1.73
-1.3174,-1.3174,1.74
-1.3151,-1.315,1.75
-1.3127,-1.3126,1.76
-1.3101,-1.31,1.77
-1.3074,-1.3073,1.78
-1.3045,-1.3045,1.79
-1.3016,-1.3015,1.8
-1.2985,-1.2984,1.81
-1.2952,-1.2952,1.82
-1.2919,-1.2918,1.83
-1.2884,-1.2883,1.84
-1.2848,-1.2847,1.85
-1.281,-1.281,1.86
