Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00346831,4.8,-0
0.01,0,0,0.01,-0.012578,4.8,-0.0090865
0.02,0,0,0.02,-0.0216864,4.8,-0.0181721
0.03,0,0,0.03,-0.0307921,4.8,-0.0272559
0.04,0,0,0.04,-0.0398939,4.8,-0.0363369
0.05,0,0,0.05,-0.0489902,4.8,-0.0454144
0.06,0,0,0.06,-0.0580816,4.8,-0.0544872
0.07,0,0,0.07,-0.0671653,4.8,-0.0635547
0.08,0,0,0.08,-0.0762411,4.8,-0.0726157
0.09,0,0,0.09,-0.0853073,4.8,-0.0816695
0.1,0,0,0.1,-0.094364,4.8,-0.0907152
0.11,0,0,0.11,-0.103411,4.8,-0.0997518
0.12,0,0,0.12,-0.112445,4.8,-0.108778
0.13,0,0,0.13,-0.121467,4.8,-0.117794
0.14,0,0,0.14,-0.130475,4.8,-0.126798
0.15,0,0,0.15,-0.139468,4.8,-0.135789
0.16,0,0,0.16,-0.148447,4.8,-0.144767
0.17,0,0,0.17,-0.157409,4.8,-0.15373
0.18,0,0,0.18,-0.166355,4.8,-0.162678
0.19,0,0,0.19,-0.175281,4.8,-0.17161
0.2,0,0,0.2,-0.18419,4.8,-0.180524
0.21,0,0,0.21,-0.193078,4.8,-0.18942
0.22,0,0,0.22,-0.201946,4.8,-0.198298
0.23,0,0,0.23,-0.210793,4.8,-0.207155
0.24,0,0,0.24,-0.219617,4.8,-0.215992
0.25,0,0,0.25,-0.228418,4.8,-0.224807
0.26,0,0,0.26,-0.237195,4.8,-0.2336
0.27,0,0,0.27,-0.245947,4.8,-0.24237
0.28,0,0,0.28,-0.254673,4.8,-0.251115
0.29,0,0,0.29,-0.263373,4.8,-0.259835
0.3,0,0,0.3,-0.272045,4.8,-0.268529
0.31,0,0,0.31,-0.280688,4.8,-0.277196
0.32,0,0,0.32,-0.289303,4.8,-0.285836
0.33,0,0,0.33,-0.297888,4.8,-0.294447
0.34,0,0,0.34,-0.306441,4.8,-0.303028
0.35,0,0,0.35,-0.314963,4.8,-0.311579
0.36,0,0,0.36,-0.323452,4.8,-0.320099
0.37,0,0,0.37,-0.331908,4.8,-0.328588
0.38,0,0,0.38,-0.34033,4.8,-0.337043
0.39,0,0,0.39,-0.348716,4.8,-0.345464
0.4,0,0,0.4,-0.357067,4.8,-0.353851
0.41,0,0,0.41,-0.365381,4.8,-0.362203
0.42,0,0,0.42,-0.373659,4.8,-0.370518
0.43,0,0,0.43,-0.381897,4.8,-0.378796
0.44,0,0,0.44,-0.390097,4.8,-0.387037
0.45,0,0,0.45,-0.398256,4.8,-0.395238
0.46,0,0,0.46,-0.406376,4.8,-0.4034
0.47,0,0,0.47,-0.414453,4.8,-0.411522
0.48,0,0,0.48,-0.42249,4.8,-0.419603
0.49,0,0,0.49,-0.430483,4.8,-0.427642
0.5,0,0,0.5,-0.438432,4.8,-0.435638
0.51,0,0,0.51,-0.446337,4.8,-0.44359
0.52,0,0,0.52,-0.454198,4.8,-0.451498
0.53,0,0,0.53,-0.462011,4.8,-0.459361
0.54,0,0,0.54,-0.469779,4.8,-0.467178
0.55,0,0,0.55,-0.4775,4.8,-0.474948
0.56,0,0,0.56,-0.485171,4.8,-0.482671
0.57,0,0,0.57,-0.492795,4.8,-0.490345
0.58,0,0,0.58,-0.500369,4.8,-0.497971
0.59,0,0,0.59,-0.507893,4.8,-0.505546
0.6,0,0,0.6,-0.515366,4.8,-0.513071
0.61,0,0,0.61,-0.522788,4.8,-0.520545
0.62,0,0,0.62,-0.530157,4.8,-0.527967
0.63,0,0,0.63,-0.537474,4.8,-0.535336
0.64,0,0,0.64,-0.544738,4.8,-0.542651
0.65,0,0,0.65,-0.551945,4.8,-0.549912
0.66,0,0,0.66,-0.5591,4.8,-0.557118
0.67,0,0,0.67,-0.566198,4.8,-0.564269
0.68,0,0,0.68,-0.57324,4.8,-0.571363
0.69,0,0,0.69,-0.580223,4.8,-0.578399
0.7,0,0,0.7,-0.587152,4.8,-0.585378
0.71,0,0,0.71,-0.594021,4.8,-0.592299
0.72,0,0,0.72,-0.600831,4.8,-0.59916
0.73,0,0,0.73,-0.607581,4.8,-0.605962
0.74,0,0,0.74,-0.614272,4.8,-0.612702
0.75,0,0,0.75,-0.620901,4.8,-0.619382
0.76,0,0,0.76,-0.627468,4.8,-0.625999
0.77,0,0,0.77,-0.633974,4.8,-0.632554
0.78,0,0,0.78,-0.640417,4.8,-0.639046
0.79,0,0,0.79,-0.646797,4.8,-0.645474
0.8,0,0,0.8,-0.653113,4.8,-0.651837
0.81,0,0,0.81,-0.659364,4.8,-0.658135
0.82,0,0,0.82,-0.66555,4.8,-0.664367
0.83,0,0,0.83,-0.67167,4.8,-0.670533
0.84,0,0,0.84,-0.677723,4.8,-0.676632
0.85,0,0,0.85,-0.683711,4.8,-0.682663
0.86,0,0,0.86,-0.689631,4.8,-0.688626
0.87,0,0,0.87,-0.695481,4.8,-0.694519
0.88,0,0,0.88,-0.701263,4.8,-0.700344
0.89,0,0,0.89,-0.706976,4.8,-0.706098
0.9,0,0,0.9,-0.712619,4.8,-0.711782
0.91,0,0,0.91,-0.718192,4.8,-0.717395
0.92,0,0,0.92,-0.723694,4.8,-0.722936
0.93,0,0,0.93,-0.729124,4.8,-0.728404
0.94,0,0,0.94,-0.734483,4.8,-0.7338
0.95,0,0,0.95,-0.739769,4.8,-0.739123
0.96,0,0,0.96,-0.744981,4.8,-0.744371
0.97,0,0,0.97,-0.75012,4.8,-0.749545
0.98,0,0,0.98,-0.755186,4.8,-0.754644
0.99,0,0,0.99,-0.760176,4.8,-0.759668
