Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00346864,2.65,-0
0.01,0,0,0.01,-0.00763166,2.65,-0.00409545
0.02,0,0,0.02,-0.0117915,2.65,-0.00819049
0.03,0,0,0.03,-0.0159496,2.65,-0.0122847
0.04,0,0,0.04,-0.020104,2.65,-0.0163777
0.05,0,0,0.05,-0.0242548,2.65,-0.0204691
0.06,0,0,0.06,-0.0284013,2.65,-0.0245584
0.07,0,0,0.07,-0.0325438,2.65,-0.0286452
0.08,0,0,0.08,-0.0366806,2.65,-0.0327292
0.09,0,0,0.09,-0.0408122,2.65,-0.0368099
0.1,0,0,0.1,-0.044938,2.65,-0.0408869
0.11,0,0,0.11,-0.0490572,2.65,-0.0449599
0.12,0,0,0.12,-0.0531696,2.65,-0.0490283
0.13,0,0,0.13,-0.0572745,2.65,-0.0530919
0.14,0,0,0.14,-0.0613712,2.65,-0.0571501
0.15,0,0,0.15,-0.0654598,2.65,-0.0612026
0.16,0,0,0.16,-0.0695399,2.65,-0.065249
0.17,0,0,0.17,-0.0736102,2.65,-0.0692889
0.18,0,0,0.18,-0.077671,2.65,-0.0733219
0.19,0,0,0.19,-0.0817217,2.65,-0.0773475
0.2,0,0,0.2,-0.0857617,2.65,-0.0813654
0.21,0,0,0.21,-0.08979,2.65,-0.0853751
0.22,0,0,0.22,-0.0938078,2.65,-0.0893763
0.23,0,0,0.23,-0.0978127,2.65,-0.0933686
0.24,0,0,0.24,-0.101806,2.65,-0.0973515
0.25,0,0,0.25,-0.105786,2.65,-0.101325
0.26,0,0,0.26,-0.109753,2.65,-0.105288
0.27,0,0,0.27,-0.113706,2.65,-0.10924
0.28,0,0,0.28,-0.117645,2.65,-0.113182
0.29,0,0,0.29,-0.12157,2.65,-0.117112
0.3,0,0,0.3,-0.125479,2.65,-0.121031
0.31,0,0,0.31,-0.129374,2.65,-0.124937
0.32,0,0,0.32,-0.133253,2.65,-0.128831
0.33,0,0,0.33,-0.137116,2.65,-0.132712
0.34,0,0,0.34,-0.140963,2.65,-0.13658
0.35,0,0,0.35,-0.144793,2.65,-0.140434
0.36,0,0,0.36,-0.148606,2.65,-0.144274
0.37,0,0,0.37,-0.152401,2.65,-0.1481
0.38,0,0,0.38,-0.156179,2.65,-0.151911
0.39,0,0,0.39,-0.159938,2.65,-0.155707
0.4,0,0,0.4,-0.163679,2.65,-0.159487
0.41,0,0,0.41,-0.167402,2.65,-0.163251
0.42,0,0,0.42,-0.171106,2.65,-0.166999
0.43,0,0,0.43,-0.17479,2.65,-0.17073
0.44,0,0,0.44,-0.178455,2.65,-0.174444
0.45,0,0,0.45,-0.182099,2.65,-0.178141
0.46,0,0,0.46,-0.185723,2.65,-0.18182
0.47,0,0,0.47,-0.189328,2.65,-0.18548
0.48,0,0,0.48,-0.192911,2.65,-0.189122
0.49,0,0,0.49,-0.196472,2.65,-0.192746
0.5,0,0,0.5,-0.200013,2.65,-0.19635
0.51,0,0,0.51,-0.203532,2.65,-0.199934
0.52,0,0,0.52,-0.207029,2.65,-0.203498
0.53,0,0,0.53,-0.210504,2.65,-0.207042
0.54,0,0,0.54,-0.213956,2.65,-0.210565
0.55,0,0,0.55,-0.217386,2.65,-0.214067
0.56,0,0,0.56,-0.220792,2.65,-0.217548
0.57,0,0,0.57,-0.224175,2.65,-0.221007
0.58,0,0,0.58,-0.227534,2.65,-0.224444
0.59,0,0,0.59,-0.23087,2.65,-0.227859
0.6,0,0,0.6,-0.234182,2.65,-0.23125
0.61,0,0,0.61,-0.237469,2.65,-0.234619
0.62,0,0,0.62,-0.240732,2.65,-0.237964
0.63,0,0,0.63,-0.243971,2.65,-0.241285
0.64,0,0,0.64,-0.247184,2.65,-0.244582
0.65,0,0,0.65,-0.250371,2.65,-0.247855
0.66,0,0,0.66,-0.253532,2.65,-0.251103
0.67,0,0,0.67,-0.256669,2.65,-0.254326
0.68,0,0,0.68,-0.259779,2.65,-0.257523
0.69,0,0,0.69,-0.262863,2.65,-0.260695
0.7,0,0,0.7,-0.265921,2.65,-0.26384
0.71,0,0,0.71,-0.268952,2.65,-0.26696
0.72,0,0,0.72,-0.271955,2.65,-0.270052
0.73,0,0,0.73,-0.274932,2.65,-0.273118
0.74,0,0,0.74,-0.277881,2.65,-0.276156
0.75,0,0,0.75,-0.280802,2.65,-0.279166
0.76,0,0,0.76,-0.283695,2.65,-0.282149
0.77,0,0,0.77,-0.286562,2.65,-0.285103
0.78,0,0,0.78,-0.289398,2.65,-0.288029
0.79,0,0,0.79,-0.292207,2.65,-0.290926
0.8,0,0,0.8,-0.294987,2.65,-0.293794
0.81,0,0,0.81,-0.297738,2.65,-0.296633
0.82,0,0,0.82,-0.30046,2.65,-0.299442
0.83,0,0,0.83,-0.303153,2.65,-0.302221
0.84,0,0,0.84,-0.305816,2.65,-0.30497
0.85,0,0,0.85,-0.308449,2.65,-0.307688
0.86,0,0,0.86,-0.311053,2.65,-0.310376
0.87,0,0,0.87,-0.313626,2.65,-0.313032
0.88,0,0,0.88,-0.316169,2.65,-0.315657
0.89,0,0,0.89,-0.318681,2.65,-0.318251
0.9,0,0,0.9,-0.321163,2.65,-0.320813
0.91,0,0,0.91,-0.323614,2.65,-0.323343
0.92,0,0,0.92,-0.326034,2.65,-0.32584
0.93,0,0,0.93,-0.328422,2.65,-0.328305
0.94,0,0,0.94,-0.33078,2.65,-0.330737
0.95,0,0,0.95,-0.333105,2.65,-0.333136
