Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,0.000559206,3.33,-0
0.01,0,0,0.01,-0.0111796,3.33,-0.0116958
0.02,0,0,0.02,-0.0229175,3.33,-0.0233904
0.03,0,0,0.03,-0.0346558,3.33,-0.0350827
0.04,0,0,0.04,-0.0463915,3.33,-0.0467715
0.05,0,0,0.05,-0.0581231,3.33,-0.0584556
0.06,0,0,0.06,-0.0698503,3.33,-0.0701338
0.07,0,0,0.07,-0.0815714,3.33,-0.081805
0.08,0,0,0.08,-0.0932859,3.33,-0.0934681
0.09,0,0,0.09,-0.104992,3.33,-0.105122
0.1,0,0,0.1,-0.116689,3.33,-0.116765
0.11,0,0,0.11,-0.128375,3.33,-0.128397
0.12,0,0,0.12,-0.14005,3.33,-0.140015
0.13,0,0,0.13,-0.151712,3.33,-0.15162
0.14,0,0,0.14,-0.16336,3.33,-0.163209
0.15,0,0,0.15,-0.174992,3.33,-0.174783
0.16,0,0,0.16,-0.186609,3.33,-0.186338
0.17,0,0,0.17,-0.198207,3.33,-0.197875
0.18,0,0,0.18,-0.209787,3.33,-0.209393
0.19,0,0,0.19,-0.221347,3.33,-0.220889
0.2,0,0,0.2,-0.232886,3.33,-0.232363
0.21,0,0,0.21,-0.244403,3.33,-0.243814
0.22,0,0,0.22,-0.255897,3.33,-0.255241
0.23,0,0,0.23,-0.267365,3.33,-0.266642
0.24,0,0,0.24,-0.278808,3.33,-0.278017
0.25,0,0,0.25,-0.290224,3.33,-0.289363
0.26,0,0,0.26,-0.301611,3.33,-0.300681
0.27,0,0,0.27,-0.31297,3.33,-0.311969
0.28,0,0,0.28,-0.324297,3.33,-0.323225
0.29,0,0,0.29,-0.335593,3.33,-0.334449
0.3,0,0,0.3,-0.346856,3.33,-0.34564
0.31,0,0,0.31,-0.358084,3.33,-0.356796
0.32,0,0,0.32,-0.369278,3.33,-0.367917
0.33,0,0,0.33,-0.380434,3.33,-0.379
0.34,0,0,0.34,-0.391554,3.33,-0.390046
0.35,0,0,0.35,-0.402633,3.33,-0.401053
0.36,0,0,0.36,-0.413675,3.33,-0.412019
0.37,0,0,0.37,-0.424673,3.33,-0.422945
0.38,0,0,0.38,-0.43563,3.33,-0.433828
0.39,0,0,0.39,-0.446544,3.33,-0.444668
0.4,0,0,0.4,-0.457413,3.33,-0.455463
0.41,0,0,0.41,-0.468235,3.33,-0.466213
0.42,0,0,0.42,-0.479011,3.33,-0.476916
0.43,0,0,0.43,-0.48974,3.33,-0.487571
0.44,0,0,0.44,-0.500418,3.33,-0.498178
0.45,0,0,0.45,-0.511047,3.33,-0.508735
0.46,0,0,0.46,-0.521624,3.33,-0.519241
0.47,0,0,0.47,-0.532149,3.33,-0.529695
0.48,0,0,0.48,-0.54262,3.33,-0.540096
0.49,0,0,0.49,-0.553037,3.33,-0.550443
0.5,0,0,0.5,-0.563398,3.33,-0.560735
0.51,0,0,0.51,-0.573702,3.33,-0.570971
0.52,0,0,0.52,-0.583949,3.33,-0.58115
0.53,0,0,0.53,-0.594136,3.33,-0.591271
0.54,0,0,0.54,-0.604263,3.33,-0.601333
0.55,0,0,0.55,-0.614329,3.33,-0.611334
0.56,0,0,0.56,-0.624333,3.33,-0.621275
0.57,0,0,0.57,-0.634275,3.33,-0.631153
0.58,0,0,0.58,-0.644151,3.33,-0.640968
0.59,0,0,0.59,-0.653962,3.33,-0.650719
0.6,0,0,0.6,-0.663708,3.33,-0.660405
0.61,0,0,0.61,-0.673386,3.33,-0.670025
0.62,0,0,0.62,-0.682996,3.33,-0.679578
0.63,0,0,0.63,-0.692537,3.33,-0.689063
0.64,0,0,0.64,-0.702007,3.33,-0.698479
0.65,0,0,0.65,-0.711407,3.33,-0.707825
0.66,0,0,0.66,-0.720734,3.33,-0.717101
0.67,0,0,0.67,-0.729989,3.33,-0.726304
0.68,0,0,0.68,-0.739168,3.33,-0.735435
0.69,0,0,0.69,-0.748273,3.33,-0.744493
0.7,0,0,0.7,-0.757303,3.33,-0.753476
0.71,0,0,0.71,-0.766255,3.33,-0.762384
0.72,0,0,0.72,-0.775129,3.33,-0.771215
0.73,0,0,0.73,-0.783924,3.33,-0.77997
0.74,0,0,0.74,-0.79264,3.33,-0.788646
0.75,0,0,0.75,-0.801276,3.33,-0.797244
0.76,0,0,0.76,-0.809829,3.33,-0.805761
0.77,0,0,0.77,-0.8183,3.33,-0.814199
0.78,0,0,0.78,-0.826689,3.33,-0.822555
0.79,0,0,0.79,-0.834993,3.33,-0.830828
0.8,0,0,0.8,-0.843211,3.33,-0.839019
0.81,0,0,0.81,-0.851345,3.33,-0.847125
0.82,0,0,0.82,-0.859391,3.33,-0.855147
0.83,0,0,0.83,-0.86735,3.33,-0.863083
0.84,0,0,0.84,-0.875221,3.33,-0.870933
0.85,0,0,0.85,-0.883002,3.33,-0.878696
0.86,0,0,0.86,-0.890693,3.33,-0.886371
0.87,0,0,0.87,-0.898294,3.33,-0.893958
0.88,0,0,0.88,-0.905803,3.33,-0.901455
0.89,0,0,0.89,-0.913221,3.33,-0.908862
0.9,0,0,0.9,-0.920544,3.33,-0.916178
0.91,0,0,0.91,-0.927774,3.33,-0.923402
0.92,0,0,0.92,-0.93491,3.33,-0.930534
0.93,0,0,0.93,-0.94195,3.33,-0.937573
0.94,0,0,0.94,-0.948895,3.33,-0.944519
0.95,0,0,0.95,-0.955742,3.33,-0.95137
0.96,0,0,0.96,-0.962493,3.33,-0.958125
