Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00211525,2.91,-0
0.01,0,0,0.01,-0.00965094,2.91,-0.00743762
0.02,0,0,0.02,-0.0171849,2.91,-0.0148745
0.03,0,0,0.03,-0.0247171,2.91,-0.0223099
0.04,0,0,0.04,-0.0322462,2.91,-0.029743
0.05,0,0,0.05,-0.0397712,2.91,-0.0371732
0.06,0,0,0.06,-0.0472914,2.91,-0.0445997
0.07,0,0,0.07,-0.0548067,2.91,-0.0520217
0.08,0,0,0.08,-0.0623153,2.91,-0.0594385
0.09,0,0,0.09,-0.0698168,2.91,-0.0668493
0.1,0,0,0.1,-0.0773102,2.91,-0.0742535
0.11,0,0,0.11,-0.0847956,2.91,-0.0816503
0.12,0,0,0.12,-0.0922704,2.91,-0.0890388
0.13,0,0,0.13,-0.0997354,2.91,-0.0964185
0.14,0,0,0.14,-0.107189,2.91,-0.103789
0.15,0,0,0.15,-0.11463,2.91,-0.111148
0.16,0,0,0.16,-0.122059,2.91,-0.118497
0.17,0,0,0.17,-0.129475,2.91,-0.125833
0.18,0,0,0.18,-0.136875,2.91,-0.133158
0.19,0,0,0.19,-0.14426,2.91,-0.140468
0.2,0,0,0.2,-0.15163,2.91,-0.147765
0.21,0,0,0.21,-0.158982,2.91,-0.155047
0.22,0,0,0.22,-0.166317,2.91,-0.162314
0.23,0,0,0.23,-0.173633,2.91,-0.169564
0.24,0,0,0.24,-0.18093,2.91,-0.176797
0.25,0,0,0.25,-0.188207,2.91,-0.184013
0.26,0,0,0.26,-0.195463,2.91,-0.19121
0.27,0,0,0.27,-0.202696,2.91,-0.198388
0.28,0,0,0.28,-0.209908,2.91,-0.205546
0.29,0,0,0.29,-0.217096,2.91,-0.212684
0.3,0,0,0.3,-0.224261,2.91,-0.2198
0.31,0,0,0.31,-0.231401,2.91,-0.226895
0.32,0,0,0.32,-0.238515,2.91,-0.233966
0.33,0,0,0.33,-0.245603,2.91,-0.241015
0.34,0,0,0.34,-0.252664,2.91,-0.248039
0.35,0,0,0.35,-0.259698,2.91,-0.255039
0.36,0,0,0.36,-0.266702,2.91,-0.262012
0.37,0,0,0.37,-0.273678,2.91,-0.26896
0.38,0,0,0.38,-0.280624,2.91,-0.275881
0.39,0,0,0.39,-0.28754,2.91,-0.282774
0.4,0,0,0.4,-0.294423,2.91,-0.289639
0.41,0,0,0.41,-0.301276,2.91,-0.296475
0.42,0,0,0.42,-0.308095,2.91,-0.303282
0.43,0,0,0.43,-0.314881,2.91,-0.310058
0.44,0,0,0.44,-0.321633,2.91,-0.316803
0.45,0,0,0.45,-0.328351,2.91,-0.323516
0.46,0,0,0.46,-0.335033,2.91,-0.330197
0.47,0,0,0.47,-0.341679,2.91,-0.336845
