Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00127567,9.33,-0
0.01,0,0,0.01,-0.0105971,9.33,-0.00900861
0.02,0,0,0.02,-0.0199047,9.33,-0.0180163
0.03,0,0,0.03,-0.0291984,9.33,-0.0270222
0.04,0,0,0.04,-0.0384782,9.33,-0.0360254
0.05,0,0,0.05,-0.0477422,9.33,-0.045025
0.06,0,0,0.06,-0.0569908,9.33,-0.0540201
0.07,0,0,0.07,-0.0662233,9.33,-0.0630098
0.08,0,0,0.08,-0.0754384,9.33,-0.0719932
0.09,0,0,0.09,-0.0846357,9.33,-0.0809694
0.1,0,0,0.1,-0.0938146,9.33,-0.0899375
0.11,0,0,0.11,-0.102975,9.33,-0.0988966
0.12,0,0,0.12,-0.112116,9.33,-0.107846
0.13,0,0,0.13,-0.121236,9.33,-0.116784
0.14,0,0,0.14,-0.130336,9.33,-0.125711
0.15,0,0,0.15,-0.139414,9.33,-0.134625
0.16,0,0,0.16,-0.14847,9.33,-0.143526
0.17,0,0,0.17,-0.157502,9.33,-0.152412
0.18,0,0,0.18,-0.166512,9.33,-0.161283
0.19,0,0,0.19,-0.175496,9.33,-0.170138
0.2,0,0,0.2,-0.184456,9.33,-0.178976
0.21,0,0,0.21,-0.19339,9.33,-0.187796
0.22,0,0,0.22,-0.202297,9.33,-0.196598
0.23,0,0,0.23,-0.211177,9.33,-0.205379
0.24,0,0,0.24,-0.22003,9.33,-0.214141
0.25,0,0,0.25,-0.228854,9.33,-0.22288
0.26,0,0,0.26,-0.237648,9.33,-0.231598
0.27,0,0,0.27,-0.246414,9.33,-0.240292
0.28,0,0,0.28,-0.255148,9.33,-0.248962
0.29,0,0,0.29,-0.26385,9.33,-0.257607
0.3,0,0,0.3,-0.27252,9.33,-0.266227
0.31,0,0,0.31,-0.281159,9.33,-0.27482
0.32,0,0,0.32,-0.289763,9.33,-0.283385
0.33,0,0,0.33,-0.298333,9.33,-0.291923
0.34,0,0,0.34,-0.306869,9.33,-0.30043
0.35,0,0,0.35,-0.315369,9.33,-0.308908
0.36,0,0,0.36,-0.323832,9.33,-0.317355
0.37,0,0,0.37,-0.332262,9.33,-0.325771
0.38,0,0,0.38,-0.34065,9.33,-0.334153
0.39,0,0,0.39,-0.349,9.33,-0.342503
0.4,0,0,0.4,-0.357314,9.33,-0.350818
0.41,0,0,0.41,-0.365587,9.33,-0.359098
0.42,0,0,0.42,-0.37382,9.33,-0.367342
0.43,0,0,0.43,-0.382011,9.33,-0.375549
0.44,0,0,0.44,-0.390161,9.33,-0.383719
0.45,0,0,0.45,-0.39827,9.33,-0.39185
0.46,0,0,0.46,-0.406336,9.33,-0.399942
0.47,0,0,0.47,-0.414358,9.33,-0.407994
0.48,0,0,0.48,-0.422336,9.33,-0.416006
0.49,0,0,0.49,-0.430269,9.33,-0.423975
0.5,0,0,0.5,-0.438157,9.33,-0.431903
0.51,0,0,0.51,-0.445999,9.33,-0.439787
0.52,0,0,0.52,-0.453794,9.33,-0.447627
0.53,0,0,0.53,-0.461542,9.33,-0.455423
0.54,0,0,0.54,-0.469242,9.33,-0.463173
0.55,0,0,0.55,-0.476894,9.33,-0.470876
0.56,0,0,0.56,-0.484497,9.33,-0.478533
0.57,0,0,0.57,-0.49205,9.33,-0.486141
0.58,0,0,0.58,-0.499553,9.33,-0.493702
0.59,0,0,0.59,-0.507005,9.33,-0.501212
0.6,0,0,0.6,-0.514405,9.33,-0.508673
0.61,0,0,0.61,-0.521753,9.33,-0.516082
0.62,0,0,0.62,-0.529049,9.33,-0.523441
0.63,0,0,0.63,-0.536291,9.33,-0.530746
0.64,0,0,0.64,-0.543479,9.33,-0.537999
0.65,0,0,0.65,-0.550613,9.33,-0.545198
0.66,0,0,0.66,-0.557693,9.33,-0.552342
0.67,0,0,0.67,-0.564717,9.33,-0.559431
0.68,0,0,0.68,-0.571683,9.33,-0.566464
0.69,0,0,0.69,-0.578593,9.33,-0.573441
0.7,0,0,0.7,-0.585447,9.33,-0.58036
0.71,0,0,0.71,-0.592242,9.33,-0.587221
0.72,0,0,0.72,-0.598978,9.33,-0.594024
0.73,0,0,0.73,-0.605656,9.33,-0.600767
0.74,0,0,0.74,-0.612273,9.33,-0.60745
0.75,0,0,0.75,-0.618831,9.33,-0.614072
0.76,0,0,0.76,-0.625329,9.33,-0.620633
0.77,0,0,0.77,-0.631764,9.33,-0.627131
0.78,0,0,0.78,-0.638136,9.33,-0.633567
0.79,0,0,0.79,-0.644448,9.33,-0.63994
0.8,0,0,0.8,-0.650697,9.33,-0.646249
0.81,0,0,0.81,-0.656881,9.33,-0.652493
0.82,0,0,0.82,-0.663001,9.33,-0.658672
0.83,0,0,0.83,-0.669058,9.33,-0.664784
0.84,0,0,0.84,-0.675048,9.33,-0.670831
0.85,0,0,0.85,-0.680972,9.33,-0.67681
0.86,0,0,0.86,-0.686831,9.33,-0.682722
0.87,0,0,0.87,-0.692621,9.33,-0.688565
0.88,0,0,0.88,-0.698345,9.33,-0.69434
0.89,0,0,0.89,-0.704001,9.33,-0.700045
0.9,0,0,0.9,-0.709591,9.33,-0.70568
0.91,0,0,0.91,-0.715109,9.33,-0.711245
0.92,0,0,0.92,-0.720557,9.33,-0.716738
0.93,0,0,0.93,-0.725937,9.33,-0.72216
0.94,0,0,0.94,-0.731246,9.33,-0.72751
0.95,0,0,0.95,-0.736483,9.33,-0.732786
0.96,0,0,0.96,-0.74165,9.33,-0.73799
0.97,0,0,0.97,-0.746744,9.33,-0.74312
0.98,0,0,0.98,-0.751765,9.33,-0.748175
0.99,0,0,0.99,-0.756714,9.33,-0.753156
1,0,0,1,-0.761589,9.33,-0.758061
1.01,0,0,1.01,-0.766391,9.33,-0.76289
1.02,0,0,1.02,-0.771118,9.33,-0.767644
1.03,0,0,1.03,-0.775769,9.33,-0.77232
1.04,0,0,1.04,-0.780346,9.33,-0.776919
1.05,0,0,1.05,-0.784846,9.33,-0.781441
1.06,0,0,1.06,-0.789271,9.33,-0.785884
1.07,0,0,1.07,-0.793619,9.33,-0.790249
1.08,0,0,1.08,-0.79789,9.33,-0.794534
1.09,0,0,1.09,-0.802083,9.33,-0.798741
1.1,0,0,1.1,-0.806198,9.33,-0.802867
1.11,0,0,1.11,-0.810234,9.33,-0.806913
1.12,0,0,1.12,-0.814193,9.33,-0.810879
1.13,0,0,1.13,-0.818071,9.33,-0.814763
1.14,0,0,1.14,-0.821872,9.33,-0.818566
1.15,0,0,1.15,-0.825591,9.33,-0.822287
1.16,0,0,1.16,-0.829229,9.33,-0.825926
1.17,0,0,1.17,-0.832787,9.33,-0.829482
1.18,0,0,1.18,-0.836264,9.33,-0.832955
1.19,0,0,1.19,-0.839659,9.33,-0.836345
1.2,0,0,1.2,-0.842972,9.33,-0.839651
1.21,0,0,1.21,-0.846204,9.33,-0.842874
1.22,0,0,1.22,-0.849352,9.33,-0.846012
1.23,0,0,1.23,-0.852419,9.33,-0.849065
1.24,0,0,1.24,-0.855402,9.33,-0.852034
1.25,0,0,1.25,-0.858301,9.33,-0.854917
1.26,0,0,1.26,-0.861119,9.33,-0.857715
1.27,0,0,1.27,-0.86385,9.33,-0.860427
1.28,0,0,1.28,-0.866498,9.33,-0.863053
1.29,0,0,1.29,-0.869061,9.33,-0.865593
1.3,0,0,1.3,-0.871538,9.33,-0.868046
1.31,0,0,1.31,-0.87393,9.33,-0.870413
1.32,0,0,1.32,-0.876239,9.33,-0.872692
1.33,0,0,1.33,-0.878461,9.33,-0.874884
1.34,0,0,1.34,-0.880598,9.33,-0.876989
1.35,0,0,1.35,-0.882647,9.33,-0.879006
1.36,0,0,1.36,-0.884612,9.33,-0.880935
1.37,0,0,1.37,-0.88649,9.33,-0.882775
1.38,0,0,1.38,-0.888281,9.33,-0.884528
1.39,0,0,1.39,-0.889984,9.33,-0.886192
1.4,0,0,1.4,-0.891604,9.33,-0.887768
1.41,0,0,1.41,-0.893134,9.33,-0.889255
1.42,0,0,1.42,-0.894577,9.33,-0.890652
1.43,0,0,1.43,-0.895934,9.33,-0.891961
1.44,0,0,1.44,-0.897201,9.33,-0.893181
1.45,0,0,1.45,-0.898382,9.33,-0.894311
1.46,0,0,1.46,-0.899476,9.33,-0.895352
1.47,0,0,1.47,-0.900481,9.33,-0.896303
1.48,0,0,1.48,-0.901398,9.33,-0.897165
1.49,0,0,1.49,-0.902227,9.33,-0.897937
1.5,0,0,1.5,-0.90297,9.33,-0.898619
1.51,0,0,1.51,-0.903621,9.33,-0.899211
1.52,0,0,1.52,-0.904187,9.33,-0.899714
1.53,0,0,1.53,-0.904663,9.33,-0.900126
1.54,0,0,1.54,-0.905052,9.33,-0.900449
1.55,0,0,1.55,-0.905352,9.33,-0.900681
1.56,0,0,1.56,-0.905564,9.33,-0.900823
1.57,0,0,1.57,-0.905687,9.33,-0.900876
1.58,0,0,1.58,-0.905724,9.33,-0.900838
1.59,0,0,1.59,-0.905672,9.33,-0.90071
1.6,0,0,1.6,-0.90553,9.33,-0.900492
1.61,0,0,1.61,-0.9053,9.33,-0.900184
1.62,0,0,1.62,-0.904983,9.33,-0.899786
1.63,0,0,1.63,-0.904578,9.33,-0.899297
1.64,0,0,1.64,-0.904084,9.33,-0.898719
1.65,0,0,1.65,-0.9035,9.33,-0.898052
1.66,0,0,1.66,-0.902832,9.33,-0.897294
1.67,0,0,1.67,-0.902072,9.33,-0.896447
1.68,0,0,1.68,-0.901226,9.33,-0.895509
1.69,0,0,1.69,-0.900294,9.33,-0.894483
1.7,0,0,1.7,-0.899271,9.33,-0.893367
1.71,0,0,1.71,-0.898164,9.33,-0.892161
1.72,0,0,1.72,-0.896966,9.33,-0.890867
1.73,0,0,1.73,-0.895684,9.33,-0.889483
1.74,0,0,1.74,-0.894315,9.33,-0.888011
1.75,0,0,1.75,-0.892856,9.33,-0.886449
1.76,0,0,1.76,-0.891311,9.33,-0.884799
1.77,0,0,1.77,-0.88968,9.33,-0.883061
1.78,0,0,1.78,-0.887962,9.33,-0.881234
1.79,0,0,1.79,-0.886156,9.33,-0.879319
1.8,0,0,1.8,-0.884266,9.33,-0.877316
1.81,0,0,1.81,-0.88229,9.33,-0.875225
1.82,0,0,1.82,-0.880226,9.33,-0.873047
1.83,0,0,1.83,-0.878077,9.33,-0.870781
1.84,0,0,1.84,-0.875844,9.33,-0.868429
1.85,0,0,1.85,-0.873525,9.33,-0.86599
1.86,0,0,1.86,-0.871119,9.33,-0.863464
1.87,0,0,1.87,-0.86863,9.33,-0.860851
1.88,0,0,1.88,-0.866056,9.33,-0.858153
1.89,0,0,1.89,-0.863397,9.33,-0.855369
1.9,0,0,1.9,-0.860656,9.33,-0.852499
1.91,0,0,1.91,-0.857828,9.33,-0.849544
1.92,0,0,1.92,-0.854918,9.33,-0.846504
1.93,0,0,1.93,-0.851923,9.33,-0.843379
1.94,0,0,1.94,-0.848846,9.33,-0.84017
1.95,0,0,1.95,-0.845686,9.33,-0.836877
1.96,0,0,1.96,-0.842445,9.33,-0.833501
1.97,0,0,1.97,-0.83912,9.33,-0.830041
1.98,0,0,1.98,-0.835711,9.33,-0.826498
1.99,0,0,1.99,-0.832222,9.33,-0.822872
2,0,0,2,-0.828652,9.33,-0.819164
2.01,0,0,2.01,-0.825001,9.33,-0.815374
2.02,0,0,2.02,-0.821267,9.33,-0.811503
2.03,0,0,2.03,-0.817456,9.33,-0.80755
2.04,0,0,2.04,-0.813562,9.33,-0.803517
2.05,0,0,2.05,-0.80959,9.33,-0.799403
2.06,0,0,2.06,-0.805537,9.33,-0.79521
2.07,0,0,2.07,-0.801404,9.33,-0.790937
2.08,0,0,2.08,-0.797194,9.33,-0.786584
2.09,0,0,2.09,-0.792904,9.33,-0.782153
2.1,0,0,2.1,-0.788536,9.33,-0.777644
2.11,0,0,2.11,-0.78409,9.33,-0.773058
2.12,0,0,2.12,-0.779568,9.33,-0.768393
2.13,0,0,2.13,-0.774968,9.33,-0.763652
2.14,0,0,2.14,-0.770291,9.33,-0.758835
2.15,0,0,2.15,-0.765538,9.33,-0.753942
2.16,0,0,2.16,-0.760711,9.33,-0.748973
2.17,0,0,2.17,-0.755807,9.33,-0.74393
2.18,0,0,2.18,-0.750828,9.33,-0.738812
2.19,0,0,2.19,-0.745775,9.33,-0.73362
2.2,0,0,2.2,-0.740647,9.33,-0.728355
2.21,0,0,2.21,-0.735448,9.33,-0.723017
2.22,0,0,2.22,-0.730171,9.33,-0.717607
2.23,0,0,2.23,-0.724825,9.33,-0.712125
2.24,0,0,2.24,-0.719406,9.33,-0.706571
2.25,0,0,2.25,-0.713915,9.33,-0.700947
2.26,0,0,2.26,-0.708352,9.33,-0.695253
2.27,0,0,2.27,-0.702718,9.33,-0.68949
2.28,0,0,2.28,-0.697016,9.33,-0.683657
2.29,0,0,2.29,-0.691243,9.33,-0.677756
2.3,0,0,2.3,-0.685401,9.33,-0.671788
2.31,0,0,2.31,-0.67949,9.33,-0.665752
2.32,0,0,2.32,-0.673509,9.33,-0.65965
2.33,0,0,2.33,-0.667463,9.33,-0.653481
2.34,0,0,2.34,-0.66135,9.33,-0.647248
2.35,0,0,2.35,-0.655168,9.33,-0.640949
2.36,0,0,2.36,-0.64892,9.33,-0.634587
2.37,0,0,2.37,-0.642609,9.33,-0.628161
2.38,0,0,2.38,-0.636231,9.33,-0.621672
2.39,0,0,2.39,-0.62979,9.33,-0.615121
2.4,0,0,2.4,-0.623284,9.33,-0.608508
2.41,0,0,2.41,-0.616716,9.33,-0.601835
2.42,0,0,2.42,-0.610084,9.33,-0.595102
2.43,0,0,2.43,-0.603392,9.33,-0.588309
2.44,0,0,2.44,-0.596639,9.33,-0.581457
2.45,0,0,2.45,-0.589824,9.33,-0.574547
2.46,0,0,2.46,-0.582949,9.33,-0.567579
2.47,0,0,2.47,-0.576013,9.33,-0.560555
2.48,0,0,2.48,-0.569022,9.33,-0.553475
2.49,0,0,2.49,-0.561972,9.33,-0.546339
2.5,0,0,2.5,-0.554865,9.33,-0.539149
2.51,0,0,2.51,-0.547701,9.33,-0.531905
2.52,0,0,2.52,-0.54048,9.33,-0.524608
2.53,0,0,2.53,-0.533204,9.33,-0.517258
2.54,0,0,2.54,-0.525874,9.33,-0.509856
2.55,0,0,2.55,-0.518493,9.33,-0.502404
2.56,0,0,2.56,-0.511056,9.33,-0.494901
2.57,0,0,2.57,-0.503564,9.33,-0.487349
2.58,0,0,2.58,-0.496023,9.33,-0.479748
2.59,0,0,2.59,-0.488433,9.33,-0.472099
2.6,0,0,2.6,-0.480792,9.33,-0.464403
2.61,0,0,2.61,-0.473101,9.33,-0.45666
2.62,0,0,2.62,-0.465362,9.33,-0.448872
2.63,0,0,2.63,-0.457574,9.33,-0.441039
2.64,0,0,2.64,-0.449739,9.33,-0.433161
2.65,0,0,2.65,-0.441859,9.33,-0.425241
2.66,0,0,2.66,-0.433933,9.33,-0.417278
2.67,0,0,2.67,-0.425964,9.33,-0.409273
2.68,0,0,2.68,-0.417949,9.33,-0.401227
2.69,0,0,2.69,-0.409891,9.33,-0.393141
2.7,0,0,2.7,-0.401793,9.33,-0.385016
2.71,0,0,2.71,-0.393653,9.33,-0.376853
2.72,0,0,2.72,-0.385471,9.33,-0.368651
2.73,0,0,2.73,-0.37725,9.33,-0.360413
2.74,0,0,2.74,-0.368992,9.33,-0.352139
2.75,0,0,2.75,-0.360693,9.33,-0.343829
2.76,0,0,2.76,-0.352362,9.33,-0.335485
2.77,0,0,2.77,-0.343992,9.33,-0.327108
2.78,0,0,2.78,-0.335586,9.33,-0.318698
2.79,0,0,2.79,-0.327145,9.33,-0.310256
2.8,0,0,2.8,-0.318674,9.33,-0.301783
2.81,0,0,2.81,-0.310166,9.33,-0.29328
2.82,0,0,2.82,-0.30163,9.33,-0.284747
2.83,0,0,2.83,-0.29306,9.33,-0.276186
2.84,0,0,2.84,-0.284463,9.33,-0.267597
2.85,0,0,2.85,-0.275832,9.33,-0.258982
2.86,0,0,2.86,-0.26718,9.33,-0.250341
2.87,0,0,2.87,-0.258497,9.33,-0.241674
2.88,0,0,2.88,-0.249786,9.33,-0.232984
2.89,0,0,2.89,-0.241054,9.33,-0.22427
2.9,0,0,2.9,-0.232296,9.33,-0.215534
2.91,0,0,2.91,-0.223514,9.33,-0.206776
2.92,0,0,2.92,-0.21471,9.33,-0.197998
2.93,0,0,2.93,-0.205885,9.33,-0.1892
2.94,0,0,2.94,-0.197037,9.33,-0.180382
2.95,0,0,2.95,-0.188172,9.33,-0.171547
2.96,0,0,2.96,-0.179286,9.33,-0.162695
2.97,0,0,2.97,-0.170385,9.33,-0.153826
2.98,0,0,2.98,-0.161466,9.33,-0.144942
2.99,0,0,2.99,-0.152531,9.33,-0.136044
3,0,0,3,-0.143583,9.33,-0.127132
3.01,0,0,3.01,-0.134618,9.33,-0.118207
3.02,0,0,3.02,-0.125642,9.33,-0.10927
3.03,0,0,3.03,-0.116654,9.33,-0.100323
3.04,0,0,3.04,-0.107653,9.33,-0.091365
3.05,0,0,3.05,-0.0986459,9.33,-0.0823983
3.06,0,0,3.06,-0.0896266,9.33,-0.0734233
3.07,0,0,3.07,-0.080602,9.33,-0.064441
3.08,0,0,3.08,-0.0715688,9.33,-0.0554523
3.09,0,0,3.09,-0.0625287,9.33,-0.046458
3.1,0,0,3.1,-0.0534848,9.33,-0.037459
3.11,0,0,3.11,-0.0444347,9.33,-0.0284563
3.12,0,0,3.12,-0.035384,9.33,-0.0194508
3.13,0,0,3.13,-0.0263313,9.33,-0.0104433
3.14,0,0,3.14,-0.0172776,9.33,-0.00143478
3.15,0,0,3.15,-0.00822002,9.33,0.00757389
3.16,0,0,3.16,0.000833332,9.33,0.0165818
3.17,0,0,3.17,0.00988474,9.33,0.025588
3.18,0,0,3.18,0.0189334,9.33,0.0345917
3.19,0,0,3.19,0.0279798,9.33,0.043592
3.2,0,0,3.2,0.0370204,9.33,0.0525879
3.21,0,0,3.21,0.0460542,9.33,0.0615785
3.22,0,0,3.22,0.0550818,9.33,0.0705629
3.23,0,0,3.23,0.0641047,9.33,0.0795403
3.24,0,0,3.24,0.0731144,9.33,0.0885098
3.25,0,0,3.25,0.082118,9.33,0.0974704
3.26,0,0,3.26,0.091109,9.33,0.106421
3.27,0,0,3.27,0.100089,9.33,0.115361
3.28,0,0,3.28,0.109058,9.33,0.12429
3.29,0,0,3.29,0.118012,9.33,0.133206
3.3,0,0,3.3,0.126953,9.33,0.142109
3.31,0,0,3.31,0.135875,9.33,0.150998
3.32,0,0,3.32,0.144784,9.33,0.159872
3.33,0,0,3.33,0.153674,9.33,0.168729
3.34,0,0,3.34,0.162544,9.33,0.17757
3.35,0,0,3.35,0.171401,9.33,0.186393
3.36,0,0,3.36,0.180232,9.33,0.195197
3.37,0,0,3.37,0.189045,9.33,0.203982
3.38,0,0,3.38,0.197836,9.33,0.212747
3.39,0,0,3.39,0.206604,9.33,0.22149
3.4,0,0,3.4,0.215345,9.33,0.230211
3.41,0,0,3.41,0.224065,9.33,0.238909
3.42,0,0,3.42,0.232758,9.33,0.247583
3.43,0,0,3.43,0.241425,9.33,0.256232
3.44,0,0,3.44,0.250064,9.33,0.264856
3.45,0,0,3.45,0.258676,9.33,0.273453
3.46,0,0,3.46,0.267257,9.33,0.282023
3.47,0,0,3.47,0.27581,9.33,0.290565
3.48,0,0,3.48,0.284331,9.33,0.299077
