Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.000487742,0.74,0
0.01,0,0,0.01,0.0135295,0.74,0.0141273
0.02,0,0,0.02,0.027546,0.74,0.0282532
0.03,0,0,0.03,0.0415604,0.74,0.0423763
0.04,0,0,0.04,0.0555714,0.74,0.0564952
0.05,0,0,0.05,0.0695775,0.74,0.0706084
0.06,0,0,0.06,0.0835776,0.74,0.0847145
0.07,0,0,0.07,0.0975702,0.74,0.0988122
0.08,0,0,0.08,0.111554,0.74,0.1129
0.09,0,0,0.09,0.125528,0.74,0.126977
0.1,0,0,0.1,0.13949,0.74,0.14104
0.11,0,0,0.11,0.15344,0.74,0.15509
0.12,0,0,0.12,0.167376,0.74,0.169124
0.13,0,0,0.13,0.181297,0.74,0.183141
0.14,0,0,0.14,0.195202,0.74,0.19714
0.15,0,0,0.15,0.209089,0.74,0.21112
0.16,0,0,0.16,0.222957,0.74,0.225078
0.17,0,0,0.17,0.236805,0.74,0.239013
0.18,0,0,0.18,0.250631,0.74,0.252925
0.19,0,0,0.19,0.264435,0.74,0.266812
0.2,0,0,0.2,0.278214,0.74,0.280671
0.21,0,0,0.21,0.291968,0.74,0.294503
0.22,0,0,0.22,0.305696,0.74,0.308305
0.23,0,0,0.23,0.319397,0.74,0.322077
0.24,0,0,0.24,0.333068,0.74,0.335816
0.25,0,0,0.25,0.346708,0.74,0.349522
0.26,0,0,0.26,0.360317,0.74,0.363192
0.27,0,0,0.27,0.373894,0.74,0.376827
0.28,0,0,0.28,0.387436,0.74,0.390423
0.29,0,0,0.29,0.400942,0.74,0.403981
0.3,0,0,0.3,0.414412,0.74,0.417498
0.31,0,0,0.31,0.427844,0.74,0.430974
0.32,0,0,0.32,0.441237,0.74,0.444406
0.33,0,0,0.33,0.454589,0.74,0.457794
0.34,0,0,0.34,0.467898,0.74,0.471136
0.35,0,0,0.35,0.481165,0.74,0.484431
0.36,0,0,0.36,0.494387,0.74,0.497678
0.37,0,0,0.37,0.507564,0.74,0.510875
0.38,0,0,0.38,0.520693,0.74,0.52402
0.39,0,0,0.39,0.533773,0.74,0.537114
0.4,0,0,0.4,0.546804,0.74,0.550153
0.41,0,0,0.41,0.559784,0.74,0.563138
0.42,0,0,0.42,0.572711,0.74,0.576066
0.43,0,0,0.43,0.585585,0.74,0.588937
0.44,0,0,0.44,0.598404,0.74,0.601749
0.45,0,0,0.45,0.611166,0.74,0.6145
0.46,0,0,0.46,0.62387,0.74,0.627191
