Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00264021,7.97,0
0.01,0,0,0.01,0.00612141,7.97,0.00877505
0.02,0,0,0.02,0.0148824,7.97,0.0175492
0.03,0,0,0.03,0.0236419,7.97,0.0263216
0.04,0,0,0.04,0.032398,7.97,0.0350914
0.05,0,0,0.05,0.0411514,7.97,0.0438577
0.06,0,0,0.06,0.0499,7.97,0.0526196
0.07,0,0,0.07,0.0586434,7.97,0.0613762
0.08,0,0,0.08,0.0673812,7.97,0.0701267
0.09,0,0,0.09,0.0761115,7.97,0.0788701
0.1,0,0,0.1,0.0848347,7.97,0.0876057
0.11,0,0,0.11,0.0935491,7.97,0.0963326
0.12,0,0,0.12,0.102254,7.97,0.10505
0.13,0,0,0.13,0.110948,7.97,0.113756
0.14,0,0,0.14,0.119632,7.97,0.122452
0.15,0,0,0.15,0.128304,7.97,0.131135
0.16,0,0,0.16,0.136963,7.97,0.139805
0.17,0,0,0.17,0.145609,7.97,0.148461
0.18,0,0,0.18,0.154241,7.97,0.157102
0.19,0,0,0.19,0.162857,7.97,0.165727
0.2,0,0,0.2,0.171458,7.97,0.174336
0.21,0,0,0.21,0.180042,7.97,0.182928
0.22,0,0,0.22,0.188609,7.97,0.191501
0.23,0,0,0.23,0.197157,7.97,0.200055
0.24,0,0,0.24,0.205686,7.97,0.208589
0.25,0,0,0.25,0.214196,7.97,0.217102
0.26,0,0,0.26,0.222684,7.97,0.225593
0.27,0,0,0.27,0.231151,7.97,0.234062
0.28,0,0,0.28,0.239594,7.97,0.242507
0.29,0,0,0.29,0.248015,7.97,0.250929
0.3,0,0,0.3,0.256411,7.97,0.259325
0.31,0,0,0.31,0.264783,7.97,0.267695
0.32,0,0,0.32,0.273129,7.97,0.276038
0.33,0,0,0.33,0.281448,7.97,0.284354
0.34,0,0,0.34,0.289739,7.97,0.292641
0.35,0,0,0.35,0.298002,7.97,0.300899
0.36,0,0,0.36,0.306236,7.97,0.309127
0.37,0,0,0.37,0.31444,7.97,0.317324
0.38,0,0,0.38,0.322613,7.97,0.32549
0.39,0,0,0.39,0.330754,7.97,0.333623
0.4,0,0,0.4,0.338861,7.97,0.341722
0.41,0,0,0.41,0.346937,7.97,0.349787
0.42,0,0,0.42,0.354978,7.97,0.357818
0.43,0,0,0.43,0.362982,7.97,0.365812
0.44,0,0,0.44,0.370953,7.97,0.37377
0.45,0,0,0.45,0.378885,7.97,0.381691
0.46,0,0,0.46,0.38678,7.97,0.389573
0.47,0,0,0.47,0.394637,7.97,0.397416
0.48,0,0,0.48,0.402454,7.97,0.40522
0.49,0,0,0.49,0.410232,7.97,0.412983
0.5,0,0,0.5,0.41797,7.97,0.420705
0.51,0,0,0.51,0.425665,7.97,0.428385
0.52,0,0,0.52,0.433317,7.97,0.436022
0.53,0,0,0.53,0.440927,7.97,0.443615
