Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00268377,4.58,-0
0.01,0,0,0.01,-0.013898,4.58,-0.0112323
0.02,0,0,0.02,-0.025111,4.58,-0.0224635
0.03,0,0,0.03,-0.0363218,4.58,-0.0336925
0.04,0,0,0.04,-0.0475287,4.58,-0.0449181
0.05,0,0,0.05,-0.0587296,4.58,-0.0561392
0.06,0,0,0.06,-0.0699241,4.58,-0.0673547
0.07,0,0,0.07,-0.0811104,4.58,-0.0785634
0.08,0,0,0.08,-0.0922886,4.58,-0.0897643
0.09,0,0,0.09,-0.103456,4.58,-0.100956
0.1,0,0,0.1,-0.114613,4.58,-0.112138
0.11,0,0,0.11,-0.125757,4.58,-0.123309
0.12,0,0,0.12,-0.136889,4.58,-0.134467
0.13,0,0,0.13,-0.148005,4.58,-0.145612
0.14,0,0,0.14,-0.159106,4.58,-0.156742
0.15,0,0,0.15,-0.170191,4.58,-0.167857
0.16,0,0,0.16,-0.181257,4.58,-0.178954
0.17,0,0,0.17,-0.192306,4.58,-0.190034
0.18,0,0,0.18,-0.203334,4.58,-0.201095
0.19,0,0,0.19,-0.214342,4.58,-0.212136
0.2,0,0,0.2,-0.225327,4.58,-0.223156
0.21,0,0,0.21,-0.23629,4.58,-0.234153
0.22,0,0,0.22,-0.247229,4.58,-0.245127
0.23,0,0,0.23,-0.258142,4.58,-0.256076
0.24,0,0,0.24,-0.26903,4.58,-0.267
0.25,0,0,0.25,-0.279891,4.58,-0.277897
0.26,0,0,0.26,-0.290723,4.58,-0.288766
0.27,0,0,0.27,-0.301526,4.58,-0.299607
0.28,0,0,0.28,-0.312299,4.58,-0.310417
0.29,0,0,0.29,-0.32304,4.58,-0.321196
0.3,0,0,0.3,-0.33375,4.58,-0.331944
0.31,0,0,0.31,-0.344425,4.58,-0.342658
0.32,0,0,0.32,-0.355066,4.58,-0.353337
0.33,0,0,0.33,-0.365672,4.58,-0.363982
0.34,0,0,0.34,-0.376239,4.58,-0.37459
0.35,0,0,0.35,-0.386771,4.58,-0.385161
0.36,0,0,0.36,-0.397265,4.58,-0.395693
0.37,0,0,0.37,-0.407717,4.58,-0.406185
0.38,0,0,0.38,-0.418129,4.58,-0.416637
0.39,0,0,0.39,-0.428499,4.58,-0.427047
0.4,0,0,0.4,-0.438827,4.58,-0.437415
0.41,0,0,0.41,-0.44911,4.58,-0.447739
