Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,0.000463604,3.31,-0
0.01,0,0,0.01,-0.0111183,3.31,-0.0115345
0.02,0,0,0.02,-0.0227002,3.31,-0.0230678
0.03,0,0,0.03,-0.0342805,3.31,-0.0345988
0.04,0,0,0.04,-0.0458587,3.31,-0.0461263
0.05,0,0,0.05,-0.0574342,3.31,-0.0576492
0.06,0,0,0.06,-0.0690042,3.31,-0.0691664
0.07,0,0,0.07,-0.0805689,3.31,-0.0806767
0.08,0,0,0.08,-0.0921265,3.31,-0.0921788
0.09,0,0,0.09,-0.103676,3.31,-0.103672
0.1,0,0,0.1,-0.115216,3.31,-0.115154
0.11,0,0,0.11,-0.126745,3.31,-0.126625
0.12,0,0,0.12,-0.138264,3.31,-0.138084
0.13,0,0,0.13,-0.149769,3.31,-0.149529
0.14,0,0,0.14,-0.16126,3.31,-0.160958
0.15,0,0,0.15,-0.172736,3.31,-0.172372
0.16,0,0,0.16,-0.184197,3.31,-0.183768
0.17,0,0,0.17,-0.195639,3.31,-0.195146
0.18,0,0,0.18,-0.207063,3.31,-0.206504
0.19,0,0,0.19,-0.218467,3.31,-0.217842
0.2,0,0,0.2,-0.22985,3.31,-0.229158
0.21,0,0,0.21,-0.241212,3.31,-0.240451
0.22,0,0,0.22,-0.25255,3.31,-0.25172
0.23,0,0,0.23,-0.263863,3.31,-0.262964
0.24,0,0,0.24,-0.275151,3.31,-0.274182
0.25,0,0,0.25,-0.286412,3.31,-0.285372
0.26,0,0,0.26,-0.297646,3.31,-0.296534
0.27,0,0,0.27,-0.30885,3.31,-0.307665
0.28,0,0,0.28,-0.320024,3.31,-0.318767
0.29,0,0,0.29,-0.331166,3.31,-0.329836
0.3,0,0,0.3,-0.342275,3.31,-0.340872
0.31,0,0,0.31,-0.353351,3.31,-0.351875
0.32,0,0,0.32,-0.364392,3.31,-0.362842
0.33,0,0,0.33,-0.375396,3.31,-0.373772
0.34,0,0,0.34,-0.386363,3.31,-0.384666
0.35,0,0,0.35,-0.397292,3.31,-0.395521
0.36,0,0,0.36,-0.408181,3.31,-0.406336
0.37,0,0,0.37,-0.419031,3.31,-0.417111
0.38,0,0,0.38,-0.429837,3.31,-0.427844
0.39,0,0,0.39,-0.4406,3.31,-0.438534
0.4,0,0,0.4,-0.45132,3.31,-0.449181
0.41,0,0,0.41,-0.461994,3.31,-0.459782
0.42,0,0,0.42,-0.472622,3.31,-0.470338
0.43,0,0,0.43,-0.483201,3.31,-0.480846
0.44,0,0,0.44,-0.493734,3.31,-0.491306
0.45,0,0,0.45,-0.504215,3.31,-0.501718
0.46,0,0,0.46,-0.514646,3.31,-0.512079
0.47,0,0,0.47,-0.525025,3.31,-0.522389
0.48,0,0,0.48,-0.535351,3.31,-0.532646
0.49,0,0,0.49,-0.545624,3.31,-0.542851
