Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,0.0011052,1.72,0
0.01,0,0,0.01,0.00959044,1.72,0.00840225
0.02,0,0,0.02,0.0180734,1.72,0.0168037
0.03,0,0,0.03,0.0265529,1.72,0.0252034
0.04,0,0,0.04,0.0350277,1.72,0.0336006
0.05,0,0,0.05,0.0434972,1.72,0.0419944
0.06,0,0,0.06,0.0519605,1.72,0.0503841
0.07,0,0,0.07,0.0604163,1.72,0.0587687
0.08,0,0,0.08,0.0688639,1.72,0.0671474
0.09,0,0,0.09,0.0773024,1.72,0.0755195
0.1,0,0,0.1,0.0857309,1.72,0.0838839
0.11,0,0,0.11,0.0941486,1.72,0.09224
0.12,0,0,0.12,0.102554,1.72,0.100587
0.13,0,0,0.13,0.110948,1.72,0.108924
0.14,0,0,0.14,0.119327,1.72,0.11725
0.15,0,0,0.15,0.127692,1.72,0.125564
0.16,0,0,0.16,0.136042,1.72,0.133865
0.17,0,0,0.17,0.144377,1.72,0.142154
0.18,0,0,0.18,0.152694,1.72,0.150428
0.19,0,0,0.19,0.160993,1.72,0.158687
0.2,0,0,0.2,0.169274,1.72,0.16693
0.21,0,0,0.21,0.177536,1.72,0.175156
0.22,0,0,0.22,0.185777,1.72,0.183365
0.23,0,0,0.23,0.193998,1.72,0.191556
0.24,0,0,0.24,0.202197,1.72,0.199727
0.25,0,0,0.25,0.210373,1.72,0.207878
0.26,0,0,0.26,0.218525,1.72,0.216009
0.27,0,0,0.27,0.226654,1.72,0.224118
0.28,0,0,0.28,0.234757,1.72,0.232205
0.29,0,0,0.29,0.242835,1.72,0.240268
0.3,0,0,0.3,0.250886,1.72,0.248308
0.31,0,0,0.31,0.258909,1.72,0.256322
0.32,0,0,0.32,0.266904,1.72,0.264311
0.33,0,0,0.33,0.27487,1.72,0.272274
0.34,0,0,0.34,0.282806,1.72,0.280209
0.35,0,0,0.35,0.290712,1.72,0.288116
0.36,0,0,0.36,0.298586,1.72,0.295995
0.37,0,0,0.37,0.306427,1.72,0.303843
0.38,0,0,0.38,0.314236,1.72,0.311662
0.39,0,0,0.39,0.322011,1.72,0.319449
0.4,0,0,0.4,0.329752,1.72,0.327204
0.41,0,0,0.41,0.337457,1.72,0.334927
0.42,0,0,0.42,0.345126,1.72,0.342616
0.43,0,0,0.43,0.352758,1.72,0.350271
0.44,0,0,0.44,0.360352,1.72,0.357891
0.45,0,0,0.45,0.367908,1.72,0.365475
0.46,0,0,0.46,0.375425,1.72,0.373023
0.47,0,0,0.47,0.382902,1.72,0.380533
0.48,0,0,0.48,0.390339,1.72,0.388005
0.49,0,0,0.49,0.397733,1.72,0.395438
0.5,0,0,0.5,0.405086,1.72,0.402832
0.51,0,0,0.51,0.412396,1.72,0.410186
0.52,0,0,0.52,0.419663,1.72,0.417498
0.53,0,0,0.53,0.426885,1.72,0.424769
0.54,0,0,0.54,0.434062,1.72,0.431997
0.55,0,0,0.55,0.441194,1.72,0.439182
0.56,0,0,0.56,0.44828,1.72,0.446323
0.57,0,0,0.57,0.455318,1.72,0.45342
0.58,0,0,0.58,0.462309,1.72,0.460471
0.59,0,0,0.59,0.469252,1.72,0.467476
0.6,0,0,0.6,0.476145,1.72,0.474435
0.61,0,0,0.61,0.482988,1.72,0.481346
0.62,0,0,0.62,0.489782,1.72,0.488208
0.63,0,0,0.63,0.496524,1.72,0.495022
0.64,0,0,0.64,0.503215,1.72,0.501787
0.65,0,0,0.65,0.509854,1.72,0.508501
0.66,0,0,0.66,0.51644,1.72,0.515165
0.67,0,0,0.67,0.522973,1.72,0.521777
0.68,0,0,0.68,0.529451,1.72,0.528336
0.69,0,0,0.69,0.535875,1.72,0.534843
0.7,0,0,0.7,0.542244,1.72,0.541297
0.71,0,0,0.71,0.548557,1.72,0.547696
0.72,0,0,0.72,0.554813,1.72,0.554041
0.73,0,0,0.73,0.561013,1.72,0.56033
0.74,0,0,0.74,0.567156,1.72,0.566563
0.75,0,0,0.75,0.57324,1.72,0.57274
0.76,0,0,0.76,0.579266,1.72,0.578859
0.77,0,0,0.77,0.585233,1.72,0.58492
0.78,0,0,0.78,0.591141,1.72,0.590923
0.79,0,0,0.79,0.596988,1.72,0.596867
0.8,0,0,0.8,0.602774,1.72,0.602751
0.81,0,0,0.81,0.6085,1.72,0.608574
0.82,0,0,0.82,0.614164,1.72,0.614337
0.83,0,0,0.83,0.619766,1.72,0.620039
0.84,0,0,0.84,0.625306,1.72,0.625678
0.85,0,0,0.85,0.630783,1.72,0.631255
0.86,0,0,0.86,0.636196,1.72,0.636769
0.87,0,0,0.87,0.641546,1.72,0.642219
0.88,0,0,0.88,0.646831,1.72,0.647605
0.89,0,0,0.89,0.652051,1.72,0.652926
0.9,0,0,0.9,0.657206,1.72,0.658182
0.91,0,0,0.91,0.662296,1.72,0.663372
0.92,0,0,0.92,0.66732,1.72,0.668496
0.93,0,0,0.93,0.672276,1.72,0.673552
0.94,0,0,0.94,0.677167,1.72,0.678542
0.95,0,0,0.95,0.68199,1.72,0.683463
0.96,0,0,0.96,0.686746,1.72,0.688317
0.97,0,0,0.97,0.691433,1.72,0.693101
0.98,0,0,0.98,0.696053,1.72,0.697816
0.99,0,0,0.99,0.700603,1.72,0.702462
1,0,0,1,0.705085,1.72,0.707037
1.01,0,0,1.01,0.709497,1.72,0.711541
1.02,0,0,1.02,0.713839,1.72,0.715974
1.03,0,0,1.03,0.718112,1.72,0.720336
1.04,0,0,1.04,0.722313,1.72,0.724626
1.05,0,0,1.05,0.726444,1.72,0.728843
1.06,0,0,1.06,0.730503,1.72,0.732987
1.07,0,0,1.07,0.734492,1.72,0.737058
1.08,0,0,1.08,0.738408,1.72,0.741055
1.09,0,0,1.09,0.742252,1.72,0.744979
1.1,0,0,1.1,0.746024,1.72,0.748827
1.11,0,0,1.11,0.749723,1.72,0.752601
1.12,0,0,1.12,0.753349,1.72,0.7563
1.13,0,0,1.13,0.756902,1.72,0.759922
1.14,0,0,1.14,0.760382,1.72,0.763469
1.15,0,0,1.15,0.763787,1.72,0.76694
1.16,0,0,1.16,0.767118,1.72,0.770334
1.17,0,0,1.17,0.770375,1.72,0.773651
1.18,0,0,1.18,0.773557,1.72,0.77689
1.19,0,0,1.19,0.776663,1.72,0.780052
1.2,0,0,1.2,0.779696,1.72,0.783136
1.21,0,0,1.21,0.782652,1.72,0.786141
1.22,0,0,1.22,0.785532,1.72,0.789068
1.23,0,0,1.23,0.788336,1.72,0.791916
1.24,0,0,1.24,0.791065,1.72,0.794685
1.25,0,0,1.25,0.793717,1.72,0.797374
1.26,0,0,1.26,0.796291,1.72,0.799984
1.27,0,0,1.27,0.798789,1.72,0.802513
1.28,0,0,1.28,0.80121,1.72,0.804962
1.29,0,0,1.29,0.803553,1.72,0.807331
1.3,0,0,1.3,0.805819,1.72,0.809619
1.31,0,0,1.31,0.808007,1.72,0.811826
1.32,0,0,1.32,0.810117,1.72,0.813952
1.33,0,0,1.33,0.812148,1.72,0.815997
1.34,0,0,1.34,0.8141,1.72,0.81796
1.35,0,0,1.35,0.815975,1.72,0.819841
1.36,0,0,1.36,0.81777,1.72,0.82164
1.37,0,0,1.37,0.819486,1.72,0.823357
1.38,0,0,1.38,0.821122,1.72,0.824992
1.39,0,0,1.39,0.822679,1.72,0.826544
1.4,0,0,1.4,0.824157,1.72,0.828013
1.41,0,0,1.41,0.825555,1.72,0.8294
1.42,0,0,1.42,0.826872,1.72,0.830704
1.43,0,0,1.43,0.82811,1.72,0.831925
1.44,0,0,1.44,0.829267,1.72,0.833062
1.45,0,0,1.45,0.830343,1.72,0.834116
1.46,0,0,1.46,0.831339,1.72,0.835087
1.47,0,0,1.47,0.832254,1.72,0.835974
1.48,0,0,1.48,0.833088,1.72,0.836778
1.49,0,0,1.49,0.83384,1.72,0.837498
1.5,0,0,1.5,0.834512,1.72,0.838134
1.51,0,0,1.51,0.835102,1.72,0.838687
1.52,0,0,1.52,0.83561,1.72,0.839155
1.53,0,0,1.53,0.836037,1.72,0.83954
1.54,0,0,1.54,0.836382,1.72,0.839841
1.55,0,0,1.55,0.836646,1.72,0.840057
1.56,0,0,1.56,0.836826,1.72,0.84019
1.57,0,0,1.57,0.836926,1.72,0.840239
1.58,0,0,1.58,0.836942,1.72,0.840203
1.59,0,0,1.59,0.836878,1.72,0.840084
1.6,0,0,1.6,0.83673,1.72,0.839881
1.61,0,0,1.61,0.8365,1.72,0.839593
1.62,0,0,1.62,0.836187,1.72,0.839222
1.63,0,0,1.63,0.835792,1.72,0.838767
1.64,0,0,1.64,0.835315,1.72,0.838228
1.65,0,0,1.65,0.834755,1.72,0.837605
1.66,0,0,1.66,0.834112,1.72,0.836898
1.67,0,0,1.67,0.833387,1.72,0.836108
1.68,0,0,1.68,0.832579,1.72,0.835234
1.69,0,0,1.69,0.831688,1.72,0.834276
1.7,0,0,1.7,0.830715,1.72,0.833236
1.71,0,0,1.71,0.829659,1.72,0.832111
1.72,0,0,1.72,0.82852,1.72,0.830904
1.73,0,0,1.73,0.827299,1.72,0.829613
1.74,0,0,1.74,0.825996,1.72,0.82824
1.75,0,0,1.75,0.82461,1.72,0.826783
1.76,0,0,1.76,0.823141,1.72,0.825244
1.77,0,0,1.77,0.82159,1.72,0.823623
1.78,0,0,1.78,0.819956,1.72,0.821919
1.79,0,0,1.79,0.81824,1.72,0.820133
1.8,0,0,1.8,0.816443,1.72,0.818265
1.81,0,0,1.81,0.814563,1.72,0.816315
1.82,0,0,1.82,0.812602,1.72,0.814283
1.83,0,0,1.83,0.810558,1.72,0.81217
1.84,0,0,1.84,0.808433,1.72,0.809976
1.85,0,0,1.85,0.806226,1.72,0.807701
1.86,0,0,1.86,0.803938,1.72,0.805345
1.87,0,0,1.87,0.801569,1.72,0.802909
1.88,0,0,1.88,0.799119,1.72,0.800392
1.89,0,0,1.89,0.796589,1.72,0.797795
1.9,0,0,1.9,0.793977,1.72,0.795118
1.91,0,0,1.91,0.791284,1.72,0.792362
1.92,0,0,1.92,0.788512,1.72,0.789527
1.93,0,0,1.93,0.78566,1.72,0.786613
1.94,0,0,1.94,0.782728,1.72,0.78362
1.95,0,0,1.95,0.779716,1.72,0.780548
1.96,0,0,1.96,0.776625,1.72,0.777399
1.97,0,0,1.97,0.773455,1.72,0.774172
1.98,0,0,1.98,0.770206,1.72,0.770867
1.99,0,0,1.99,0.766879,1.72,0.767486
2,0,0,2,0.763475,1.72,0.764027
2.01,0,0,2.01,0.759991,1.72,0.760492
2.02,0,0,2.02,0.756431,1.72,0.756882
2.03,0,0,2.03,0.752793,1.72,0.753195
2.04,0,0,2.04,0.749078,1.72,0.749433
2.05,0,0,2.05,0.745287,1.72,0.745597
2.06,0,0,2.06,0.74142,1.72,0.741685
2.07,0,0,2.07,0.737476,1.72,0.7377
2.08,0,0,2.08,0.733458,1.72,0.73364
2.09,0,0,2.09,0.729365,1.72,0.729508
2.1,0,0,2.1,0.725196,1.72,0.725302
2.11,0,0,2.11,0.720954,1.72,0.721024
2.12,0,0,2.12,0.716638,1.72,0.716674
2.13,0,0,2.13,0.712247,1.72,0.712252
2.14,0,0,2.14,0.707785,1.72,0.707759
2.15,0,0,2.15,0.70325,1.72,0.703195
2.16,0,0,2.16,0.698642,1.72,0.698561
2.17,0,0,2.17,0.693963,1.72,0.693857
2.18,0,0,2.18,0.689213,1.72,0.689083
2.19,0,0,2.19,0.684392,1.72,0.684241
2.2,0,0,2.2,0.679501,1.72,0.67933
2.21,0,0,2.21,0.67454,1.72,0.674352
2.22,0,0,2.22,0.669509,1.72,0.669305
2.23,0,0,2.23,0.664411,1.72,0.664192
2.24,0,0,2.24,0.659244,1.72,0.659013
2.25,0,0,2.25,0.654009,1.72,0.653767
2.26,0,0,2.26,0.648707,1.72,0.648457
2.27,0,0,2.27,0.643338,1.72,0.643081
2.28,0,0,2.28,0.637904,1.72,0.637641
2.29,0,0,2.29,0.632405,1.72,0.632138
2.3,0,0,2.3,0.626839,1.72,0.626571
2.31,0,0,2.31,0.62121,1.72,0.620941
2.32,0,0,2.32,0.615518,1.72,0.615249
2.33,0,0,2.33,0.609761,1.72,0.609496
2.34,0,0,2.34,0.603942,1.72,0.603682
2.35,0,0,2.35,0.598062,1.72,0.597808
2.36,0,0,2.36,0.592119,1.72,0.591873
2.37,0,0,2.37,0.586116,1.72,0.58588
2.38,0,0,2.38,0.580053,1.72,0.579828
2.39,0,0,2.39,0.573931,1.72,0.573718
2.4,0,0,2.4,0.56775,1.72,0.567551
2.41,0,0,2.41,0.561509,1.72,0.561326
2.42,0,0,2.42,0.555213,1.72,0.555046
2.43,0,0,2.43,0.548859,1.72,0.54871
2.44,0,0,2.44,0.542449,1.72,0.54232
2.45,0,0,2.45,0.535983,1.72,0.535875
2.46,0,0,2.46,0.529462,1.72,0.529376
2.47,0,0,2.47,0.522887,1.72,0.522825
2.48,0,0,2.48,0.51626,1.72,0.516221
2.49,0,0,2.49,0.509578,1.72,0.509566
2.5,0,0,2.5,0.502845,1.72,0.50286
2.51,0,0,2.51,0.496061,1.72,0.496103
2.52,0,0,2.52,0.489226,1.72,0.489297
2.53,0,0,2.53,0.482341,1.72,0.482442
2.54,0,0,2.54,0.475406,1.72,0.475539
2.55,0,0,2.55,0.468424,1.72,0.468588
2.56,0,0,2.56,0.461393,1.72,0.46159
2.57,0,0,2.57,0.454316,1.72,0.454546
2.58,0,0,2.58,0.447192,1.72,0.447457
2.59,0,0,2.59,0.440023,1.72,0.440323
2.6,0,0,2.6,0.432809,1.72,0.433144
2.61,0,0,2.61,0.425552,1.72,0.425923
2.62,0,0,2.62,0.41825,1.72,0.418659
2.63,0,0,2.63,0.410908,1.72,0.411353
2.64,0,0,2.64,0.403522,1.72,0.404006
2.65,0,0,2.65,0.396097,1.72,0.396619
2.66,0,0,2.66,0.38863,1.72,0.389191
2.67,0,0,2.67,0.381125,1.72,0.381725
2.68,0,0,2.68,0.373582,1.72,0.374221
2.69,0,0,2.69,0.366,1.72,0.36668
2.7,0,0,2.7,0.358383,1.72,0.359101
2.71,0,0,2.71,0.350728,1.72,0.351487
2.72,0,0,2.72,0.343039,1.72,0.343838
2.73,0,0,2.73,0.335315,1.72,0.336154
2.74,0,0,2.74,0.327557,1.72,0.328437
2.75,0,0,2.75,0.319767,1.72,0.320686
2.76,0,0,2.76,0.311945,1.72,0.312904
2.77,0,0,2.77,0.304091,1.72,0.305091
2.78,0,0,2.78,0.296207,1.72,0.297247
2.79,0,0,2.79,0.288294,1.72,0.289373
2.8,0,0,2.8,0.280351,1.72,0.28147
2.81,0,0,2.81,0.272381,1.72,0.273539
2.82,0,0,2.82,0.264384,1.72,0.265581
2.83,0,0,2.83,0.256361,1.72,0.257596
2.84,0,0,2.84,0.248313,1.72,0.249586
2.85,0,0,2.85,0.24024,1.72,0.24155
2.86,0,0,2.86,0.232143,1.72,0.233491
2.87,0,0,2.87,0.224023,1.72,0.225408
2.88,0,0,2.88,0.215881,1.72,0.217302
2.89,0,0,2.89,0.207718,1.72,0.209175
2.9,0,0,2.9,0.199536,1.72,0.201027
2.91,0,0,2.91,0.191333,1.72,0.192858
2.92,0,0,2.92,0.183112,1.72,0.184671
2.93,0,0,2.93,0.174873,1.72,0.176465
2.94,0,0,2.94,0.166616,1.72,0.168241
2.95,0,0,2.95,0.158345,1.72,0.160001
2.96,0,0,2.96,0.150058,1.72,0.151744
2.97,0,0,2.97,0.141756,1.72,0.143472
2.98,0,0,2.98,0.133441,1.72,0.135186
2.99,0,0,2.99,0.125114,1.72,0.126887
3,0,0,3,0.116774,1.72,0.118575
3.01,0,0,3.01,0.108423,1.72,0.11025
3.02,0,0,3.02,0.100063,1.72,0.101915
3.03,0,0,3.03,0.0916928,1.72,0.09357
3.04,0,0,3.04,0.0833144,1.72,0.0852154
3.05,0,0,3.05,0.074928,1.72,0.0768522
3.06,0,0,3.06,0.066536,1.72,0.0684813
3.07,0,0,3.07,0.0581378,1.72,0.0601036
3.08,0,0,3.08,0.0497343,1.72,0.0517198
3.09,0,0,3.09,0.0413259,1.72,0.0433309
3.1,0,0,3.1,0.0329155,1.72,0.0349377
3.11,0,0,3.11,0.0245022,1.72,0.026541
3.12,0,0,3.12,0.0160867,1.72,0.0181416
3.13,0,0,3.13,0.00767047,1.72,0.00974038
3.14,0,0,3.14,-0.000745148,1.72,0.00133821
3.15,0,0,3.15,-0.00916082,1.72,-0.0070641
3.16,0,0,3.16,-0.0175746,1.72,-0.0154657
3.17,0,0,3.17,-0.0259852,1.72,-0.0238658
3.18,0,0,3.18,-0.0343932,1.72,-0.0322634
3.19,0,0,3.19,-0.0427957,1.72,-0.0406579
3.2,0,0,3.2,-0.0511946,1.72,-0.0490482
3.21,0,0,3.21,-0.0595862,1.72,-0.0574337
3.22,0,0,3.22,-0.067972,1.72,-0.0658134
3.23,0,0,3.23,-0.0763504,1.72,-0.0741866
3.24,0,0,3.24,-0.0847198,1.72,-0.0825523
3.25,0,0,3.25,-0.0930801,1.72,-0.0909098
3.26,0,0,3.26,-0.101431,1.72,-0.0992582
3.27,0,0,3.27,-0.10977,1.72,-0.107597
3.28,0,0,3.28,-0.118098,1.72,-0.115924
3.29,0,0,3.29,-0.126413,1.72,-0.12424
3.3,0,0,3.3,-0.134716,1.72,-0.132544
3.31,0,0,3.31,-0.143004,1.72,-0.140835
3.32,0,0,3.32,-0.151277,1.72,-0.149111
3.33,0,0,3.33,-0.159535,1.72,-0.157372
3.34,0,0,3.34,-0.167775,1.72,-0.165618
3.35,0,0,3.35,-0.175999,1.72,-0.173847
3.36,0,0,3.36,-0.184204,1.72,-0.182059
3.37,0,0,3.37,-0.192391,1.72,-0.190252
3.38,0,0,3.38,-0.200557,1.72,-0.198427
3.39,0,0,3.39,-0.208703,1.72,-0.206582
3.4,0,0,3.4,-0.216828,1.72,-0.214716
3.41,0,0,3.41,-0.224931,1.72,-0.222828
3.42,0,0,3.42,-0.23301,1.72,-0.230918
3.43,0,0,3.43,-0.241066,1.72,-0.238986
3.44,0,0,3.44,-0.249097,1.72,-0.247029
3.45,0,0,3.45,-0.257103,1.72,-0.255047
3.46,0,0,3.46,-0.265083,1.72,-0.263041
3.47,0,0,3.47,-0.273036,1.72,-0.271007
3.48,0,0,3.48,-0.280962,1.72,-0.278947
3.49,0,0,3.49,-0.288858,1.72,-0.286859
3.5,0,0,3.5,-0.296727,1.72,-0.294742
3.51,0,0,3.51,-0.304565,1.72,-0.302595
3.52,0,0,3.52,-0.312372,1.72,-0.310419
3.53,0,0,3.53,-0.320148,1.72,-0.318211
3.54,0,0,3.54,-0.327891,1.72,-0.325972
3.55,0,0,3.55,-0.335602,1.72,-0.333699
3.56,0,0,3.56,-0.343278,1.72,-0.341394
3.57,0,0,3.57,-0.350921,1.72,-0.349054
3.58,0,0,3.58,-0.358528,1.72,-0.35668
3.59,0,0,3.59,-0.366099,1.72,-0.36427
3.6,0,0,3.6,-0.373635,1.72,-0.371823
3.61,0,0,3.61,-0.381131,1.72,-0.379339
3.62,0,0,3.62,-0.38859,1.72,-0.386817
3.63,0,0,3.63,-0.39601,1.72,-0.394257
3.64,0,0,3.64,-0.403391,1.72,-0.401657
3.65,0,0,3.65,-0.410732,1.72,-0.409017
3.66,0,0,3.66,-0.418031,1.72,-0.416336
3.67,0,0,3.67,-0.425289,1.72,-0.423614
3.68,0,0,3.68,-0.432504,1.72,-0.430849
3.69,0,0,3.69,-0.439676,1.72,-0.438041
3.7,0,0,3.7,-0.446804,1.72,-0.445189
3.71,0,0,3.71,-0.453887,1.72,-0.452293
3.72,0,0,3.72,-0.460926,1.72,-0.459351
3.73,0,0,3.73,-0.467919,1.72,-0.466364
3.74,0,0,3.74,-0.474864,1.72,-0.47333
3.75,0,0,3.75,-0.481763,1.72,-0.480248
3.76,0,0,3.76,-0.488613,1.72,-0.487119
3.77,0,0,3.77,-0.495416,1.72,-0.493941
3.78,0,0,3.78,-0.502168,1.72,-0.500713
3.79,0,0,3.79,-0.508872,1.72,-0.507435
3.8,0,0,3.8,-0.515524,1.72,-0.514107
3.81,0,0,3.81,-0.522126,1.72,-0.520727
3.82,0,0,3.82,-0.528675,1.72,-0.527295
3.83,0,0,3.83,-0.535172,1.72,-0.533811
3.84,0,0,3.84,-0.541615,1.72,-0.540273
