Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00340371,9.21,-0
0.01,0,0,0.01,-0.0112129,9.21,-0.00763881
0.02,0,0,0.02,-0.0190114,9.21,-0.0152768
0.03,0,0,0.03,-0.0268007,9.21,-0.0229134
0.04,0,0,0.04,-0.0345773,9.21,-0.0305476
0.05,0,0,0.05,-0.0423413,9.21,-0.0381787
0.06,0,0,0.06,-0.050094,9.21,-0.0458061
0.07,0,0,0.07,-0.0578347,9.21,-0.0534289
0.08,0,0,0.08,-0.0655618,9.21,-0.0610463
0.09,0,0,0.09,-0.0732739,9.21,-0.0686576
0.1,0,0,0.1,-0.0809724,9.21,-0.0762621
0.11,0,0,0.11,-0.0886558,9.21,-0.0838589
0.12,0,0,0.12,-0.0963235,9.21,-0.0914473
0.13,0,0,0.13,-0.103976,9.21,-0.0990266
0.14,0,0,0.14,-0.111612,9.21,-0.106596
0.15,0,0,0.15,-0.119229,9.21,-0.114155
0.16,0,0,0.16,-0.126831,9.21,-0.121702
0.17,0,0,0.17,-0.134413,9.21,-0.129237
0.18,0,0,0.18,-0.141977,9.21,-0.136759
0.19,0,0,0.19,-0.149521,9.21,-0.144268
0.2,0,0,0.2,-0.157047,9.21,-0.151762
0.21,0,0,0.21,-0.164552,9.21,-0.159241
0.22,0,0,0.22,-0.172036,9.21,-0.166704
0.23,0,0,0.23,-0.179498,9.21,-0.17415
0.24,0,0,0.24,-0.186938,9.21,-0.181579
0.25,0,0,0.25,-0.194356,9.21,-0.18899
0.26,0,0,0.26,-0.20175,9.21,-0.196382
0.27,0,0,0.27,-0.209121,9.21,-0.203754
0.28,0,0,0.28,-0.216468,9.21,-0.211106
0.29,0,0,0.29,-0.223789,9.21,-0.218437
0.3,0,0,0.3,-0.231086,9.21,-0.225746
0.31,0,0,0.31,-0.238356,9.21,-0.233032
0.32,0,0,0.32,-0.2456,9.21,-0.240295
0.33,0,0,0.33,-0.252816,9.21,-0.247534
0.34,0,0,0.34,-0.260006,9.21,-0.254749
0.35,0,0,0.35,-0.267166,9.21,-0.261937
0.36,0,0,0.36,-0.274298,9.21,-0.2691
0.37,0,0,0.37,-0.281401,9.21,-0.276236
0.38,0,0,0.38,-0.288474,9.21,-0.283344
0.39,0,0,0.39,-0.295517,9.21,-0.290423
0.4,0,0,0.4,-0.302527,9.21,-0.297474
0.41,0,0,0.41,-0.309507,9.21,-0.304495
0.42,0,0,0.42,-0.316454,9.21,-0.311485
0.43,0,0,0.43,-0.323369,9.21,-0.318445
0.44,0,0,0.44,-0.330251,9.21,-0.325372
0.45,0,0,0.45,-0.337098,9.21,-0.332267
0.46,0,0,0.46,-0.343911,9.21,-0.339129
0.47,0,0,0.47,-0.35069,9.21,-0.345957
0.48,0,0,0.48,-0.357433,9.21,-0.35275
0.49,0,0,0.49,-0.364139,9.21,-0.359508
0.5,0,0,0.5,-0.37081,9.21,-0.36623
0.51,0,0,0.51,-0.377443,9.21,-0.372915
0.52,0,0,0.52,-0.384038,9.21,-0.379563
0.53,0,0,0.53,-0.390595,9.21,-0.386174
0.54,0,0,0.54,-0.397114,9.21,-0.392745
0.55,0,0,0.55,-0.403592,9.21,-0.399277
0.56,0,0,0.56,-0.410031,9.21,-0.40577
0.57,0,0,0.57,-0.416431,9.21,-0.412221
0.58,0,0,0.58,-0.422788,9.21,-0.418632
0.59,0,0,0.59,-0.429105,9.21,-0.425
0.6,0,0,0.6,-0.435379,9.21,-0.431327
0.61,0,0,0.61,-0.441612,9.21,-0.43761
0.62,0,0,0.62,-0.447799,9.21,-0.443849
0.63,0,0,0.63,-0.453944,9.21,-0.450044
0.64,0,0,0.64,-0.460046,9.21,-0.456194
0.65,0,0,0.65,-0.466102,9.21,-0.462298
0.66,0,0,0.66,-0.472112,9.21,-0.468356
0.67,0,0,0.67,-0.478078,9.21,-0.474367
0.68,0,0,0.68,-0.483997,9.21,-0.480331
0.69,0,0,0.69,-0.489868,9.21,-0.486246
0.7,0,0,0.7,-0.495692,9.21,-0.492114
0.71,0,0,0.71,-0.501469,9.21,-0.497931
0.72,0,0,0.72,-0.507196,9.21,-0.503699
0.73,0,0,0.73,-0.512877,9.21,-0.509417
0.74,0,0,0.74,-0.518505,9.21,-0.515084
0.75,0,0,0.75,-0.524084,9.21,-0.520699
0.76,0,0,0.76,-0.529613,9.21,-0.526262
0.77,0,0,0.77,-0.535091,9.21,-0.531773
0.78,0,0,0.78,-0.540517,9.21,-0.53723
0.79,0,0,0.79,-0.545891,9.21,-0.542634
0.8,0,0,0.8,-0.551212,9.21,-0.547983
0.81,0,0,0.81,-0.556479,9.21,-0.553278
0.82,0,0,0.82,-0.561693,9.21,-0.558517
0.83,0,0,0.83,-0.566855,9.21,-0.563701
0.84,0,0,0.84,-0.571959,9.21,-0.568828
0.85,0,0,0.85,-0.577009,9.21,-0.573898
