Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00223054,0.02,0
0.01,0,0,0.01,0.00805928,0.02,0.0101978
0.02,0,0,0.02,0.0183512,0.02,0.0203946
0.03,0,0,0.03,0.0286439,0.02,0.0305894
0.04,0,0,0.04,0.0389359,0.02,0.0407811
0.05,0,0,0.05,0.0492259,0.02,0.0509687
0.06,0,0,0.06,0.0595124,0.02,0.0611512
0.07,0,0,0.07,0.0697941,0.02,0.0713276
0.08,0,0,0.08,0.0800697,0.02,0.0814969
0.09,0,0,0.09,0.0903379,0.02,0.091658
0.1,0,0,0.1,0.100597,0.02,0.10181
0.11,0,0,0.11,0.110847,0.02,0.111952
0.12,0,0,0.12,0.121085,0.02,0.122082
0.13,0,0,0.13,0.13131,0.02,0.132201
0.14,0,0,0.14,0.141522,0.02,0.142306
0.15,0,0,0.15,0.151718,0.02,0.152397
0.16,0,0,0.16,0.161899,0.02,0.162473
0.17,0,0,0.17,0.172061,0.02,0.172532
0.18,0,0,0.18,0.182205,0.02,0.182574
0.19,0,0,0.19,0.192329,0.02,0.192598
0.2,0,0,0.2,0.202432,0.02,0.202603
0.21,0,0,0.21,0.212512,0.02,0.212587
0.22,0,0,0.22,0.222569,0.02,0.22255
0.23,0,0,0.23,0.232601,0.02,0.232491
0.24,0,0,0.24,0.242608,0.02,0.242409
0.25,0,0,0.25,0.252588,0.02,0.252302
0.26,0,0,0.26,0.262539,0.02,0.26217
0.27,0,0,0.27,0.272462,0.02,0.272012
0.28,0,0,0.28,0.282354,0.02,0.281827
0.29,0,0,0.29,0.292216,0.02,0.291614
0.3,0,0,0.3,0.302044,0.02,0.301371
0.31,0,0,0.31,0.31184,0.02,0.311098
0.32,0,0,0.32,0.321601,0.02,0.320795
0.33,0,0,0.33,0.331327,0.02,0.330459
0.34,0,0,0.34,0.341016,0.02,0.34009
0.35,0,0,0.35,0.350667,0.02,0.349687
0.36,0,0,0.36,0.360281,0.02,0.359249
0.37,0,0,0.37,0.369854,0.02,0.368775
0.38,0,0,0.38,0.379388,0.02,0.378264
0.39,0,0,0.39,0.38888,0.02,0.387716
0.4,0,0,0.4,0.398329,0.02,0.397128
0.41,0,0,0.41,0.407736,0.02,0.406501
0.42,0,0,0.42,0.417098,0.02,0.415834
0.43,0,0,0.43,0.426415,0.02,0.425124
0.44,0,0,0.44,0.435686,0.02,0.434373
0.45,0,0,0.45,0.44491,0.02,0.443577
0.46,0,0,0.46,0.454086,0.02,0.452738
0.47,0,0,0.47,0.463214,0.02,0.461853
0.48,0,0,0.48,0.472292,0.02,0.470922
0.49,0,0,0.49,0.481319,0.02,0.479944
0.5,0,0,0.5,0.490296,0.02,0.488918
0.51,0,0,0.51,0.49922,0.02,0.497843
0.52,0,0,0.52,0.508091,0.02,0.506718
0.53,0,0,0.53,0.516909,0.02,0.515542
0.54,0,0,0.54,0.525672,0.02,0.524315
0.55,0,0,0.55,0.534379,0.02,0.533036
0.56,0,0,0.56,0.543031,0.02,0.541703
0.57,0,0,0.57,0.551626,0.02,0.550316
0.58,0,0,0.58,0.560163,0.02,0.558874
0.59,0,0,0.59,0.568641,0.02,0.567376
0.6,0,0,0.6,0.57706,0.02,0.575822
0.61,0,0,0.61,0.58542,0.02,0.58421
0.62,0,0,0.62,0.593718,0.02,0.592539
0.63,0,0,0.63,0.601955,0.02,0.600809
0.64,0,0,0.64,0.61013,0.02,0.609019
0.65,0,0,0.65,0.618243,0.02,0.617168
0.66,0,0,0.66,0.626291,0.02,0.625256
0.67,0,0,0.67,0.634275,0.02,0.633281
0.68,0,0,0.68,0.642195,0.02,0.641242
0.69,0,0,0.69,0.650048,0.02,0.64914
0.7,0,0,0.7,0.657836,0.02,0.656972
0.71,0,0,0.71,0.665556,0.02,0.664739
0.72,0,0,0.72,0.673208,0.02,0.67244
0.73,0,0,0.73,0.680793,0.02,0.680073
0.74,0,0,0.74,0.688308,0.02,0.687638
0.75,0,0,0.75,0.695753,0.02,0.695134
0.76,0,0,0.76,0.703128,0.02,0.702561
0.77,0,0,0.77,0.710433,0.02,0.709918
0.78,0,0,0.78,0.717665,0.02,0.717203
0.79,0,0,0.79,0.724826,0.02,0.724417
0.8,0,0,0.8,0.731914,0.02,0.731559
0.81,0,0,0.81,0.738928,0.02,0.738627
0.82,0,0,0.82,0.745869,0.02,0.745622
0.83,0,0,0.83,0.752734,0.02,0.752541
0.84,0,0,0.84,0.759525,0.02,0.759386
0.85,0,0,0.85,0.76624,0.02,0.766155
0.86,0,0,0.86,0.772878,0.02,0.772847
0.87,0,0,0.87,0.779439,0.02,0.779462
0.88,0,0,0.88,0.785923,0.02,0.785998
0.89,0,0,0.89,0.792329,0.02,0.792457
0.9,0,0,0.9,0.798656,0.02,0.798836
0.91,0,0,0.91,0.804904,0.02,0.805135
0.92,0,0,0.92,0.811072,0.02,0.811354
0.93,0,0,0.93,0.81716,0.02,0.817491
0.94,0,0,0.94,0.823167,0.02,0.823547
0.95,0,0,0.95,0.829093,0.02,0.82952
0.96,0,0,0.96,0.834936,0.02,0.83541
