Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.0023517,9.28,-0
0.01,0,0,0.01,-0.0110533,9.28,-0.00845251
0.02,0,0,0.02,-0.0197434,9.28,-0.0169042
0.03,0,0,0.03,-0.0284211,9.28,-0.0253542
0.04,0,0,0.04,-0.0370854,9.28,-0.0338016
0.05,0,0,0.05,-0.0457365,9.28,-0.0422457
0.06,0,0,0.06,-0.0543729,9.28,-0.0506855
0.07,0,0,0.07,-0.0629942,9.28,-0.0591203
0.08,0,0,0.08,-0.0716005,9.28,-0.0675491
0.09,0,0,0.09,-0.080191,9.28,-0.0759712
0.1,0,0,0.1,-0.088764,9.28,-0.0843857
0.11,0,0,0.11,-0.0973192,9.28,-0.0927918
0.12,0,0,0.12,-0.105859,9.28,-0.101189
0.13,0,0,0.13,-0.114377,9.28,-0.109575
0.14,0,0,0.14,-0.122878,9.28,-0.117951
0.15,0,0,0.15,-0.131359,9.28,-0.126315
0.16,0,0,0.16,-0.13982,9.28,-0.134666
0.17,0,0,0.17,-0.148259,9.28,-0.143004
0.18,0,0,0.18,-0.156677,9.28,-0.151327
0.19,0,0,0.19,-0.165072,9.28,-0.159636
0.2,0,0,0.2,-0.173446,9.28,-0.167928
0.21,0,0,0.21,-0.181795,9.28,-0.176204
0.22,0,0,0.22,-0.19012,9.28,-0.184462
0.23,0,0,0.23,-0.19842,9.28,-0.192701
0.24,0,0,0.24,-0.206695,9.28,-0.200922
0.25,0,0,0.25,-0.214944,9.28,-0.209122
0.26,0,0,0.26,-0.223166,9.28,-0.217301
0.27,0,0,0.27,-0.231361,9.28,-0.225459
0.28,0,0,0.28,-0.239528,9.28,-0.233594
0.29,0,0,0.29,-0.247665,9.28,-0.241705
0.3,0,0,0.3,-0.255774,9.28,-0.249793
0.31,0,0,0.31,-0.263854,9.28,-0.257855
0.32,0,0,0.32,-0.271903,9.28,-0.265892
0.33,0,0,0.33,-0.279918,9.28,-0.273902
0.34,0,0,0.34,-0.287905,9.28,-0.281885
0.35,0,0,0.35,-0.295857,9.28,-0.28984
0.36,0,0,0.36,-0.303777,9.28,-0.297765
0.37,0,0,0.37,-0.311663,9.28,-0.305661
0.38,0,0,0.38,-0.319514,9.28,-0.313526
0.39,0,0,0.39,-0.327331,9.28,-0.32136
0.4,0,0,0.4,-0.335113,9.28,-0.329162
0.41,0,0,0.41,-0.342858,9.28,-0.336931
0.42,0,0,0.42,-0.350565,9.28,-0.344666
0.43,0,0,0.43,-0.358236,9.28,-0.352366
0.44,0,0,0.44,-0.365868,9.28,-0.360032
0.45,0,0,0.45,-0.373462,9.28,-0.367661
0.46,0,0,0.46,-0.381016,9.28,-0.375254
0.47,0,0,0.47,-0.38853,9.28,-0.382809
0.48,0,0,0.48,-0.396005,9.28,-0.390326
0.49,0,0,0.49,-0.403436,9.28,-0.397804
0.5,0,0,0.5,-0.410828,9.28,-0.405242
0.51,0,0,0.51,-0.418177,9.28,-0.412639
0.52,0,0,0.52,-0.425483,9.28,-0.419996
0.53,0,0,0.53,-0.432746,9.28,-0.42731
0.54,0,0,0.54,-0.439964,9.28,-0.434581
0.55,0,0,0.55,-0.447137,9.28,-0.441809
0.56,0,0,0.56,-0.454265,9.28,-0.448993
0.57,0,0,0.57,-0.461348,9.28,-0.456132
0.58,0,0,0.58,-0.468385,9.28,-0.463226
0.59,0,0,0.59,-0.475373,9.28,-0.470273
0.6,0,0,0.6,-0.482315,9.28,-0.477273
0.61,0,0,0.61,-0.489208,9.28,-0.484225
0.62,0,0,0.62,-0.496053,9.28,-0.491129
0.63,0,0,0.63,-0.502848,9.28,-0.497984
0.64,0,0,0.64,-0.509593,9.28,-0.504789
0.65,0,0,0.65,-0.516289,9.28,-0.511543
