Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00366847,2.53,-0
0.01,0,0,0.01,-0.00615026,2.53,-0.00244558
0.02,0,0,0.02,-0.0086298,2.53,-0.00489092
0.03,0,0,0.03,-0.0111065,2.53,-0.00733577
0.04,0,0,0.04,-0.0135806,2.53,-0.00977989
0.05,0,0,0.05,-0.0160515,2.53,-0.012223
0.06,0,0,0.06,-0.018519,2.53,-0.0146649
0.07,0,0,0.07,-0.0209826,2.53,-0.0171054
0.08,0,0,0.08,-0.0234425,2.53,-0.0195441
0.09,0,0,0.09,-0.0258984,2.53,-0.0219809
0.1,0,0,0.1,-0.0283498,2.53,-0.0244155
0.11,0,0,0.11,-0.0307957,2.53,-0.0268477
0.12,0,0,0.12,-0.0332366,2.53,-0.0292771
0.13,0,0,0.13,-0.0356726,2.53,-0.0317036
0.14,0,0,0.14,-0.0381035,2.53,-0.034127
0.15,0,0,0.15,-0.0405276,2.53,-0.036547
0.16,0,0,0.16,-0.0429457,2.53,-0.0389633
0.17,0,0,0.17,-0.045357,2.53,-0.0413756
0.18,0,0,0.18,-0.0477621,2.53,-0.0437839
0.19,0,0,0.19,-0.0501602,2.53,-0.0461878
0.2,0,0,0.2,-0.052551,2.53,-0.0485871
0.21,0,0,0.21,-0.0549343,2.53,-0.0509815
0.22,0,0,0.22,-0.0573095,2.53,-0.0533708
0.23,0,0,0.23,-0.0596772,2.53,-0.0557547
0.24,0,0,0.24,-0.0620361,2.53,-0.0581331
0.25,0,0,0.25,-0.0643868,2.53,-0.0605057
0.26,0,0,0.26,-0.0667287,2.53,-0.0628723
0.27,0,0,0.27,-0.0690623,2.53,-0.0652325
0.28,0,0,0.28,-0.0713857,2.53,-0.0675862
0.29,0,0,0.29,-0.0737002,2.53,-0.0699332
0.3,0,0,0.3,-0.0760055,2.53,-0.0722731
0.31,0,0,0.31,-0.0783004,2.53,-0.0746059
0.32,0,0,0.32,-0.0805858,2.53,-0.0769312
0.33,0,0,0.33,-0.0828609,2.53,-0.0792488
0.34,0,0,0.34,-0.0851261,2.53,-0.0815584
0.35,0,0,0.35,-0.0873805,2.53,-0.0838599
0.36,0,0,0.36,-0.0896242,2.53,-0.0861531
0.37,0,0,0.37,-0.0918568,2.53,-0.0884376
0.38,0,0,0.38,-0.0940789,2.53,-0.0907132
0.39,0,0,0.39,-0.0962896,2.53,-0.0929798
0.4,0,0,0.4,-0.0984896,2.53,-0.0952371
0.41,0,0,0.41,-0.100677,2.53,-0.0974849
0.42,0,0,0.42,-0.102854,2.53,-0.0997229
0.43,0,0,0.43,-0.105018,2.53,-0.101951
0.44,0,0,0.44,-0.107172,2.53,-0.104169
0.45,0,0,0.45,-0.109313,2.53,-0.106376
0.46,0,0,0.46,-0.111442,2.53,-0.108573
0.47,0,0,0.47,-0.113558,2.53,-0.110759
0.48,0,0,0.48,-0.115662,2.53,-0.112934
0.49,0,0,0.49,-0.117754,2.53,-0.115097
0.5,0,0,0.5,-0.119832,2.53,-0.117249
0.51,0,0,0.51,-0.121899,2.53,-0.11939
0.52,0,0,0.52,-0.123952,2.53,-0.121518
0.53,0,0,0.53,-0.125992,2.53,-0.123634
0.54,0,0,0.54,-0.128019,2.53,-0.125738
0.55,0,0,0.55,-0.130033,2.53,-0.12783
0.56,0,0,0.56,-0.132034,2.53,-0.129908
0.57,0,0,0.57,-0.13402,2.53,-0.131974
0.58,0,0,0.58,-0.135994,2.53,-0.134026
0.59,0,0,0.59,-0.137953,2.53,-0.136065
0.6,0,0,0.6,-0.139899,2.53,-0.13809
0.61,0,0,0.61,-0.14183,2.53,-0.140102
0.62,0,0,0.62,-0.143747,2.53,-0.142099
0.63,0,0,0.63,-0.14565,2.53,-0.144083
0.64,0,0,0.64,-0.14754,2.53,-0.146052
0.65,0,0,0.65,-0.149413,2.53,-0.148006
0.66,0,0,0.66,-0.151273,2.53,-0.149945
0.67,0,0,0.67,-0.153117,2.53,-0.15187
0.68,0,0,0.68,-0.154948,2.53,-0.153779
0.69,0,0,0.69,-0.156762,2.53,-0.155673
0.7,0,0,0.7,-0.158562,2.53,-0.157551
0.71,0,0,0.71,-0.160347,2.53,-0.159414
0.72,0,0,0.72,-0.162116,2.53,-0.161261
0.73,0,0,0.73,-0.16387,2.53,-0.163091
0.74,0,0,0.74,-0.165608,2.53,-0.164906
0.75,0,0,0.75,-0.167331,2.53,-0.166703
0.76,0,0,0.76,-0.169037,2.53,-0.168484
0.77,0,0,0.77,-0.170728,2.53,-0.170249
