Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,0.00130281,3.63,-0
0.01,0,0,0.01,-0.0121924,3.63,-0.0135228
0.02,0,0,0.02,-0.0256889,3.63,-0.0270442
0.03,0,0,0.03,-0.0391854,3.63,-0.040563
0.04,0,0,0.04,-0.052679,3.63,-0.0540776
0.05,0,0,0.05,-0.0661689,3.63,-0.0675869
0.06,0,0,0.06,-0.0796544,3.63,-0.0810894
0.07,0,0,0.07,-0.0931339,3.63,-0.0945838
0.08,0,0,0.08,-0.106605,3.63,-0.108069
0.09,0,0,0.09,-0.120068,3.63,-0.121543
0.1,0,0,0.1,-0.133521,3.63,-0.135005
0.11,0,0,0.11,-0.146963,3.63,-0.148453
0.12,0,0,0.12,-0.160392,3.63,-0.161887
0.13,0,0,0.13,-0.173807,3.63,-0.175304
0.14,0,0,0.14,-0.187207,3.63,-0.188704
0.15,0,0,0.15,-0.20059,3.63,-0.202085
0.16,0,0,0.16,-0.213955,3.63,-0.215446
0.17,0,0,0.17,-0.227301,3.63,-0.228786
0.18,0,0,0.18,-0.240627,3.63,-0.242102
0.19,0,0,0.19,-0.253931,3.63,-0.255394
0.2,0,0,0.2,-0.267212,3.63,-0.268661
0.21,0,0,0.21,-0.280468,3.63,-0.281901
0.22,0,0,0.22,-0.293699,3.63,-0.295112
0.23,0,0,0.23,-0.306903,3.63,-0.308294
0.24,0,0,0.24,-0.320077,3.63,-0.321446
0.25,0,0,0.25,-0.333224,3.63,-0.334565
0.26,0,0,0.26,-0.346338,3.63,-0.34765
0.27,0,0,0.27,-0.35942,3.63,-0.360701
0.28,0,0,0.28,-0.372469,3.63,-0.373716
0.29,0,0,0.29,-0.385482,3.63,-0.386694
0.3,0,0,0.3,-0.398459,3.63,-0.399632
0.31,0,0,0.31,-0.411398,3.63,-0.412531
0.32,0,0,0.32,-0.424299,3.63,-0.425389
0.33,0,0,0.33,-0.437158,3.63,-0.438204
0.34,0,0,0.34,-0.449976,3.63,-0.450975
0.35,0,0,0.35,-0.462752,3.63,-0.463701
0.36,0,0,0.36,-0.475482,3.63,-0.476381
0.37,0,0,0.37,-0.488166,3.63,-0.489013
0.38,0,0,0.38,-0.500805,3.63,-0.501596
0.39,0,0,0.39,-0.513394,3.63,-0.514129
0.4,0,0,0.4,-0.525934,3.63,-0.526611
0.41,0,0,0.41,-0.538423,3.63,-0.53904
0.42,0,0,0.42,-0.550859,3.63,-0.551415
0.43,0,0,0.43,-0.563242,3.63,-0.563735
0.44,0,0,0.44,-0.57557,3.63,-0.575998
0.45,0,0,0.45,-0.587843,3.63,-0.588204
0.46,0,0,0.46,-0.600057,3.63,-0.600352
0.47,0,0,0.47,-0.612213,3.63,-0.612439
0.48,0,0,0.48,-0.624308,3.63,-0.624465
0.49,0,0,0.49,-0.636344,3.63,-0.636428
0.5,0,0,0.5,-0.648315,3.63,-0.648328
0.51,0,0,0.51,-0.660224,3.63,-0.660163
0.52,0,0,0.52,-0.672068,3.63,-0.671932
0.53,0,0,0.53,-0.683845,3.63,-0.683633
0.54,0,0,0.54,-0.695554,3.63,-0.695267
0.55,0,0,0.55,-0.707197,3.63,-0.706831
0.56,0,0,0.56,-0.718768,3.63,-0.718324
0.57,0,0,0.57,-0.730269,3.63,-0.729745
