Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00215871,9.29,-0
0.01,0,0,0.01,-0.0109867,9.29,-0.00856547
0.02,0,0,0.02,-0.0198017,9.29,-0.0171301
0.03,0,0,0.03,-0.0286033,9.29,-0.025693
0.04,0,0,0.04,-0.0373921,9.29,-0.0342533
0.05,0,0,0.05,-0.0461671,9.29,-0.0428102
0.06,0,0,0.06,-0.0549271,9.29,-0.0513628
0.07,0,0,0.07,-0.0636724,9.29,-0.0599103
0.08,0,0,0.08,-0.0724011,9.29,-0.0684518
0.09,0,0,0.09,-0.081114,9.29,-0.0769865
0.1,0,0,0.1,-0.0898106,9.29,-0.0855134
0.11,0,0,0.11,-0.0984882,9.29,-0.0940318
0.12,0,0,0.12,-0.107148,9.29,-0.102541
0.13,0,0,0.13,-0.115789,9.29,-0.11104
0.14,0,0,0.14,-0.124411,9.29,-0.119527
0.15,0,0,0.15,-0.133013,9.29,-0.128003
0.16,0,0,0.16,-0.141594,9.29,-0.136466
0.17,0,0,0.17,-0.150154,9.29,-0.144915
0.18,0,0,0.18,-0.15869,9.29,-0.15335
0.19,0,0,0.19,-0.167206,9.29,-0.161769
0.2,0,0,0.2,-0.175697,9.29,-0.170172
0.21,0,0,0.21,-0.184164,9.29,-0.178559
0.22,0,0,0.22,-0.192607,9.29,-0.186927
0.23,0,0,0.23,-0.201025,9.29,-0.195277
0.24,0,0,0.24,-0.209417,9.29,-0.203607
0.25,0,0,0.25,-0.217782,9.29,-0.211917
0.26,0,0,0.26,-0.22612,9.29,-0.220205
0.27,0,0,0.27,-0.23443,9.29,-0.228472
0.28,0,0,0.28,-0.24271,9.29,-0.236715
0.29,0,0,0.29,-0.250963,9.29,-0.244935
0.3,0,0,0.3,-0.259187,9.29,-0.253131
0.31,0,0,0.31,-0.267379,9.29,-0.261301
0.32,0,0,0.32,-0.275539,9.29,-0.269445
0.33,0,0,0.33,-0.283668,9.29,-0.277563
0.34,0,0,0.34,-0.291764,9.29,-0.285652
0.35,0,0,0.35,-0.299828,9.29,-0.293713
0.36,0,0,0.36,-0.307858,9.29,-0.301744
0.37,0,0,0.37,-0.315854,9.29,-0.309746
0.38,0,0,0.38,-0.323814,9.29,-0.317716
0.39,0,0,0.39,-0.33174,9.29,-0.325655
0.4,0,0,0.4,-0.339628,9.29,-0.333561
0.41,0,0,0.41,-0.34748,9.29,-0.341433
0.42,0,0,0.42,-0.355294,9.29,-0.349272
0.43,0,0,0.43,-0.36307,9.29,-0.357075
0.44,0,0,0.44,-0.370806,9.29,-0.364843
0.45,0,0,0.45,-0.378504,9.29,-0.372574
0.46,0,0,0.46,-0.386162,9.29,-0.380269
0.47,0,0,0.47,-0.393779,9.29,-0.387925
0.48,0,0,0.48,-0.401355,9.29,-0.395542
0.49,0,0,0.49,-0.40889,9.29,-0.40312
0.5,0,0,0.5,-0.416381,9.29,-0.410657
0.51,0,0,0.51,-0.42383,9.29,-0.418154
0.52,0,0,0.52,-0.431235,9.29,-0.425608
0.53,0,0,0.53,-0.438596,9.29,-0.43302
0.54,0,0,0.54,-0.445911,9.29,-0.440389
0.55,0,0,0.55,-0.453182,9.29,-0.447713
0.56,0,0,0.56,-0.460407,9.29,-0.454993
0.57,0,0,0.57,-0.467584,9.29,-0.462228
0.58,0,0,0.58,-0.474716,9.29,-0.469416
0.59,0,0,0.59,-0.481797,9.29,-0.476557
0.6,0,0,0.6,-0.488832,9.29,-0.483651
0.61,0,0,0.61,-0.495817,9.29,-0.490696
0.62,0,0,0.62,-0.502754,9.29,-0.497692
0.63,0,0,0.63,-0.509641,9.29,-0.504638
0.64,0,0,0.64,-0.516475,9.29,-0.511534
0.65,0,0,0.65,-0.523261,9.29,-0.518379
0.66,0,0,0.66,-0.529992,9.29,-0.525172
0.67,0,0,0.67,-0.536672,9.29,-0.531912
0.68,0,0,0.68,-0.543299,9.29,-0.538599
0.69,0,0,0.69,-0.549873,9.29,-0.545233
0.7,0,0,0.7,-0.556391,9.29,-0.551812
0.71,0,0,0.71,-0.562856,9.29,-0.558335
