Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00134056,4.33,-0
0.01,0,0,0.01,-0.0142903,4.33,-0.0130089
0.02,0,0,0.02,-0.0272402,4.33,-0.0260165
0.03,0,0,0.03,-0.0401883,4.33,-0.0390216
0.04,0,0,0.04,-0.0531325,4.33,-0.0520227
0.05,0,0,0.05,-0.0660711,4.33,-0.0650186
0.06,0,0,0.06,-0.0790039,4.33,-0.078008
0.07,0,0,0.07,-0.0919286,4.33,-0.0909896
0.08,0,0,0.08,-0.104844,4.33,-0.103962
0.09,0,0,0.09,-0.11775,4.33,-0.116924
0.1,0,0,0.1,-0.130644,4.33,-0.129875
0.11,0,0,0.11,-0.143525,4.33,-0.142812
0.12,0,0,0.12,-0.156392,4.33,-0.155735
0.13,0,0,0.13,-0.169245,4.33,-0.168643
0.14,0,0,0.14,-0.182079,4.33,-0.181534
0.15,0,0,0.15,-0.194897,4.33,-0.194406
0.16,0,0,0.16,-0.207696,4.33,-0.207259
0.17,0,0,0.17,-0.220475,4.33,-0.220092
0.18,0,0,0.18,-0.233233,4.33,-0.232902
0.19,0,0,0.19,-0.245968,4.33,-0.245689
0.2,0,0,0.2,-0.258679,4.33,-0.258452
0.21,0,0,0.21,-0.271365,4.33,-0.271188
0.22,0,0,0.22,-0.284025,4.33,-0.283898
0.23,0,0,0.23,-0.296658,4.33,-0.296579
0.24,0,0,0.24,-0.309262,4.33,-0.309231
0.25,0,0,0.25,-0.321837,4.33,-0.321851
0.26,0,0,0.26,-0.33438,4.33,-0.33444
0.27,0,0,0.27,-0.346891,4.33,-0.346995
0.28,0,0,0.28,-0.359369,4.33,-0.359515
0.29,0,0,0.29,-0.371812,4.33,-0.371999
0.3,0,0,0.3,-0.384219,4.33,-0.384446
0.31,0,0,0.31,-0.396588,4.33,-0.396855
0.32,0,0,0.32,-0.40892,4.33,-0.409224
0.33,0,0,0.33,-0.421211,4.33,-0.421552
0.34,0,0,0.34,-0.433462,4.33,-0.433838
0.35,0,0,0.35,-0.445671,4.33,-0.446081
0.36,0,0,0.36,-0.457837,4.33,-0.458278
0.37,0,0,0.37,-0.469957,4.33,-0.470431
0.38,0,0,0.38,-0.482033,4.33,-0.482536
0.39,0,0,0.39,-0.494061,4.33,-0.494592
0.4,0,0,0.4,-0.506041,4.33,-0.5066
0.41,0,0,0.41,-0.517973,4.33,-0.518556
0.42,0,0,0.42,-0.529854,4.33,-0.530461
0.43,0,0,0.43,-0.541682,4.33,-0.542313
0.44,0,0,0.44,-0.553459,4.33,-0.554111
0.45,0,0,0.45,-0.565181,4.33,-0.565853
0.46,0,0,0.46,-0.576847,4.33,-0.577538
0.47,0,0,0.47,-0.588457,4.33,-0.589166
0.48,0,0,0.48,-0.600011,4.33,-0.600735
0.49,0,0,0.49,-0.611506,4.33,-0.612244
0.5,0,0,0.5,-0.622941,4.33,-0.623691
0.51,0,0,0.51,-0.634314,4.33,-0.635077
