Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00349125,4.81,-0
0.01,0,0,0.01,-0.0124938,4.81,-0.00897769
0.02,0,0,0.02,-0.0214956,4.81,-0.0179545
0.03,0,0,0.03,-0.0304936,4.81,-0.0269295
0.04,0,0,0.04,-0.0394881,4.81,-0.0359018
0.05,0,0,0.05,-0.0484785,4.81,-0.0448705
0.06,0,0,0.06,-0.0574626,4.81,-0.0538347
0.07,0,0,0.07,-0.0664392,4.81,-0.0627936
0.08,0,0,0.08,-0.0754079,4.81,-0.0717461
0.09,0,0,0.09,-0.0843678,4.81,-0.0806915
0.1,0,0,0.1,-0.0933184,4.81,-0.0896288
0.11,0,0,0.11,-0.102258,4.81,-0.0985572
0.12,0,0,0.12,-0.111186,4.81,-0.107476
0.13,0,0,0.13,-0.120101,4.81,-0.116383
0.14,0,0,0.14,-0.129003,4.81,-0.12528
0.15,0,0,0.15,-0.137891,4.81,-0.134163
0.16,0,0,0.16,-0.146763,4.81,-0.143033
0.17,0,0,0.17,-0.155619,4.81,-0.151889
0.18,0,0,0.18,-0.164459,4.81,-0.16073
0.19,0,0,0.19,-0.17328,4.81,-0.169554
0.2,0,0,0.2,-0.182083,4.81,-0.178362
0.21,0,0,0.21,-0.190866,4.81,-0.187152
0.22,0,0,0.22,-0.199629,4.81,-0.195923
0.23,0,0,0.23,-0.208371,4.81,-0.204675
0.24,0,0,0.24,-0.217091,4.81,-0.213406
0.25,0,0,0.25,-0.225788,4.81,-0.222115
0.26,0,0,0.26,-0.234461,4.81,-0.230803
0.27,0,0,0.27,-0.243109,4.81,-0.239467
0.28,0,0,0.28,-0.251732,4.81,-0.248108
0.29,0,0,0.29,-0.260328,4.81,-0.256723
0.3,0,0,0.3,-0.268897,4.81,-0.265313
0.31,0,0,0.31,-0.277438,4.81,-0.273877
0.32,0,0,0.32,-0.285949,4.81,-0.282413
0.33,0,0,0.33,-0.294431,4.81,-0.290921
0.34,0,0,0.34,-0.302883,4.81,-0.299399
0.35,0,0,0.35,-0.311304,4.81,-0.307848
0.36,0,0,0.36,-0.319692,4.81,-0.316266
0.37,0,0,0.37,-0.328046,4.81,-0.324652
0.38,0,0,0.38,-0.336368,4.81,-0.333006
0.39,0,0,0.39,-0.344654,4.81,-0.341327
0.4,0,0,0.4,-0.352905,4.81,-0.349613
0.41,0,0,0.41,-0.361119,4.81,-0.357865
0.42,0,0,0.42,-0.369297,4.81,-0.366081
0.43,0,0,0.43,-0.377437,4.81,-0.37426
0.44,0,0,0.44,-0.385538,4.81,-0.382402
0.45,0,0,0.45,-0.3936,4.81,-0.390505
0.46,0,0,0.46,-0.401622,4.81,-0.398569
0.47,0,0,0.47,-0.409603,4.81,-0.406594
0.48,0,0,0.48,-0.417542,4.81,-0.414578
0.49,0,0,0.49,-0.425439,4.81,-0.42252
0.5,0,0,0.5,-0.433292,4.81,-0.43042
0.51,0,0,0.51,-0.441101,4.81,-0.438278
0.52,0,0,0.52,-0.448867,4.81,-0.446091
0.53,0,0,0.53,-0.456587,4.81,-0.45386
0.54,0,0,0.54,-0.464261,4.81,-0.461583
0.55,0,0,0.55,-0.471887,4.81,-0.46926
0.56,0,0,0.56,-0.479467,4.81,-0.47689
0.57,0,0,0.57,-0.486998,4.81,-0.484473
0.58,0,0,0.58,-0.49448,4.81,-0.492007
0.59,0,0,0.59,-0.501914,4.81,-0.499492
0.6,0,0,0.6,-0.509297,4.81,-0.506927
0.61,0,0,0.61,-0.516629,4.81,-0.514311
0.62,0,0,0.62,-0.523909,4.81,-0.521644
0.63,0,0,0.63,-0.531136,4.81,-0.528925
0.64,0,0,0.64,-0.538311,4.81,-0.536152
0.65,0,0,0.65,-0.545431,4.81,-0.543326
0.66,0,0,0.66,-0.552499,4.81,-0.550446
0.67,0,0,0.67,-0.55951,4.81,-0.557511
0.68,0,0,0.68,-0.566465,4.81,-0.56452
0.69,0,0,0.69,-0.573366,4.81,-0.571473
0.7,0,0,0.7,-0.580208,4.81,-0.578368
0.71,0,0,0.71,-0.586994,4.81,-0.585206
0.72,0,0,0.72,-0.593721,4.81,-0.591985
