Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,-0.00249156,4.54,-0
0.01,0,0,0.01,-0.014034,4.54,-0.0115669
0.02,0,0,0.02,-0.0255746,4.54,-0.0231327
0.03,0,0,0.03,-0.0371121,4.54,-0.0346962
0.04,0,0,0.04,-0.0486463,4.54,-0.0462562
0.05,0,0,0.05,-0.0601748,4.54,-0.0578116
0.06,0,0,0.06,-0.0716964,4.54,-0.0693612
0.07,0,0,0.07,-0.0832103,4.54,-0.0809039
0.08,0,0,0.08,-0.0947161,4.54,-0.0924385
0.09,0,0,0.09,-0.106211,4.54,-0.103964
0.1,0,0,0.1,-0.117694,4.54,-0.115479
0.11,0,0,0.11,-0.129166,4.54,-0.126982
0.12,0,0,0.12,-0.140624,4.54,-0.138473
0.13,0,0,0.13,-0.152066,4.54,-0.14995
0.14,0,0,0.14,-0.163493,4.54,-0.161411
0.15,0,0,0.15,-0.174904,4.54,-0.172857
0.16,0,0,0.16,-0.186297,4.54,-0.184286
0.17,0,0,0.17,-0.19767,4.54,-0.195696
0.18,0,0,0.18,-0.209024,4.54,-0.207086
0.19,0,0,0.19,-0.220355,4.54,-0.218456
0.2,0,0,0.2,-0.231666,4.54,-0.229804
0.21,0,0,0.21,-0.242953,4.54,-0.241129
0.22,0,0,0.22,-0.254215,4.54,-0.252429
0.23,0,0,0.23,-0.265451,4.54,-0.263705
0.24,0,0,0.24,-0.276661,4.54,-0.274954
0.25,0,0,0.25,-0.287843,4.54,-0.286176
0.26,0,0,0.26,-0.298997,4.54,-0.297369
0.27,0,0,0.27,-0.310121,4.54,-0.308532
0.28,0,0,0.28,-0.321213,4.54,-0.319665
0.29,0,0,0.29,-0.332275,4.54,-0.330765
0.3,0,0,0.3,-0.343302,4.54,-0.341832
0.31,0,0,0.31,-0.354296,4.54,-0.352866
0.32,0,0,0.32,-0.365253,4.54,-0.363864
0.33,0,0,0.33,-0.376175,4.54,-0.374825
0.34,0,0,0.34,-0.387059,4.54,-0.385749
0.35,0,0,0.35,-0.397904,4.54,-0.396635
0.36,0,0,0.36,-0.408711,4.54,-0.407481
0.37,0,0,0.37,-0.419477,4.54,-0.418286
