Points_0,Points_1,Points_2,Points_Magnitude,pred_u,t,true_u
0,0,0,0,0.000774297,3.38,-0
0.01,0,0,0.01,-0.0113353,3.38,-0.0120785
0.02,0,0,0.02,-0.0234448,3.38,-0.0241558
0.03,0,0,0.03,-0.035554,3.38,-0.0362307
0.04,0,0,0.04,-0.0476606,3.38,-0.0483019
0.05,0,0,0.05,-0.0597639,3.38,-0.0603684
0.06,0,0,0.06,-0.0718623,3.38,-0.0724288
0.07,0,0,0.07,-0.083955,3.38,-0.0844819
0.08,0,0,0.08,-0.0960408,3.38,-0.0965266
0.09,0,0,0.09,-0.108118,3.38,-0.108562
0.1,0,0,0.1,-0.120186,3.38,-0.120586
0.11,0,0,0.11,-0.132243,3.38,-0.132598
0.12,0,0,0.12,-0.144289,3.38,-0.144597
0.13,0,0,0.13,-0.156321,3.38,-0.156581
0.14,0,0,0.14,-0.168339,3.38,-0.16855
0.15,0,0,0.15,-0.180342,3.38,-0.180502
0.16,0,0,0.16,-0.192328,3.38,-0.192436
0.17,0,0,0.17,-0.204296,3.38,-0.20435
0.18,0,0,0.18,-0.216246,3.38,-0.216245
0.19,0,0,0.19,-0.228174,3.38,-0.228117
0.2,0,0,0.2,-0.240082,3.38,-0.239967
0.21,0,0,0.21,-0.251966,3.38,-0.251793
0.22,0,0,0.22,-0.263827,3.38,-0.263593
0.23,0,0,0.23,-0.275662,3.38,-0.275367
0.24,0,0,0.24,-0.287471,3.38,-0.287114
0.25,0,0,0.25,-0.299253,3.38,-0.298832
0.26,0,0,0.26,-0.311006,3.38,-0.31052
0.27,0,0,0.27,-0.322728,3.38,-0.322177
0.28,0,0,0.28,-0.33442,3.38,-0.333802
0.29,0,0,0.29,-0.346079,3.38,-0.345393
0.3,0,0,0.3,-0.357705,3.38,-0.35695
0.31,0,0,0.31,-0.369295,3.38,-0.368471
0.32,0,0,0.32,-0.38085,3.38,-0.379956
0.33,0,0,0.33,-0.392366,3.38,-0.391402
0.34,0,0,0.34,-0.403845,3.38,-0.402809
0.35,0,0,0.35,-0.415284,3.38,-0.414176
0.36,0,0,0.36,-0.426681,3.38,-0.425502
0.37,0,0,0.37,-0.438037,3.38,-0.436785
